"Kod";"Nazwa";"ogółem;wodociąg;2018;[%]";"ogółem;kanalizacja;2018;[%]";"ogółem;gaz;2018;[%]";
0618022;"Bełżec (2)";0,3;46,8;11,9;
0618032;"Jarczów (2)";65,9;14,7;0,0;
0618042;"Krynice (2)";89,4;8,0;18,1;
0618053;"Lubycza Królewska (3)";42,5;56,1;4,8;
0618063;"Łaszczów (3)";100,0;35,1;0,0;
0618072;"Rachanie (2)";98,1;3,7;0,0;
0618082;"Susiec (2)";94,0;32,1;26,2;
0618092;"Tarnawatka (2)";99,3;46,4;6,6;
0618102;"Telatyn (2)";87,4;21,8;0,0;
0618112;"Tomaszów Lubelski (2)";80,3;3,9;22,8;
0618123;"Tyszowce (3)";82,2;13,8;0,0;
0618132;"Ulhówek (2)";70,8;31,7;0,0;
0619011;"Włodawa (1)";98,7;93,1;2,5;
0619022;"Hanna (2)";98,8;25,2;0,0;
0619032;"Hańsk (2)";73,3;34,9;0,5;
0619042;"Stary Brus (2)";88,2;20,9;0,0;
0619052;"Urszulin (2)";89,6;25,1;0,0;
0619062;"Włodawa (2)";96,4;56,7;1,6;
0619072;"Wola Uhruska (2)";65,4;39,9;1,2;
0619082;"Wyryki (2)";81,5;15,6;0,0;
0620012;"Adamów (2)";47,3;0,5;17,1;
0620022;"Grabowiec (2)";41,2;0,0;0,0;
0620032;"Komarów-Osada (2)";53,2;0,0;31,9;
0620043;"Krasnobród (3)";88,4;42,2;30,7;
0620052;"Łabunie (2)";7,1;23,0;37,7;
0620062;"Miączyn (2)";3,6;2,8;12,3;
0620072;"Nielisz (2)";62,2;0,0;2,4;
0620082;"Radecznica (2)";87,4;7,1;0,0;
0620092;"Sitno (2)";46,3;8,4;41,0;
0620102;"Skierbieszów (2)";73,4;14,8;0,0;
0620112;"Stary Zamość (2)";87,6;0,0;35,4;
0620122;"Sułów (2)";84,1;9,3;0,0;
0620133;"Szczebrzeszyn (3)";86,2;26,5;8,5;
0620142;"Zamość (2)";37,9;20,5;43,5;
0620153;"Zwierzyniec (3)";89,8;52,7;29,6;
0661011;"Biała Podlaska (1)";86,7;85,9;46,7;
0662011;"Chełm (1)";97,2;93,3;63,5;
0663011;"Lublin (1)";95,5;91,8;85,8;
0664011;"Zamość (1)";94,9;91,1;94,0;
0801011;"Kostrzyn nad Odrą (1)";99,9;93,0;92,4;
0801022;"Bogdaniec (2)";99,7;69,4;29,7;
0801032;"Deszczno (2)";81,6;59,9;15,7;
0801042;"Kłodawa (2)";98,9;67,8;42,0;
0801052;"Lubiszyn (2)";85,7;42,7;5,2;
0801062;"Santok (2)";94,8;71,1;42,4;
0801073;"Witnica (3)";87,5;59,0;48,7;
0802011;"Gubin (1)";99,0;93,5;92,3;
0802022;"Bobrowice (2)";97,7;53,1;0,0;
0802032;"Bytnica (2)";95,5;47,7;0,0;
0802042;"Dąbie (2)";89,7;20,1;7,0;
0802052;"Gubin (2)";85,6;9,0;9,4;
0802063;"Krosno Odrzańskie (3)";87,0;73,7;14,2;
0802072;"Maszewo (2)";98,4;19,8;1,7;
0803012;"Bledzew (2)";93,0;32,7;3,7;
0803023;"Międzyrzecz (3)";93,0;85,4;19,5;
0803032;"Przytoczna (2)";89,6;39,8;29,7;
0803042;"Pszczew (2)";83,4;61,8;16,8;
0803053;"Skwierzyna (3)";89,5;66,8;16,4;
0803063;"Trzciel (3)";72,9;45,5;0,0;
0804011;"Nowa Sól (1)";99,8;99,6;90,4;
0804023;"Bytom Odrzański (3)";96,0;74,7;57,0;
0804032;"Kolsko (2)";67,4;25,6;0,1;
0804043;"Kożuchów (3)";89,7;55,8;7,7;
0804052;"Nowa Sól (2)";97,0;42,3;11,7;
0804063;"Nowe Miasteczko (3)";96,0;62,0;4,4;
0804073;"Otyń (3)";99,0;55,7;31,6;
0804082;"Siedlisko (2)";84,7;42,4;0,0;
0805013;"Cybinka (3)";88,2;51,8;15,2;
0805022;"Górzyca (2)";96,4;75,0;21,2;
0805033;"Ośno Lubuskie (3)";98,0;57,6;18,3;
0805043;"Rzepin (3)";86,3;70,3;22,6;
0805053;"Słubice (3)";95,0;82,2;78,8;
0806013;"Dobiegniew (3)";90,8;73,4;0,0;
0806023;"Drezdenko (3)";87,4;55,3;56,7;
0806032;"Stare Kurowo (2)";93,8;28,1;3,2;
0806043;"Strzelce Krajeńskie (3)";97,8;69,4;16,1;
0806052;"Zwierzyn (2)";98,2;0,0;1,3;
0807012;"Krzeszyce (2)";88,4;29,7;6,3;
0807023;"Lubniewice (3)";92,2;80,5;20,0;
0807032;"Słońsk (2)";99,6;62,0;7,3;
0807043;"Sulęcin (3)";95,4;79,1;20,0;
0807053;"Torzym (3)";83,0;56,1;4,8;
0808012;"Lubrza (2)";99,9;68,8;11,1;
0808022;"Łagów (2)";93,2;85,2;12,5;
0808032;"Skąpe (2)";91,7;67,3;49,9;
0808042;"Szczaniec (2)";100,0;46,2;0,0;
0808053;"Świebodzin (3)";92,7;92,2;69,2;
0808063;"Zbąszynek (3)";95,2;90,6;74,3;
0809013;"Babimost (3)";88,9;92,8;88,8;
0809022;"Bojadła (2)";88,1;38,6;0,0;
0809033;"Czerwieńsk (3)";96,1;67,0;37,1;
0809043;"Kargowa (3)";84,8;53,1;71,3;
0809053;"Nowogród Bobrzański (3)";98,6;52,7;12,6;
0809063;"Sulechów (3)";99,8;78,7;71,1;
0809072;"Świdnica (2)";96,5;95,8;25,2;
0809082;"Trzebiechów (2)";97,0;7,2;0,0;
0809092;"Zabór (2)";98,1;25,6;26,4;
0810011;"Gozdnica (1)";98,6;84,0;18,4;
0810021;"Żagań (1)";99,9;88,0;95,5;
0810032;"Brzeźnica (2)";91,0;10,8;0,0;
0810043;"Iłowa (3)";90,3;43,4;56,9;
0810053;"Małomice (3)";95,4;66,8;41,3;
0810062;"Niegosławice (2)";96,7;50,5;0,0;
0810073;"Szprotawa (3)";92,9;67,2;59,1;
0810082;"Wymiarki (2)";95,4;5,7;38,4;
0810092;"Żagań (2)";99,9;89,1;21,5;
0811011;"Łęknica (1)";97,6;94,8;0,0;
0811021;"Żary (1)";95,4;93,8;86,6;
0811032;"Brody (2)";91,8;40,9;0,0;
0811043;"Jasień (3)";93,7;44,3;61,0;
0811052;"Lipinki Łużyckie (2)";90,5;3,0;0,0;
0811063;"Lubsko (3)";98,0;68,5;69,7;
0811072;"Przewóz (2)";100,0;19,2;0,0;
0811082;"Trzebiel (2)";81,6;0,0;0,0;
0811092;"Tuplice (2)";100,0;30,1;0,0;
0811102;"Żary (2)";82,4;14,2;0,4;
0812013;"Sława (3)";86,2;47,1;4,7;
0812023;"Szlichtyngowa (3)";97,4;93,5;0,0;
0812033;"Wschowa (3)";96,5;76,5;65,5;
0861011;"Gorzów Wielkopolski (1)";100,0;99,9;78,7;
0862011;"Zielona Góra (1)";94,9;84,7;84,2;
1001011;"Bełchatów (1)";98,6;95,0;80,3;
1001022;"Bełchatów (2)";98,2;26,0;0,3;
1001032;"Drużbice (2)";94,9;8,6;0,0;
1001042;"Kleszczów (2)";99,9;78,9;62,7;
1001052;"Kluki (2)";99,9;11,4;0,0;
1001062;"Rusiec (2)";95,9;12,0;0,1;
1001072;"Szczerców (2)";99,9;56,5;0,0;
1001083;"Zelów (3)";69,1;45,7;0,0;
1002011;"Kutno (1)";94,6;91,6;10,4;
1002022;"Bedlno (2)";85,6;0,0;0,1;
1002032;"Dąbrowice (2)";99,9;0,0;0,0;
1002043;"Krośniewice (3)";99,8;50,5;1,2;
1002052;"Krzyżanów (2)";95,5;11,3;2,0;
1002062;"Kutno (2)";96,5;22,3;0,4;
1002072;"Łanięta (2)";94,2;44,4;0,0;
1002082;"Nowe Ostrowy (2)";91,6;30,8;0,0;
1002092;"Oporów (2)";86,3;0,0;0,0;
1002102;"Strzelce (2)";93,7;17,6;2,7;
1002113;"Żychlin (3)";98,0;64,2;0,0;
1003012;"Buczek (2)";79,7;36,7;0,0;
1003023;"Łask (3)";88,7;59,1;4,7;
1003032;"Sędziejowice (2)";87,4;25,8;0,0;
1003042;"Widawa (2)";84,3;18,8;0,0;
1003052;"Wodzierady (2)";70,3;0,0;0,0;
1004011;"Łęczyca (1)";98,5;91,9;9,2;
1004022;"Daszyna (2)";87,9;10,6;2,0;
1004032;"Góra Świętej Małgorzaty (2)";80,3;29,9;0,0;
1004042;"Grabów (2)";97,1;20,0;0,1;
1004052;"Łęczyca (2)";93,4;0,6;0,6;
1004062;"Piątek (2)";99,9;26,8;0,0;
1004072;"Świnice Warckie (2)";89,4;15,0;0,0;
1004082;"Witonia (2)";97,8;0,2;1,7;
1005011;"Łowicz (1)";95,5;91,0;7,4;
1005022;"Bielawy (2)";87,8;4,2;0,0;
1005032;"Chąśno (2)";89,8;8,6;0,0;
1005042;"Domaniewice (2)";89,1;21,9;0,0;
1005052;"Kiernozia (2)";86,1;26,6;0,0;
1005062;"Kocierzew Południowy (2)";99,9;0,0;0,0;
1005072;"Łowicz (2)";96,3;25,1;0,3;
1005082;"Łyszkowice (2)";96,3;21,6;0,0;
1005092;"Nieborów (2)";90,5;0,0;0,0;
1005102;"Zduny (2)";93,1;20,4;0,0;
1006022;"Andrespol (2)";91,8;38,8;67,9;
1006032;"Brójce (2)";98,8;0,0;17,1;
1006073;"Koluszki (3)";92,2;52,3;40,9;
1006082;"Nowosolna (2)";97,3;2,6;67,7;
1006103;"Rzgów (3)";99,2;58,2;42,6;
1006113;"Tuszyn (3)";99,1;31,1;33,1;
1007012;"Białaczów (2)";84,7;73,0;0,0;
1007023;"Drzewica (3)";97,0;87,8;0,0;
1007032;"Mniszków (2)";95,3;30,1;0,5;
1007043;"Opoczno (3)";93,2;77,0;27,0;
1007052;"Paradyż (2)";87,2;45,9;0,0;
1007062;"Poświętne (2)";98,2;19,6;0,0;
1007072;"Sławno (2)";92,1;50,0;30,5;
1007082;"Żarnów (2)";85,9;28,3;8,7;
1008011;"Konstantynów Łódzki (1)";98,6;75,2;99,8;
1008021;"Pabianice (1)";92,8;85,9;67,4;
1008032;"Dłutów (2)";81,8;26,1;0,0;
1008042;"Dobroń (2)";100,0;27,4;16,8;
1008052;"Ksawerów (2)";86,8;71,1;64,4;
1008062;"Lutomiersk (2)";89,5;0,0;31,7;
1008072;"Pabianice (2)";99,9;28,8;3,9;
1009013;"Działoszyn (3)";99,7;75,6;3,8;
1009022;"Kiełczygłów (2)";99,9;0,0;0,0;
1009032;"Nowa Brzeźnica (2)";76,4;0,0;0,0;
1009043;"Pajęczno (3)";96,4;54,8;3,3;
1009052;"Rząśnia (2)";99,9;64,4;0,0;
1009062;"Siemkowice (2)";99,4;0,0;0,0;
1009072;"Strzelce Wielkie (2)";99,9;16,3;0,0;
1009082;"Sulmierzyce (2)";99,1;57,8;0,0;
1010012;"Aleksandrów (2)";91,4;0,0;0,0;
1010022;"Czarnocin (2)";97,0;39,1;0,0;
1010032;"Gorzkowice (2)";98,1;30,8;3,9;
1010042;"Grabica (2)";90,1;16,5;0,0;
1010052;"Łęki Szlacheckie (2)";76,2;0,0;0,0;
1010062;"Moszczenica (2)";93,6;48,8;0,0;
1010072;"Ręczno (2)";91,9;16,5;0,0;
1010082;"Rozprza (2)";99,2;22,8;0,0;
1010093;"Sulejów (3)";99,9;24,1;14,8;
1010102;"Wola Krzysztoporska (2)";99,9;37,6;0,6;
1010113;"Wolbórz (3)";96,0;74,9;16,1;
1011012;"Dalików (2)";99,3;3,6;0,0;
1011022;"Pęczniew (2)";99,7;7,3;0,0;
1011033;"Poddębice (3)";89,8;48,1;11,0;
1011043;"Uniejów (3)";90,0;46,9;0,8;
1011052;"Wartkowice (2)";79,9;16,8;0,8;
1011062;"Zadzim (2)";91,8;8,2;0,0;
1012011;"Radomsko (1)";96,5;81,9;50,9;
1012022;"Dobryszyce (2)";94,9;34,9;0,0;
1012032;"Gidle (2)";81,6;32,6;0,0;
1012042;"Gomunice (2)";98,8;31,9;25,1;
1012053;"Kamieńsk (3)";96,6;73,4;13,4;
1012062;"Kobiele Wielkie (2)";83,1;10,3;2,8;
1012072;"Kodrąb (2)";94,0;23,7;0,0;
1012082;"Lgota Wielka (2)";94,9;60,1;0,0;
1012092;"Ładzice (2)";89,8;23,9;0,0;
1012102;"Masłowice (2)";83,2;1,0;0,1;
1012113;"Przedbórz (3)";92,5;38,5;0,0;
1012122;"Radomsko (2)";99,2;35,9;17,4;
1012132;"Wielgomłyny (2)";98,7;22,6;0,0;
1012142;"Żytno (2)";93,5;12,2;0,0;
1013011;"Rawa Mazowiecka (1)";92,5;87,6;74,4;
1013023;"Biała Rawska (3)";61,3;23,3;0,9;
1013032;"Cielądz (2)";89,2;18,1;0,0;
1013042;"Rawa Mazowiecka (2)";100,0;8,3;2,2;
1013052;"Regnów (2)";87,3;0,0;0,0;
1013062;"Sadkowice (2)";70,8;9,1;0,9;
1014011;"Sieradz (1)";96,1;90,5;4,7;
1014023;"Błaszki (3)";89,4;20,0;0,0;
1014032;"Brąszewice (2)";98,6;20,9;0,0;
1014042;"Brzeźnio (2)";94,2;19,7;0,0;
1014052;"Burzenin (2)";78,1;13,2;0,0;
1014062;"Goszczanów (2)";98,2;16,7;0,0;
1014072;"Klonowa (2)";85,9;1,3;0,0;
1014082;"Sieradz (2)";85,6;49,5;0,0;
1014093;"Warta (3)";98,0;21,3;0,6;
1014102;"Wróblew (2)";94,1;8,3;0,1;
1014113;"Złoczew (3)";93,3;27,7;0,0;
1015012;"Bolimów (2)";86,6;32,4;0,0;
1015022;"Głuchów (2)";94,2;30,1;0,0;
1015032;"Godzianów (2)";89,6;0,0;0,0;
1015042;"Kowiesy (2)";65,4;0,0;0,0;
1015052;"Lipce Reymontowskie (2)";99,8;31,1;0,0;
1015062;"Maków (2)";99,9;0,0;0,0;
1015072;"Nowy Kawęczyn (2)";81,5;15,3;0,0;
1015082;"Skierniewice (2)";77,9;0,0;0,8;
1015092;"Słupia (2)";99,9;11,0;0,0;
1016011;"Tomaszów Mazowiecki (1)";91,5;85,0;64,3;
1016022;"Będków (2)";92,5;20,2;0,0;
1016032;"Budziszewice (2)";99,9;16,8;0,0;
1016042;"Czerniewice (2)";93,5;32,6;0,0;
1016052;"Inowłódz (2)";99,9;14,3;2,8;
1016062;"Lubochnia (2)";98,0;78,6;16,0;
1016072;"Rokiciny (2)";98,7;41,0;0,0;
1016082;"Rzeczyca (2)";90,2;10,5;0,0;
1016092;"Tomaszów Mazowiecki (2)";99,9;38,2;1,6;
1016102;"Ujazd (2)";98,9;42,9;30,3;
1016112;"Żelechlinek (2)";99,3;23,1;0,0;
1017012;"Biała (2)";88,4;0,9;0,0;
1017022;"Czarnożyły (2)";94,9;67,5;0,2;
1017032;"Konopnica (2)";93,2;24,0;0,0;
1017042;"Mokrsko (2)";94,5;33,1;1,7;
1017052;"Osjaków (2)";93,2;28,6;0,1;
1017062;"Ostrówek (2)";86,6;10,3;0,0;
1017072;"Pątnów (2)";91,7;0,0;0,0;
1017082;"Skomlin (2)";99,8;47,9;0,0;
1017093;"Wieluń (3)";98,1;82,7;3,1;
1017102;"Wierzchlas (2)";98,3;12,6;0,9;
1018012;"Bolesławiec (2)";97,3;96,6;0,1;
1018022;"Czastary (2)";95,7;42,8;0,0;
1018032;"Galewice (2)";99,9;38,4;0,0;
1018042;"Lututów (2)";99,9;22,7;0,0;
1018052;"Łubnice (2)";93,8;75,6;0,0;
1018062;"Sokolniki (2)";92,4;12,6;0,0;
1018073;"Wieruszów (3)";99,0;78,2;8,3;
1019011;"Zduńska Wola (1)";96,5;93,3;2,3;
1019023;"Szadek (3)";92,6;25,6;0,0;
1019032;"Zapolice (2)";97,6;29,0;0,0;
1019042;"Zduńska Wola (2)";99,0;53,8;0,6;
1020011;"Głowno (1)";87,9;71,6;0,0;
1020021;"Ozorków (1)";94,0;79,4;3,8;
1020031;"Zgierz (1)";96,4;84,5;67,6;
1020043;"Aleksandrów Łódzki (3)";98,3;71,9;55,5;
1020052;"Głowno (2)";88,3;0,0;0,0;
1020062;"Ozorków (2)";100,0;18,9;9,5;
1020072;"Parzęczew (2)";96,9;41,4;0,0;
1020083;"Stryków (3)";98,2;47,8;2,6;
1020092;"Zgierz (2)";100,0;4,2;9,6;
1021011;"Brzeziny (1)";95,6;93,8;0,1;
1021022;"Brzeziny (2)";99,9;0,0;1,0;
1021032;"Dmosin (2)";97,9;10,4;0,0;
1021042;"Jeżów (2)";92,9;29,5;0,1;
1021052;"Rogów (2)";92,6;0,0;0,0;
1061011;"Łódź (1)";94,9;87,6;81,2;
1062011;"Piotrków Trybunalski (1)";96,6;90,7;76,6;
1063011;"Skierniewice (1)";93,3;88,9;67,1;
1201011;"Bochnia (1)";94,8;92,3;90,6;
1201022;"Bochnia (2)";95,1;73,5;82,4;
1201032;"Drwinia (2)";81,1;0,0;72,8;
1201042;"Lipnica Murowana (2)";28,0;23,0;73,2;
1201052;"Łapanów (2)";84,3;26,2;68,5;
1201063;"Nowy Wiśnicz (3)";49,5;18,4;79,0;
1201072;"Rzezawa (2)";70,6;69,5;71,3;
1201082;"Trzciana (2)";39,6;32,6;79,0;
1201092;"Żegocina (2)";68,1;58,3;86,8;
1202012;"Borzęcin (2)";68,3;0,0;62,3;
1202023;"Brzesko (3)";82,2;54,5;86,4;
1202033;"Czchów (3)";72,3;30,8;69,7;
1202042;"Dębno (2)";88,8;59,1;80,4;
1202052;"Gnojnik (2)";30,5;16,9;63,1;
1202062;"Iwkowa (2)";53,8;0,0;73,9;
1202072;"Szczurowa (2)";85,3;11,8;49,3;
1203013;"Alwernia (3)";99,5;38,0;72,4;
1203022;"Babice (2)";98,9;10,9;60,9;
1203033;"Chrzanów (3)";98,4;82,8;75,1;
1203043;"Libiąż (3)";100,0;61,1;65,0;
1203053;"Trzebinia (3)";100,0;73,7;74,4;
1204012;"Bolesław (2)";92,1;24,3;82,5;
1204023;"Dąbrowa Tarnowska (3)";85,3;69,4;76,7;
1204032;"Gręboszów (2)";70,5;0,0;61,2;
1204042;"Mędrzechów (2)";88,9;0,0;73,7;
1204052;"Olesno (2)";94,7;30,2;69,1;
1204062;"Radgoszcz (2)";88,9;43,6;40,5;
1204073;"Szczucin (3)";94,1;29,5;39,3;
1205011;"Gorlice (1)";87,0;91,5;97,7;
1205023;"Biecz (3)";24,4;39,3;66,4;
1205033;"Bobowa (3)";37,0;50,0;62,0;
1205042;"Gorlice (2)";34,7;72,2;75,9;
1205052;"Lipinki (2)";1,4;54,7;74,6;
1205062;"Łużna (2)";4,7;2,0;53,5;
1205072;"Moszczenica (2)";4,7;56,5;59,8;
1205082;"Ropa (2)";9,5;18,4;49,9;
1205092;"Sękowa (2)";63,7;53,2;50,0;
1205102;"Uście Gorlickie (2)";34,8;39,7;10,1;
1206012;"Czernichów (2)";86,1;39,7;23,6;
1206022;"Igołomia-Wawrzeńczyce (2)";57,4;3,7;68,6;
1206032;"Iwanowice (2)";91,9;10,7;40,7;
1206042;"Jerzmanowice-Przeginia (2)";97,9;29,3;76,7;
1206052;"Kocmyrzów-Luborzyca (2)";99,8;21,7;83,3;
1206063;"Krzeszowice (3)";94,7;74,0;76,4;
1206072;"Liszki (2)";90,8;59,0;86,3;
1206082;"Michałowice (2)";96,5;26,7;86,1;
1206092;"Mogilany (2)";90,1;41,6;92,0;
1206103;"Skała (3)";98,0;62,1;60,2;
1206113;"Skawina (3)";98,1;74,1;83,6;
1206123;"Słomniki (3)";77,7;29,8;7,8;
1206132;"Sułoszowa (2)";93,6;63,7;41,1;
1206143;"Świątniki Górne (3)";95,5;40,9;84,8;
1206152;"Wielka Wieś (2)";96,0;68,6;94,7;
1206162;"Zabierzów (2)";99,2;92,2;89,6;
1206172;"Zielonki (2)";91,8;67,7;95,2;
1207011;"Limanowa (1)";82,1;69,5;87,8;
1207021;"Mszana Dolna (1)";56,3;60,1;75,9;
1207032;"Dobra (2)";47,0;27,2;46,5;
1207042;"Jodłownik (2)";35,0;20,7;39,2;
1207052;"Kamienica (2)";81,8;56,6;0,0;
1207062;"Laskowa (2)";41,6;37,0;58,2;
1207072;"Limanowa (2)";55,3;21,1;51,0;
1207082;"Łukowica (2)";13,0;27,5;1,2;
1207092;"Mszana Dolna (2)";28,3;41,1;57,2;
1207102;"Niedźwiedź (2)";42,5;29,8;56,4;
1207112;"Słopnice (2)";86,1;36,4;72,0;
1207122;"Tymbark (2)";72,1;28,9;58,5;
1208012;"Charsznica (2)";87,5;26,9;19,8;
1208022;"Gołcza (2)";92,3;20,5;13,2;
1208032;"Kozłów (2)";76,2;0,0;0,1;
1208042;"Książ Wielki (2)";75,1;18,5;2,0;
1208053;"Miechów (3)";94,1;51,4;6,2;
1208062;"Racławice (2)";78,0;0,0;0,4;
1208072;"Słaboszów (2)";86,8;0,0;0,0;
1209013;"Dobczyce (3)";97,4;55,3;74,3;
1209022;"Lubień (2)";99,9;31,7;50,3;
1209033;"Myślenice (3)";85,9;89,6;75,4;
1209042;"Pcim (2)";9,8;29,6;43,6;
1209052;"Raciechowice (2)";54,2;13,0;3,4;
1209062;"Siepraw (2)";87,0;54,6;65,9;
1209073;"Sułkowice (3)";65,9;58,5;57,6;
1209082;"Tokarnia (2)";0,0;27,1;41,2;
1209092;"Wiśniowa (2)";57,8;44,4;7,9;
1210011;"Grybów (1)";51,4;56,6;74,6;
1210022;"Chełmiec (2)";65,3;43,6;45,7;
1210032;"Gródek nad Dunajcem (2)";65,6;50,9;58,1;
1210042;"Grybów (2)";52,0;28,9;72,5;
1210052;"Kamionka Wielka (2)";91,6;41,6;70,2;
1210062;"Korzenna (2)";39,0;18,5;63,2;
1210073;"Krynica-Zdrój (3)";81,7;85,8;85,7;
1210082;"Łabowa (2)";9,6;30,3;53,0;
1210092;"Łącko (2)";34,1;33,3;0,3;
1210102;"Łososina Dolna (2)";49,8;28,7;70,7;
1210113;"Muszyna (3)";50,6;95,7;59,2;
1210122;"Nawojowa (2)";39,3;50,2;15,2;
1210133;"Piwniczna-Zdrój (3)";35,6;51,4;0,0;
1210142;"Podegrodzie (2)";44,7;31,0;0,0;
1210152;"Rytro (2)";50,1;68,2;0,0;
1210163;"Stary Sącz (3)";72,7;47,0;62,8;
1211011;"Nowy Targ (1)";82,3;93,8;13,1;
1211023;"Szczawnica (3)";80,5;82,4;0,0;
1211032;"Czarny Dunajec (2)";28,4;18,3;0,5;
1211042;"Czorsztyn (2)";76,5;92,6;0,0;
1211052;"Jabłonka (2)";53,4;83,8;0,0;
1211062;"Krościenko nad Dunajcem (2)";70,2;61,4;0,0;
1211072;"Lipnica Wielka (2)";0,0;82,8;0,1;
1211082;"Łapsze Niżne (2)";35,4;80,0;0,0;
1211092;"Nowy Targ (2)";47,4;51,2;9,3;
1211102;"Ochotnica Dolna (2)";4,6;64,2;0,0;
1211112;"Raba Wyżna (2)";23,2;17,0;39,2;
1211123;"Rabka-Zdrój (3)";50,0;54,0;32,2;
1211132;"Spytkowice (2)";82,8;55,2;41,2;
1211142;"Szaflary (2)";24,7;33,9;0,0;
1212011;"Bukowno (1)";99,9;82,6;75,3;
1212032;"Bolesław (2)";99,0;52,2;48,9;
1212042;"Klucze (2)";95,9;45,8;71,2;
1212053;"Olkusz (3)";99,9;70,0;85,1;
1212062;"Trzyciąż (2)";99,6;24,9;13,4;
1212073;"Wolbrom (3)";96,1;35,9;53,3;
1213011;"Oświęcim (1)";100,0;92,5;88,5;
1213023;"Brzeszcze (3)";99,9;70,3;82,2;
1213033;"Chełmek (3)";99,8;69,9;69,6;
1213043;"Kęty (3)";92,6;63,4;80,8;
1213052;"Osiek (2)";99,7;36,1;72,2;
1213062;"Oświęcim (2)";99,9;21,3;69,4;
1213072;"Polanka Wielka (2)";100,0;27,9;82,3;
1213082;"Przeciszów (2)";98,8;46,2;83,4;
1213093;"Zator (3)";98,0;76,8;76,4;
1214012;"Koniusza (2)";95,7;26,2;55,5;
1214022;"Koszyce (2)";66,0;79,8;0,3;
1214033;"Nowe Brzesko (3)";88,7;21,6;5,7;
1214042;"Pałecznica (2)";93,2;6,2;0,0;
1214053;"Proszowice (3)";98,5;41,2;8,4;
1214062;"Radziemice (2)";98,2;4,7;0,3;
1215011;"Jordanów (1)";81,4;46,0;1,3;
1215021;"Sucha Beskidzka (1)";71,5;79,8;76,2;
1215032;"Budzów (2)";0,6;0,2;0,0;
1215042;"Bystra-Sidzina (2)";47,0;0,0;0,1;
1215052;"Jordanów (2)";33,7;35,9;13,9;
1215063;"Maków Podhalański (3)";18,5;46,7;1,9;
1215072;"Stryszawa (2)";52,2;37,6;0,0;
1215082;"Zawoja (2)";25,4;13,4;0,0;
1215092;"Zembrzyce (2)";69,0;57,4;15,1;
1216013;"Ciężkowice (3)";71,4;27,8;48,7;
1216022;"Gromnik (2)";62,4;25,9;49,5;
1216032;"Lisia Góra (2)";96,8;66,3;69,9;
1216042;"Pleśna (2)";60,3;41,5;68,1;
1216053;"Radłów (3)";93,3;47,1;67,5;
1216063;"Ryglice (3)";18,4;46,1;56,5;
1216072;"Rzepiennik Strzyżewski (2)";9,6;15,6;56,7;
1216082;"Skrzyszów (2)";58,7;64,0;71,6;
1216092;"Tarnów (2)";93,4;74,6;84,8;
1216103;"Tuchów (3)";80,5;49,6;52,2;
1216112;"Wierzchosławice (2)";91,5;88,6;82,9;
1216122;"Wietrzychowice (2)";97,8;36,0;59,5;
1216133;"Wojnicz (3)";78,4;15,6;82,1;
1216143;"Zakliczyn (3)";31,2;33,9;55,7;
1216153;"Żabno (3)";99,8;75,1;77,0;
1216162;"Szerzyny (2)";50,2;41,4;74,8;
1217011;"Zakopane (1)";90,3;83,4;14,2;
1217022;"Biały Dunajec (2)";87,2;41,1;0,0;
1217032;"Bukowina Tatrzańska (2)";38,4;47,6;0,1;
1217042;"Kościelisko (2)";80,9;64,6;0,0;
1217052;"Poronin (2)";67,7;52,5;1,5;
1218013;"Andrychów (3)";87,7;80,2;73,8;
1218022;"Brzeźnica (2)";91,7;14,4;65,2;
1218033;"Kalwaria Zebrzydowska (3)";81,7;11,2;52,4;
1218042;"Lanckorona (2)";78,4;14,1;38,3;
1218052;"Mucharz (2)";82,8;99,9;3,3;
1218062;"Spytkowice (2)";99,0;34,4;73,1;
1218072;"Stryszów (2)";49,3;72,4;38,3;
1218082;"Tomice (2)";99,9;29,5;57,8;
1218093;"Wadowice (3)";83,9;68,9;70,6;
1218102;"Wieprz (2)";89,1;21,7;69,4;
1219012;"Biskupice (2)";73,8;2,8;80,8;
1219022;"Gdów (2)";85,0;26,2;72,1;
1219032;"Kłaj (2)";92,0;49,0;98,6;
1219043;"Niepołomice (3)";97,0;71,7;93,6;
1219053;"Wieliczka (3)";90,8;51,3;85,4;
1261011;"Kraków (1)";99,7;92,0;73,4;
1262011;"Nowy Sącz (1)";86,0;86,0;88,4;
1263011;"Tarnów (1)";100,0;87,8;94,1;
1401013;"Białobrzegi (3)";99,9;63,2;60,1;
1401022;"Promna (2)";38,8;0,0;41,1;
1401032;"Radzanów (2)";21,8;9,7;0,0;
1401042;"Stara Błotnica (2)";88,5;9,7;1,3;
1401052;"Stromiec (2)";84,4;32,0;0,0;
1401063;"Wyśmierzyce (3)";82,9;13,6;0,0;
1402011;"Ciechanów (1)";94,1;89,8;76,4;
1402022;"Ciechanów (2)";87,6;9,7;9,5;
1402033;"Glinojeck (3)";99,1;65,9;0,0;
1402042;"Gołymin-Ośrodek (2)";98,1;0,0;0,0;
1402052;"Grudusk (2)";99,8;44,6;0,0;
1402062;"Ojrzeń (2)";98,7;0,0;0,0;
1402072;"Opinogóra Górna (2)";92,8;26,9;5,9;
1402082;"Regimin (2)";99,9;14,0;5,4;
1402092;"Sońsk (2)";78,9;28,1;0,0;
1403011;"Garwolin (1)";98,6;88,4;94,1;
