"Kod";"Nazwa";"saldo migracji na 1000 osób;ogółem;2016;[osoba]";"saldo migracji na 1000 osób;ogółem;2017;[osoba]";"saldo migracji na 1000 osób;ogółem;2018;[osoba]";"saldo migracji na 1000 osób;ogółem;2019;[osoba]";
0606032;"Gorzków (2)";-4,4;-5,6;-2,6;-2,9;
0606042;"Izbica (2)";0,2;-2,5;1,0;-6,4;
0606052;"Krasnystaw (2)";-2,4;-0,1;-2,3;-3,0;
0606062;"Kraśniczyn (2)";-1,1;-2,1;-5,7;-1,9;
0606072;"Łopiennik Górny (2)";-5,2;2,5;-8,8;-5,4;
0606092;"Rudnik (2)";1,3;-5,2;-4,6;-4,7;
0606102;"Siennica Różana (2)";5,4;-1,0;-7,0;2,4;
0606112;"Żółkiewka (2)";-3,9;-5,1;-6,6;-9,7;
0607011;"Kraśnik (1)";-5,2;-3,2;-4,5;-6,3;
0607023;"Annopol (3)";-5,0;-6,4;-3,1;-5,8;
0607032;"Dzierzkowice (2)";6,2;-4,9;-4,3;-1,3;
0607042;"Gościeradów (2)";-3,8;-2,3;-1,4;-3,2;
0607052;"Kraśnik (2)";3,2;-2,2;-1,9;-5,5;
0607062;"Szastarka (2)";-4,6;-1,9;-3,4;-3,3;
0607072;"Trzydnik Duży (2)";-1,1;-2,2;-0,8;-0,5;
0607083;"Urzędów (3)";-2,4;-1,0;-2,2;0,5;
0607092;"Wilkołaz (2)";-2,4;1,1;0,4;-1,8;
0607102;"Zakrzówek (2)";-6,5;-3,2;-1,4;-3,4;
0608011;"Lubartów (1)";-4,6;-5,9;-6,9;-6,7;
0608022;"Abramów (2)";-2,7;-4,9;0,7;-3,7;
0608032;"Firlej (2)";-2,7;-1,0;1,9;1,0;
0608042;"Jeziorzany (2)";-4,2;1,1;-6,0;-5,3;
0608052;"Kamionka (2)";1,4;5,0;2,9;5,4;
0608063;"Kock (3)";-6,1;-3,4;-4,2;-7,2;
0608072;"Lubartów (2)";12,2;11,7;11,1;4,1;
0608082;"Michów (2)";-3,6;-3,5;-5,6;-4,4;
0608092;"Niedźwiada (2)";0,8;-1,9;-3,2;-2,4;
0608103;"Ostrów Lubelski (3)";-2,6;-4,2;2,1;-0,6;
0608112;"Ostrówek (2)";-2,5;-5,1;-9,5;-4,6;
0608122;"Serniki (2)";3,9;-2,9;0,8;-0,4;
0608132;"Uścimów (2)";-4,3;-1,8;-13,1;-2,5;
0609013;"Bełżyce (3)";-5,1;-0,8;-1,9;-4,2;
0609022;"Borzechów (2)";-2,9;-2,4;-5,8;-2,1;
0609033;"Bychawa (3)";-2,8;-3,8;-4,2;-8,0;
0609042;"Garbów (2)";6,1;3,4;1,0;-0,6;
0609052;"Głusk (2)";22,5;27,1;30,4;29,7;
0609062;"Jabłonna (2)";5,9;7,0;2,0;1,5;
0609072;"Jastków (2)";3,0;7,5;9,0;7,1;
0609082;"Konopnica (2)";15,4;13,5;13,9;14,8;
0609092;"Krzczonów (2)";4,4;-8,2;-5,9;-4,3;
0609102;"Niedrzwica Duża (2)";4,2;5,2;3,4;-0,3;
0609112;"Niemce (2)";12,1;6,4;11,0;13,2;
0609122;"Strzyżewice (2)";6,9;4,1;5,1;4,6;
0609132;"Wojciechów (2)";5,2;-1,3;4,5;-2,5;
0609142;"Wólka (2)";14,0;18,0;13,4;17,9;
0609152;"Wysokie (2)";-2,2;0,9;-4,2;-6,1;
0609162;"Zakrzew (2)";-3,1;-1,7;3,5;-1,4;
0610012;"Cyców (2)";-1,8;-5,2;2,5;-4,1;
0610022;"Ludwin (2)";8,3;8,3;2,1;4,8;
0610033;"Łęczna (3)";-10,6;-12,0;-8,3;-12,2;
0610042;"Milejów (2)";-2,7;-2,3;-1,0;-2,1;
0610052;"Puchaczów (2)";3,6;8,1;4,8;2,3;
0610062;"Spiczyn (2)";4,8;7,4;5,3;3,8;
0611011;"Łuków (1)";-7,3;-7,5;-9,2;-8,6;
0611021;"Stoczek Łukowski (1)";-5,7;-15,6;-7,9;-7,5;
0611032;"Adamów (2)";-6,0;-6,6;-14,0;-5,5;
0611042;"Krzywda (2)";-3,8;-5,7;-3,0;-10,0;
0611052;"Łuków (2)";3,2;-0,7;2,4;0,6;
0611062;"Serokomla (2)";-6,7;-7,7;-7,0;-8,1;
0611072;"Stanin (2)";-4,3;-4,0;-6,1;-4,1;
0611082;"Stoczek Łukowski (2)";-6,4;-7,8;-7,5;-5,5;
0611092;"Trzebieszów (2)";-3,5;-3,2;-8,2;-9,1;
0611102;"Wojcieszków (2)";-4,3;-6,9;-6,1;-6,1;
0611112;"Wola Mysłowska (2)";-5,8;-7,6;-3,2;-9,2;
0612012;"Chodel (2)";-4,3;-3,1;-2,7;-5,0;
0612023;"Józefów nad Wisłą (3)";;;-6,3;-3,5;
0612032;"Karczmiska (2)";1,8;-0,9;-0,2;-2,9;
0612042;"Łaziska (2)";-0,2;-3,0;4,2;-6,7;
0612053;"Opole Lubelskie (3)";-5,2;-3,7;-8,6;-6,0;
0612063;"Poniatowa (3)";-6,0;-6,8;-8,1;-5,1;
0612072;"Wilków (2)";-2,0;-2,4;-7,6;-1,8;
0613012;"Dębowa Kłoda (2)";-0,5;-5,6;4,8;-3,3;
0613022;"Jabłoń (2)";-0,5;-7,2;-2,9;-8,6;
0613032;"Milanów (2)";-11,2;-4,1;-6,5;-13,9;
0613043;"Parczew (3)";-5,4;-4,4;-7,1;-4,4;
0613052;"Podedwórze (2)";-0,6;-1,2;-6,1;-4,9;
0613062;"Siemień (2)";-2,4;-2,8;-5,2;-4,6;
0613072;"Sosnowica (2)";-7,2;-3,1;0,8;0,8;
0614011;"Puławy (1)";-2,2;-2,6;-2,6;-3,8;
0614022;"Baranów (2)";0,0;-2,0;-3,3;-1,5;
0614032;"Janowiec (2)";-1,6;0,0;-1,6;0,5;
0614043;"Kazimierz Dolny (3)";-5,7;-2,1;-5,2;-5,4;
0614052;"Końskowola (2)";-1,2;-0,8;2,8;-3,4;
0614062;"Kurów (2)";-0,6;-0,6;-4,2;-0,1;
0614072;"Markuszów (2)";-1,7;0,3;-2,7;2,4;
0614083;"Nałęczów (3)";-1,0;-1,5;-1,5;-3,3;
0614092;"Puławy (2)";5,6;1,0;4,1;5,7;
0614102;"Wąwolnica (2)";0,2;-5,5;-6,2;0,2;
0614112;"Żyrzyn (2)";-3,7;-4,0;-2,6;-4,0;
0615011;"Radzyń Podlaski (1)";-4,6;-6,4;-5,1;-6,8;
0615022;"Borki (2)";-3,1;-0,8;1,5;-5,3;
0615032;"Czemierniki (2)";-1,8;-7,5;-0,2;-8,6;
0615042;"Kąkolewnica (2)";-4,0;-5,8;-10,3;-10,5;
0615052;"Komarówka Podlaska (2)";-7,8;-3,9;-7,7;-8,1;
0615062;"Radzyń Podlaski (2)";1,1;1,0;-2,7;-0,6;
0615072;"Ulan-Majorat (2)";-6,0;-5,1;0,7;-3,5;
0615082;"Wohyń (2)";-5,7;-6,6;-4,6;-7,4;
0616011;"Dęblin (1)";-8,5;-7,5;-10,5;-10,0;
0616022;"Kłoczew (2)";-2,7;-3,0;-4,8;-10,5;
0616032;"Nowodwór (2)";-6,4;-7,9;-9,9;-10,5;
0616043;"Ryki (3)";-4,7;-4,6;-3,9;-3,0;
0616052;"Stężyca (2)";-2,1;-7,0;-6,8;-1,9;
0616062;"Ułęż (2)";-6,8;0,0;-4,4;-10,1;
0617011;"Świdnik (1)";-3,9;-3,5;-6,3;-5,2;
0617022;"Mełgiew (2)";11,2;7,8;17,3;12,9;
0617033;"Piaski (3)";0,9;3,1;-4,0;-0,2;
0617042;"Rybczewice (2)";-1,7;-2,3;-1,5;-1,8;
0617052;"Trawniki (2)";-2,2;0,4;-3,9;-4,5;
0618011;"Tomaszów Lubelski (1)";-4,2;-3,9;-8,2;-8,8;
0618022;"Bełżec (2)";-0,3;-0,9;-0,6;-9,7;
0618032;"Jarczów (2)";-6,8;-4,9;-11,3;-6,2;
0618042;"Krynice (2)";-6,9;-3,7;0,0;-5,3;
0618053;"Lubycza Królewska (3)";-6,8;-4,4;-8,6;-8,6;
0618063;"Łaszczów (3)";-5,9;-3,4;-6,6;-5,8;
0618072;"Rachanie (2)";-7,2;-12,4;-6,5;-8,0;
0618082;"Susiec (2)";-2,0;-6,7;-3,2;-0,5;
0618092;"Tarnawatka (2)";-2,3;1,0;-0,5;-6,4;
0618102;"Telatyn (2)";-8,7;-7,9;-8,2;-15,2;
0618112;"Tomaszów Lubelski (2)";1,9;-0,2;3,2;3,4;
0618123;"Tyszowce (3)";-4,2;-1,8;-1,6;-11,4;
0618132;"Ulhówek (2)";-11,3;-12,1;-17,7;-11,4;
0619011;"Włodawa (1)";-4,3;-5,7;-6,5;-7,1;
0619022;"Hanna (2)";-13,1;-6,8;-7,2;-9,8;
0619032;"Hańsk (2)";-4,5;-6,1;-7,4;-5,6;
0619042;"Stary Brus (2)";-3,8;-3,3;-3,3;6,2;
0619052;"Urszulin (2)";3,2;-0,2;5,1;-2,2;
0619062;"Włodawa (2)";5,6;8,7;4,6;6,6;
0619072;"Wola Uhruska (2)";0,8;-10,2;3,4;-9,8;
0619082;"Wyryki (2)";-1,1;-9,9;-6,9;1,6;
0620012;"Adamów (2)";-5,5;-5,7;-0,2;-3,2;
0620022;"Grabowiec (2)";-4,6;-11,7;-15,8;-9,8;
0620032;"Komarów-Osada (2)";-6,4;-3,7;-2,6;-11,7;
0620043;"Krasnobród (3)";-0,6;3,9;-1,3;4,7;
0620052;"Łabunie (2)";-1,0;4,8;-4,3;0,0;
0620062;"Miączyn (2)";-5,4;-6,4;-7,2;-6,4;
0620072;"Nielisz (2)";-0,9;-0,9;-3,3;-3,3;
0620082;"Radecznica (2)";-5,1;-5,1;-5,9;-7,8;
0620092;"Sitno (2)";-5,1;-2,2;-1,6;-1,2;
0620102;"Skierbieszów (2)";-2,1;-1,0;-7,5;-2,5;
0620112;"Stary Zamość (2)";-2,9;-5,2;-1,3;-0,2;
0620122;"Sułów (2)";0,6;-4,8;3,3;-7,3;
0620133;"Szczebrzeszyn (3)";-4,4;-2,8;-5,7;-4,0;
0620142;"Zamość (2)";5,7;7,6;5,4;4,2;
0620153;"Zwierzyniec (3)";-1,0;-4,2;-7,2;-5,5;
0661011;"Biała Podlaska (1)";-2,3;-1,3;-4,0;-4,0;
0662011;"Chełm (1)";-6,7;-4,6;-7,6;-8,9;
0663011;"Lublin (1)";-0,7;-0,8;-0,5;0,6;
0664011;"Zamość (1)";-2,7;-4,3;-6,9;-7,0;
0801011;"Kostrzyn nad Odrą (1)";-2,0;-4,2;-4,3;-0,7;
0801022;"Bogdaniec (2)";0,7;-3,9;6,3;-3,8;
0801032;"Deszczno (2)";16,4;12,4;12,1;16,7;
0801042;"Kłodawa (2)";9,9;9,5;13,7;9,6;
0801052;"Lubiszyn (2)";-2,6;0,7;-4,1;5,9;
0801062;"Santok (2)";6,6;11,9;13,5;15,7;
0801073;"Witnica (3)";-6,1;-3,3;-1,8;1,2;
0802011;"Gubin (1)";-2,6;-1,2;-0,2;-3,2;
0802022;"Bobrowice (2)";4,6;-8,1;-6,0;-6,2;
0802032;"Bytnica (2)";-7,1;-4,0;-4,4;-3,2;
0802042;"Dąbie (2)";-6,8;-4,4;-2,2;-0,2;
0802052;"Gubin (2)";-3,4;-8,4;-7,8;-1,3;
0802063;"Krosno Odrzańskie (3)";-3,5;-6,9;-4,0;-8,1;
0802072;"Maszewo (2)";3,1;-0,7;-3,5;-1,8;
0803012;"Bledzew (2)";-3,1;-5,2;-8,4;-11,0;
0803023;"Międzyrzecz (3)";-4,0;-0,6;-3,1;-4,9;
0803032;"Przytoczna (2)";-7,0;-0,4;-3,0;-2,0;
0803042;"Pszczew (2)";-1,9;-3,3;-0,9;-1,4;
0803053;"Skwierzyna (3)";-3,7;-6,2;-3,9;-5,5;
0803063;"Trzciel (3)";-4,0;-5,2;-2,8;-3,6;
0804011;"Nowa Sól (1)";-2,8;-4,1;-4,1;-2,5;
0804023;"Bytom Odrzański (3)";-3,1;-4,6;-6,2;-3,9;
0804032;"Kolsko (2)";-4,5;0,0;3,0;-2,7;
0804043;"Kożuchów (3)";-3,9;-0,9;-0,7;-4,6;
0804052;"Nowa Sól (2)";6,6;2,0;2,5;1,0;
0804063;"Nowe Miasteczko (3)";-3,7;0,7;-7,6;-5,8;
0804073;"Otyń (3)";;;6,5;5,2;
0804082;"Siedlisko (2)";-1,4;-1,9;-7,2;-8,1;
0805013;"Cybinka (3)";-4,9;-7,3;-2,2;-4,6;
0805022;"Górzyca (2)";1,9;-0,5;-3,3;0,5;
0805033;"Ośno Lubuskie (3)";-1,2;0,6;3,6;-8,1;
0805043;"Rzepin (3)";-3,8;-3,8;-4,9;-6,3;
0805053;"Słubice (3)";1,4;2,0;0,7;2,9;
0806013;"Dobiegniew (3)";1,2;-1,3;-2,6;-6,4;
0806023;"Drezdenko (3)";-3,4;-2,3;-6,3;-6,4;
0806032;"Stare Kurowo (2)";-5,3;-6,1;-2,7;-4,7;
0806043;"Strzelce Krajeńskie (3)";-3,9;-3,2;-6,4;-2,9;
0806052;"Zwierzyn (2)";-6,6;-4,1;-1,6;-6,5;
0807012;"Krzeszyce (2)";-7,8;3,0;0,0;2,1;
0807023;"Lubniewice (3)";7,3;-2,3;4,5;6,7;
0807032;"Słońsk (2)";-1,9;-5,9;0,2;-1,1;
0807043;"Sulęcin (3)";-4,3;-3,7;-4,6;-3,4;
0807053;"Torzym (3)";-4,6;-2,2;0,1;-7,0;
0808012;"Lubrza (2)";0,0;-6,2;-5,7;2,8;
0808022;"Łagów (2)";-1,4;-4,8;-2,6;-7,0;
0808032;"Skąpe (2)";-3,5;-2,9;2,0;1,4;
0808042;"Szczaniec (2)";-5,9;-5,4;-1,8;-6,0;
0808053;"Świebodzin (3)";-1,1;1,3;-3,8;-1,0;
0808063;"Zbąszynek (3)";-5,4;-2,6;0,0;-2,8;
0809013;"Babimost (3)";-4,2;-8,0;-0,6;1,6;
0809022;"Bojadła (2)";-3,0;-5,2;-2,4;0,6;
0809033;"Czerwieńsk (3)";2,8;4,8;0,0;-2,9;
0809043;"Kargowa (3)";-4,1;-2,4;-2,9;-1,2;
0809053;"Nowogród Bobrzański (3)";-0,1;1,7;1,1;-1,5;
0809063;"Sulechów (3)";-1,6;-1,7;0,3;0,3;
0809072;"Świdnica (2)";3,9;6,3;5,8;-0,2;
0809082;"Trzebiechów (2)";6,1;2,6;-4,4;-4,4;
0809092;"Zabór (2)";15,7;17,3;12,5;11,9;
0810011;"Gozdnica (1)";-3,4;-10,2;-6,8;-4,0;
0810021;"Żagań (1)";-3,7;-3,0;-6,4;-2,6;
0810032;"Brzeźnica (2)";-3,5;-3,7;0,0;-2,7;
0810043;"Iłowa (3)";0,4;-5,3;-4,1;0,4;
0810053;"Małomice (3)";-4,2;-0,2;-3,8;-0,6;
0810062;"Niegosławice (2)";0,9;-5,3;-6,5;-12,5;
0810073;"Szprotawa (3)";-5,7;-6,2;-2,2;-4,3;
0810082;"Wymiarki (2)";-0,9;-3,9;-5,2;-1,3;
0810092;"Żagań (2)";4,1;0,8;8,0;-2,3;
0811011;"Łęknica (1)";-7,9;-8,0;-2,4;-9,7;
0811021;"Żary (1)";-4,2;-3,4;-5,1;-7,2;
0811032;"Brody (2)";-0,6;-12,2;-2,4;-3,5;
0811043;"Jasień (3)";-5,6;-3,4;-3,7;-8,2;
0811052;"Lipinki Łużyckie (2)";3,6;5,1;2,4;4,8;
0811063;"Lubsko (3)";-2,6;-3,6;-2,1;-3,7;
0811072;"Przewóz (2)";-3,1;-4,7;-11,3;0,6;
0811082;"Trzebiel (2)";-1,6;1,0;-5,4;0,9;
0811092;"Tuplice (2)";-5,8;-3,2;-8,4;-7,2;
0811102;"Żary (2)";-0,8;-0,8;0,6;-1,7;
0812013;"Sława (3)";3,3;0,2;-1,1;-0,9;
0812023;"Szlichtyngowa (3)";-5,3;-3,6;-2,0;-9,1;
0812033;"Wschowa (3)";-3,3;-4,7;-5,8;-6,0;
0861011;"Gorzów Wielkopolski (1)";1,1;-0,4;-0,5;-2,0;
0862011;"Zielona Góra (1)";3,3;3,9;4,3;6,2;
1001011;"Bełchatów (1)";-10,5;-10,0;-10,8;-11,3;
1001022;"Bełchatów (2)";16,5;15,7;12,1;14,8;
1001032;"Drużbice (2)";8,5;2,9;15,8;3,8;
1001042;"Kleszczów (2)";15,9;17,0;22,6;19,5;
1001052;"Kluki (2)";7,2;3,5;5,8;5,9;
1001062;"Rusiec (2)";1,0;-4,3;0,6;-1,8;
1001072;"Szczerców (2)";6,1;3,8;5,9;5,3;
1001083;"Zelów (3)";0,9;-0,7;-0,1;-0,7;
1002011;"Kutno (1)";-2,9;-1,0;-1,9;-2,1;
1002022;"Bedlno (2)";-1,8;0,0;-0,9;5,2;
1002032;"Dąbrowice (2)";-0,5;2,6;4,2;0,5;
1002043;"Krośniewice (3)";-5,8;-4,0;-2,9;-6,9;
1002052;"Krzyżanów (2)";-1,9;-2,3;-4,5;0,7;
1002062;"Kutno (2)";3,1;3,4;3,2;4,7;
1002072;"Łanięta (2)";2,8;-4,5;-7,4;-0,8;
1002082;"Nowe Ostrowy (2)";-9,1;-3,1;-1,1;0,3;
1002092;"Oporów (2)";-6,5;-3,1;-9,7;-11,9;
1002102;"Strzelce (2)";-3,2;-8,0;-8,4;-8,7;
1002113;"Żychlin (3)";-4,0;-2,3;-6,2;-1,8;
1003012;"Buczek (2)";-3,3;-1,0;7,5;4,9;
1003023;"Łask (3)";-0,4;-0,9;-1,4;0,7;
1003032;"Sędziejowice (2)";5,9;-0,3;2,2;-0,5;
1003042;"Widawa (2)";-1,3;-0,7;-1,2;-1,5;
1003052;"Wodzierady (2)";3,6;10,6;15,7;10,1;
1004011;"Łęczyca (1)";-5,9;-3,7;-6,4;-4,4;
1004022;"Daszyna (2)";-3,5;-2,3;0,5;-3,1;
1004032;"Góra Świętej Małgorzaty (2)";2,0;1,1;-1,6;-6,6;
1004042;"Grabów (2)";-4,6;-4,6;-2,2;-9,4;
1004052;"Łęczyca (2)";2,5;1,5;3,2;4,3;
1004062;"Piątek (2)";-7,2;-2,6;-3,8;-3,8;
1004072;"Świnice Warckie (2)";-6,6;-2,0;1,5;-1,8;
1004082;"Witonia (2)";2,4;-3,9;-5,8;-4,9;
1005011;"Łowicz (1)";-3,1;-3,2;-6,2;-5,8;
1005022;"Bielawy (2)";-2,3;-8,9;-4,3;0,4;
1005032;"Chąśno (2)";-1,7;1,7;-2,1;0,0;
1005042;"Domaniewice (2)";-1,5;-0,9;0,4;1,1;
1005052;"Kiernozia (2)";-3,5;-3,5;0,3;-5,0;
1005062;"Kocierzew Południowy (2)";-5,3;-2,8;-3,0;-4,7;
1005072;"Łowicz (2)";2,7;0,5;7,2;1,7;
1005082;"Łyszkowice (2)";0,1;0,4;3,3;-0,4;
1005092;"Nieborów (2)";-1,9;0,7;0,5;-2,3;
1005102;"Zduny (2)";-3,9;-5,9;-4,3;-4,1;
1006022;"Andrespol (2)";10,7;6,5;13,2;12,7;
1006032;"Brójce (2)";7,5;6,6;4,3;15,3;
1006073;"Koluszki (3)";1,4;2,1;5,4;3,0;
1006082;"Nowosolna (2)";13,4;15,4;24,0;23,6;
1006103;"Rzgów (3)";13,8;6,6;12,6;12,7;
1006113;"Tuszyn (3)";4,7;4,2;5,3;4,0;
1007012;"Białaczów (2)";1,5;1,4;1,4;1,0;
1007023;"Drzewica (3)";-4,8;-3,7;-5,0;-5,2;
1007032;"Mniszków (2)";-1,3;4,4;1,7;0,0;
1007043;"Opoczno (3)";-5,4;-5,8;-6,9;-7,3;
1007052;"Paradyż (2)";-6,7;-6,1;-4,5;-9,8;
1007062;"Poświętne (2)";-3,1;-1,2;-6,6;-6,7;
1007072;"Sławno (2)";3,6;2,6;3,4;-4,4;
1007082;"Żarnów (2)";1,0;0,2;0,3;-1,5;
1008011;"Konstantynów Łódzki (1)";7,6;7,6;10,4;9,4;
1008021;"Pabianice (1)";-3,1;-1,5;-2,4;-3,1;
1008032;"Dłutów (2)";10,4;11,2;12,4;8,8;
1008042;"Dobroń (2)";8,7;8,4;6,6;5,1;
1008052;"Ksawerów (2)";6,4;0,9;3,6;3,4;
1008062;"Lutomiersk (2)";12,1;14,5;17,9;20,8;
1008072;"Pabianice (2)";16,9;20,3;20,9;29,5;
1009013;"Działoszyn (3)";-6,2;-3,9;-5,5;-7,3;
1009022;"Kiełczygłów (2)";-2,0;0,0;-5,4;-8,5;
1009032;"Nowa Brzeźnica (2)";-0,4;-4,3;0,2;-1,1;
1009043;"Pajęczno (3)";-3,1;-2,3;-4,6;-9,6;
1009052;"Rząśnia (2)";6,7;5,7;2,9;1,4;
1009062;"Siemkowice (2)";0,0;-6,0;-2,1;-4,6;
1009072;"Strzelce Wielkie (2)";-1,1;-1,5;0,4;-5,5;
1009082;"Sulmierzyce (2)";4,3;-3,6;-0,9;3,2;
1010012;"Aleksandrów (2)";4,8;-0,2;2,3;1,2;
1010022;"Czarnocin (2)";3,7;3,7;3,6;3,4;
1010032;"Gorzkowice (2)";-0,2;1,4;-1,3;0,0;
1010042;"Grabica (2)";-2,1;-2,3;-1,0;-1,0;
1010052;"Łęki Szlacheckie (2)";-5,1;-6,8;-5,2;-2,3;
1010062;"Moszczenica (2)";1,8;4,6;2,1;5,6;
1010072;"Ręczno (2)";1,1;-2,5;-1,1;-2,8;
1010082;"Rozprza (2)";3,4;-0,8;3,8;-0,1;
1010093;"Sulejów (3)";3,4;-0,6;1,7;2,4;
1010102;"Wola Krzysztoporska (2)";3,6;1,0;-0,1;1,0;
1010113;"Wolbórz (3)";1,0;0,3;0,4;3,1;
1011012;"Dalików (2)";3,9;8,0;7,4;4,9;
1011022;"Pęczniew (2)";0,3;-2,0;-0,6;3,2;
1011033;"Poddębice (3)";-4,4;-2,3;-3,4;-5,3;
1011043;"Uniejów (3)";-1,7;0,9;-1,4;1,9;
1011052;"Wartkowice (2)";1,1;1,6;0,3;3,4;
1011062;"Zadzim (2)";-1,2;-1,0;1,0;-0,2;
1012011;"Radomsko (1)";-4,2;-3,4;-3,4;-2,9;
1012022;"Dobryszyce (2)";2,5;5,7;15,4;8,0;
1012032;"Gidle (2)";-0,6;-1,5;0,7;-0,7;
1012042;"Gomunice (2)";-0,5;1,4;-3,4;3,1;
1012053;"Kamieńsk (3)";-2,5;-4,7;-4,7;-5,3;
1012062;"Kobiele Wielkie (2)";0,4;-2,0;-0,5;1,6;
1012072;"Kodrąb (2)";-0,7;-1,7;2,4;-3,5;
1012082;"Lgota Wielka (2)";-2,8;-3,7;-5,6;-5,1;
1012092;"Ładzice (2)";4,2;0,4;1,9;-1,9;
1012102;"Masłowice (2)";-1,7;-4,3;-2,9;-1,2;
1012113;"Przedbórz (3)";-4,0;-0,8;-4,1;-10,0;
1012122;"Radomsko (2)";3,2;-0,2;-2,3;-2,3;
1012132;"Wielgomłyny (2)";-4,5;-5,3;-11,9;-5,9;
1012142;"Żytno (2)";-3,6;1,2;-0,8;1,4;
1013011;"Rawa Mazowiecka (1)";-3,6;-7,2;-5,5;-8,7;
1013023;"Biała Rawska (3)";-1,7;-2,3;-2,1;-6,4;
1013032;"Cielądz (2)";-4,2;-1,0;-0,8;-1,0;
1013042;"Rawa Mazowiecka (2)";3,2;4,6;2,6;6,2;
1013052;"Regnów (2)";-13,2;3,3;2,8;-0,6;
1013062;"Sadkowice (2)";0,0;-4,1;-2,9;-6,3;
1014011;"Sieradz (1)";-3,2;-2,5;-5,0;-5,8;
1014023;"Błaszki (3)";-5,1;-5,5;-3,3;-4,1;
1014032;"Brąszewice (2)";-1,8;-4,0;-2,2;-6,9;
1014042;"Brzeźnio (2)";-0,3;-0,5;-1,1;6,1;
1014052;"Burzenin (2)";-2,5;6,5;-1,3;2,7;
1014062;"Goszczanów (2)";-0,9;-5,8;-2,2;-4,0;
1014072;"Klonowa (2)";-5,5;-4,1;-4,9;5,6;
1014082;"Sieradz (2)";3,8;6,0;5,8;8,9;
1014093;"Warta (3)";1,6;-0,3;1,1;-1,7;
1014102;"Wróblew (2)";3,3;-2,1;0,3;-2,8;
1014113;"Złoczew (3)";-4,0;-4,4;1,4;-7,0;
1015012;"Bolimów (2)";3,0;-1,0;-1,7;-0,7;
1015022;"Głuchów (2)";-4,5;-1,9;-5,9;-2,3;
1015032;"Godzianów (2)";5,8;3,0;2,7;-3,8;
1015042;"Kowiesy (2)";-4,8;2,1;5,5;2,4;
1015052;"Lipce Reymontowskie (2)";-1,8;-2,1;0,6;-1,8;
1015062;"Maków (2)";-0,7;-0,7;-0,7;2,0;
1015072;"Nowy Kawęczyn (2)";5,9;8,0;0,6;1,2;
1015082;"Skierniewice (2)";9,4;4,8;8,5;7,9;
1015092;"Słupia (2)";-7,8;-2,6;-8,3;-8,0;
1016011;"Tomaszów Mazowiecki (1)";-1,9;-3,0;-3,7;-5,6;
1016022;"Będków (2)";-2,1;1,2;-3,3;-3,0;
1016032;"Budziszewice (2)";0,9;-3,2;-3,2;-5,6;
1016042;"Czerniewice (2)";-0,4;-1,9;-4,7;-3,0;
1016052;"Inowłódz (2)";-2,9;4,7;3,9;2,1;
1016062;"Lubochnia (2)";-6,0;-6,5;3,4;2,5;
1016072;"Rokiciny (2)";0,5;4,4;2,1;1,5;
1016082;"Rzeczyca (2)";-8,1;-2,6;-0,9;1,5;
1016092;"Tomaszów Mazowiecki (2)";8,2;5,7;8,1;4,5;
1016102;"Ujazd (2)";0,3;-0,5;-4,5;1,9;
1016112;"Żelechlinek (2)";-0,3;0,0;-2,7;-3,3;
1017012;"Biała (2)";-2,0;-1,3;-4,0;-3,1;
1017022;"Czarnożyły (2)";2,6;-1,1;-3,1;5,3;
1017032;"Konopnica (2)";2,6;-1,8;-1,8;0,8;
1017042;"Mokrsko (2)";1,1;-2,6;2,4;-5,0;
1017052;"Osjaków (2)";-0,8;2,7;3,6;-8,2;
1017062;"Ostrówek (2)";4,6;3,7;4,0;-2,0;
1017072;"Pątnów (2)";3,2;0,2;-2,3;-8,3;
1017082;"Skomlin (2)";-5,9;-2,4;-6,6;-0,9;
1017093;"Wieluń (3)";-3,4;-2,4;-4,8;-3,3;
1017102;"Wierzchlas (2)";2,9;3,3;0,4;1,2;
1018012;"Bolesławiec (2)";-1,2;10,3;3,9;-1,5;
1018022;"Czastary (2)";3,3;-1,8;-0,3;3,8;
1018032;"Galewice (2)";-0,6;-5,8;1,3;-2,4;
1018042;"Lututów (2)";-1,3;-2,0;0,2;-3,9;
1018052;"Łubnice (2)";-3,6;-0,7;-8,0;-6,9;
1018062;"Sokolniki (2)";7,8;4,2;9,7;2,4;
1018073;"Wieruszów (3)";-0,3;-0,5;-3,2;-0,9;
1019011;"Zduńska Wola (1)";-5,4;-5,8;-4,7;-6,4;
1019023;"Szadek (3)";0,8;-2,0;-2,7;1,0;
1019032;"Zapolice (2)";7,9;11,3;5,0;6,0;
1019042;"Zduńska Wola (2)";7,0;6,4;0,5;1,1;
1020011;"Głowno (1)";-1,6;-1,3;-3,6;-6,3;
1020021;"Ozorków (1)";-1,4;-3,2;-5,0;-1,3;
1020031;"Zgierz (1)";-1,1;-0,9;0,2;-1,6;
1020043;"Aleksandrów Łódzki (3)";13,9;15,6;16,3;10,9;
1020052;"Głowno (2)";1,2;-1,2;-0,4;4,2;
1020062;"Ozorków (2)";5,2;4,6;8,7;4,0;
1020072;"Parzęczew (2)";13,4;6,9;6,9;8,6;
1020083;"Stryków (3)";3,0;10,3;7,9;6,4;
1020092;"Zgierz (2)";12,7;17,8;14,4;24,7;
1021011;"Brzeziny (1)";-1,6;1,8;0,9;-2,5;
1021022;"Brzeziny (2)";9,2;5,8;13,0;9,2;
