"Kod";"Nazwa";"ogółem;2019;[%]";
1010022;"Czarnocin (2)";1,4;
1010032;"Gorzkowice (2)";2,8;
1010042;"Grabica (2)";2,1;
1010052;"Łęki Szlacheckie (2)";3,3;
1010062;"Moszczenica (2)";2,8;
1010072;"Ręczno (2)";3,4;
1010082;"Rozprza (2)";2,7;
1010093;"Sulejów (3)";3,8;
1010102;"Wola Krzysztoporska (2)";3,2;
1010113;"Wolbórz (3)";2,7;
1011012;"Dalików (2)";3,6;
1011022;"Pęczniew (2)";5,6;
1011033;"Poddębice (3)";4,8;
1011043;"Uniejów (3)";4,4;
1011052;"Wartkowice (2)";4,1;
1011062;"Zadzim (2)";4,3;
1012011;"Radomsko (1)";3,5;
1012022;"Dobryszyce (2)";2,3;
1012032;"Gidle (2)";3,1;
1012042;"Gomunice (2)";3,4;
1012053;"Kamieńsk (3)";2,1;
1012062;"Kobiele Wielkie (2)";2,8;
1012072;"Kodrąb (2)";2,6;
1012082;"Lgota Wielka (2)";2,1;
1012092;"Ładzice (2)";2,7;
1012102;"Masłowice (2)";6,0;
1012113;"Przedbórz (3)";7,1;
1012122;"Radomsko (2)";2,9;
1012132;"Wielgomłyny (2)";2,4;
1012142;"Żytno (2)";3,4;
1013011;"Rawa Mazowiecka (1)";2,8;
1013023;"Biała Rawska (3)";2,3;
1013032;"Cielądz (2)";2,2;
1013042;"Rawa Mazowiecka (2)";2,3;
1013052;"Regnów (2)";1,2;
1013062;"Sadkowice (2)";1,7;
1014011;"Sieradz (1)";4,3;
1014023;"Błaszki (3)";3,2;
1014032;"Brąszewice (2)";2,7;
1014042;"Brzeźnio (2)";3,8;
1014052;"Burzenin (2)";5,5;
1014062;"Goszczanów (2)";4,1;
1014072;"Klonowa (2)";2,9;
1014082;"Sieradz (2)";4,0;
1014093;"Warta (3)";4,6;
1014102;"Wróblew (2)";3,2;
1014113;"Złoczew (3)";4,5;
1015012;"Bolimów (2)";2,2;
1015022;"Głuchów (2)";1,9;
1015032;"Godzianów (2)";1,9;
1015042;"Kowiesy (2)";2,7;
1015052;"Lipce Reymontowskie (2)";2,1;
1015062;"Maków (2)";2,9;
1015072;"Nowy Kawęczyn (2)";2,2;
1015082;"Skierniewice (2)";3,7;
1015092;"Słupia (2)";2,2;
1016011;"Tomaszów Mazowiecki (1)";5,6;
1016022;"Będków (2)";2,9;
1016032;"Budziszewice (2)";4,3;
1016042;"Czerniewice (2)";3,6;
1016052;"Inowłódz (2)";5,9;
1016062;"Lubochnia (2)";5,1;
1016072;"Rokiciny (2)";3,2;
1016082;"Rzeczyca (2)";3,4;
1016092;"Tomaszów Mazowiecki (2)";4,0;
1016102;"Ujazd (2)";4,5;
1016112;"Żelechlinek (2)";4,3;
1017012;"Biała (2)";3,6;
1017022;"Czarnożyły (2)";3,8;
1017032;"Konopnica (2)";4,5;
1017042;"Mokrsko (2)";3,4;
1017052;"Osjaków (2)";4,7;
1017062;"Ostrówek (2)";3,9;
1017072;"Pątnów (2)";3,2;
1017082;"Skomlin (2)";4,2;
1017093;"Wieluń (3)";4,6;
1017102;"Wierzchlas (2)";4,3;
1018012;"Bolesławiec (2)";2,7;
1018022;"Czastary (2)";2,7;
1018032;"Galewice (2)";3,4;
1018042;"Lututów (2)";2,7;
1018052;"Łubnice (2)";2,0;
1018062;"Sokolniki (2)";2,9;
1018073;"Wieruszów (3)";3,3;
1019011;"Zduńska Wola (1)";4,5;
1019023;"Szadek (3)";3,0;
1019032;"Zapolice (2)";3,4;
1019042;"Zduńska Wola (2)";3,3;
1020011;"Głowno (1)";4,1;
1020021;"Ozorków (1)";5,3;
1020031;"Zgierz (1)";3,5;
1020043;"Aleksandrów Łódzki (3)";3,5;
1020052;"Głowno (2)";1,8;
1020062;"Ozorków (2)";4,1;
1020072;"Parzęczew (2)";4,5;
1020083;"Stryków (3)";2,4;
1020092;"Zgierz (2)";2,7;
1021011;"Brzeziny (1)";5,1;
1021022;"Brzeziny (2)";3,5;
1021032;"Dmosin (2)";4,3;
1021042;"Jeżów (2)";3,4;
1021052;"Rogów (2)";4,1;
1061011;"Łódź (1)";4,4;
1062011;"Piotrków Trybunalski (1)";4,1;
1063011;"Skierniewice (1)";3,4;
1201011;"Bochnia (1)";2,1;
1201022;"Bochnia (2)";1,8;
1201032;"Drwinia (2)";1,3;
1201042;"Lipnica Murowana (2)";1,7;
1201052;"Łapanów (2)";1,4;
1201063;"Nowy Wiśnicz (3)";1,4;
1201072;"Rzezawa (2)";1,7;
1201082;"Trzciana (2)";0,9;
1201092;"Żegocina (2)";1,1;
1202012;"Borzęcin (2)";3,1;
1202023;"Brzesko (3)";3,5;
1202033;"Czchów (3)";2,4;
1202042;"Dębno (2)";2,8;
1202052;"Gnojnik (2)";2,6;
1202062;"Iwkowa (2)";1,7;
1202072;"Szczurowa (2)";2,5;
1203013;"Alwernia (3)";3,0;
1203022;"Babice (2)";2,4;
1203033;"Chrzanów (3)";4,1;
1203043;"Libiąż (3)";3,1;
1203053;"Trzebinia (3)";3,8;
1204012;"Bolesław (2)";4,5;
1204023;"Dąbrowa Tarnowska (3)";6,3;
1204032;"Gręboszów (2)";4,4;
1204042;"Mędrzechów (2)";6,3;
1204052;"Olesno (2)";5,8;
1204062;"Radgoszcz (2)";6,5;
1204073;"Szczucin (3)";7,4;
1205011;"Gorlice (1)";3,7;
1205023;"Biecz (3)";3,4;
1205033;"Bobowa (3)";2,4;
1205042;"Gorlice (2)";3,5;
1205052;"Lipinki (2)";3,5;
1205062;"Łużna (2)";3,0;
1205072;"Moszczenica (2)";2,8;
1205082;"Ropa (2)";2,5;
1205092;"Sękowa (2)";3,4;
1205102;"Uście Gorlickie (2)";2,3;
1206012;"Czernichów (2)";2,2;
1206022;"Igołomia-Wawrzeńczyce (2)";1,4;
1206032;"Iwanowice (2)";2,0;
1206042;"Jerzmanowice-Przeginia (2)";2,2;
1206052;"Kocmyrzów-Luborzyca (2)";2,1;
1206063;"Krzeszowice (3)";3,0;
1206072;"Liszki (2)";2,1;
1206082;"Michałowice (2)";1,7;
1206092;"Mogilany (2)";2,5;
1206103;"Skała (3)";2,3;
1206113;"Skawina (3)";2,9;
1206123;"Słomniki (3)";3,3;
1206132;"Sułoszowa (2)";2,1;
1206143;"Świątniki Górne (3)";2,6;
1206152;"Wielka Wieś (2)";1,7;
1206162;"Zabierzów (2)";2,0;
1206172;"Zielonki (2)";1,4;
1207011;"Limanowa (1)";4,7;
1207021;"Mszana Dolna (1)";6,4;
1207032;"Dobra (2)";4,9;
1207042;"Jodłownik (2)";4,0;
1207052;"Kamienica (2)";5,4;
1207062;"Laskowa (2)";3,6;
1207072;"Limanowa (2)";4,2;
1207082;"Łukowica (2)";5,7;
1207092;"Mszana Dolna (2)";5,3;
1207102;"Niedźwiedź (2)";4,5;
1207112;"Słopnice (2)";4,5;
1207122;"Tymbark (2)";4,9;
1208012;"Charsznica (2)";3,4;
1208022;"Gołcza (2)";2,7;
1208032;"Kozłów (2)";3,2;
1208042;"Książ Wielki (2)";2,6;
1208053;"Miechów (3)";2,8;
1208062;"Racławice (2)";1,9;
1208072;"Słaboszów (2)";2,5;
1209013;"Dobczyce (3)";1,6;
1209022;"Lubień (2)";1,5;
1209033;"Myślenice (3)";1,6;
1209042;"Pcim (2)";1,4;
1209052;"Raciechowice (2)";1,4;
1209062;"Siepraw (2)";1,4;
1209073;"Sułkowice (3)";1,7;
1209082;"Tokarnia (2)";1,3;
1209092;"Wiśniowa (2)";1,2;
1210011;"Grybów (1)";4,7;
1210022;"Chełmiec (2)";4,6;
1210032;"Gródek nad Dunajcem (2)";4,0;
1210042;"Grybów (2)";4,3;
1210052;"Kamionka Wielka (2)";5,4;
1210062;"Korzenna (2)";3,6;
1210073;"Krynica-Zdrój (3)";4,3;
1210082;"Łabowa (2)";3,8;
1210092;"Łącko (2)";4,4;
1210102;"Łososina Dolna (2)";3,9;
1210113;"Muszyna (3)";4,3;
1210122;"Nawojowa (2)";5,5;
1210133;"Piwniczna-Zdrój (3)";5,2;
1210142;"Podegrodzie (2)";4,5;
1210152;"Rytro (2)";4,4;
1210163;"Stary Sącz (3)";4,7;
1211011;"Nowy Targ (1)";3,5;
1211023;"Szczawnica (3)";6,1;
1211032;"Czarny Dunajec (2)";2,7;
1211042;"Czorsztyn (2)";5,4;
1211052;"Jabłonka (2)";2,7;
1211062;"Krościenko nad Dunajcem (2)";4,5;
1211072;"Lipnica Wielka (2)";2,3;
1211082;"Łapsze Niżne (2)";1,8;
1211092;"Nowy Targ (2)";2,3;
1211102;"Ochotnica Dolna (2)";3,4;
1211112;"Raba Wyżna (2)";2,3;
1211123;"Rabka-Zdrój (3)";3,7;
1211132;"Spytkowice (2)";4,0;
1211142;"Szaflary (2)";2,5;
1212011;"Bukowno (1)";4,4;
1212032;"Bolesław (2)";4,9;
1212042;"Klucze (2)";5,6;
1212053;"Olkusz (3)";5,6;
1212062;"Trzyciąż (2)";3,1;
1212073;"Wolbrom (3)";4,1;
1213011;"Oświęcim (1)";3,5;
1213023;"Brzeszcze (3)";2,0;
1213033;"Chełmek (3)";2,0;
1213043;"Kęty (3)";4,3;
1213052;"Osiek (2)";2,1;
1213062;"Oświęcim (2)";1,8;
1213072;"Polanka Wielka (2)";1,6;
1213082;"Przeciszów (2)";2,4;
1213093;"Zator (3)";2,7;
1214012;"Koniusza (2)";2,7;
1214023;"Koszyce (3)";2,8;
1214033;"Nowe Brzesko (3)";3,4;
1214042;"Pałecznica (2)";2,7;
1214053;"Proszowice (3)";3,5;
1214062;"Radziemice (2)";3,2;
1215011;"Jordanów (1)";2,6;
1215021;"Sucha Beskidzka (1)";4,3;
1215032;"Budzów (2)";3,3;
1215042;"Bystra-Sidzina (2)";2,0;
1215052;"Jordanów (2)";2,2;
1215063;"Maków Podhalański (3)";3,5;
1215072;"Stryszawa (2)";2,7;
1215082;"Zawoja (2)";3,4;
1215092;"Zembrzyce (2)";2,9;
1216013;"Ciężkowice (3)";2,8;
1216022;"Gromnik (2)";3,0;
1216032;"Lisia Góra (2)";3,3;
1216042;"Pleśna (2)";3,4;
1216053;"Radłów (3)";3,5;
1216063;"Ryglice (3)";2,2;
1216072;"Rzepiennik Strzyżewski (2)";2,3;
1216082;"Skrzyszów (2)";3,2;
1216092;"Tarnów (2)";3,2;
1216103;"Tuchów (3)";3,2;
1216112;"Wierzchosławice (2)";3,1;
1216122;"Wietrzychowice (2)";4,6;
1216133;"Wojnicz (3)";2,7;
1216143;"Zakliczyn (3)";2,7;
1216153;"Żabno (3)";4,7;
1216162;"Szerzyny (2)";3,6;
1217011;"Zakopane (1)";6,5;
1217022;"Biały Dunajec (2)";5,3;
1217032;"Bukowina Tatrzańska (2)";3,8;
1217042;"Kościelisko (2)";5,9;
1217052;"Poronin (2)";6,2;
1218013;"Andrychów (3)";4,2;
1218022;"Brzeźnica (2)";2,0;
1218033;"Kalwaria Zebrzydowska (3)";2,2;
1218042;"Lanckorona (2)";2,5;
1218052;"Mucharz (2)";3,0;
1218062;"Spytkowice (2)";2,4;
1218072;"Stryszów (2)";2,8;
1218082;"Tomice (2)";2,6;
1218093;"Wadowice (3)";2,7;
1218102;"Wieprz (2)";2,9;
1219012;"Biskupice (2)";2,4;
1219022;"Gdów (2)";2,6;
1219032;"Kłaj (2)";2,5;
1219043;"Niepołomice (3)";2,2;
1219053;"Wieliczka (3)";2,8;
1261011;"Kraków (1)";2,1;
1262011;"Nowy Sącz (1)";2,5;
1263011;"Tarnów (1)";3,7;
1401013;"Białobrzegi (3)";5,7;
1401022;"Promna (2)";4,1;
1401032;"Radzanów (2)";4,8;
1401042;"Stara Błotnica (2)";5,2;
1401052;"Stromiec (2)";5,3;
1401063;"Wyśmierzyce (3)";6,4;
1402011;"Ciechanów (1)";5,9;
1402022;"Ciechanów (2)";4,5;
1402033;"Glinojeck (3)";5,4;
1402042;"Gołymin-Ośrodek (2)";6,8;
1402052;"Grudusk (2)";4,9;
1402062;"Ojrzeń (2)";6,7;
1402072;"Opinogóra Górna (2)";5,6;
1402082;"Regimin (2)";6,0;
1402092;"Sońsk (2)";4,8;
1403011;"Garwolin (1)";6,3;
1403021;"Łaskarzew (1)";6,3;
1403032;"Borowie (2)";5,4;
1403042;"Garwolin (2)";5,8;
1403052;"Górzno (2)";5,1;
1403062;"Łaskarzew (2)";4,9;
1403072;"Maciejowice (2)";5,9;
1403082;"Miastków Kościelny (2)";5,3;
1403092;"Parysów (2)";5,6;
1403103;"Pilawa (3)";5,6;
1403112;"Sobolew (2)";3,9;
1403122;"Trojanów (2)";4,1;
1403132;"Wilga (2)";5,5;
1403143;"Żelechów (3)";6,3;
1404011;"Gostynin (1)";7,2;
1404022;"Gostynin (2)";8,3;
1404032;"Pacyna (2)";6,7;
1404043;"Sanniki (3)";5,7;
1404052;"Szczawin Kościelny (2)";8,9;
1405011;"Milanówek (1)";1,5;
1405021;"Podkowa Leśna (1)";1,0;
1405032;"Baranów (2)";1,8;
1405043;"Grodzisk Mazowiecki (3)";1,6;
1405052;"Jaktorów (2)";1,4;
1405062;"Żabia Wola (2)";1,5;
1406012;"Belsk Duży (2)";1,0;
1406022;"Błędów (2)";1,1;
1406032;"Chynów (2)";1,6;
1406042;"Goszczyn (2)";1,4;
1406053;"Grójec (3)";1,7;
1406062;"Jasieniec (2)";1,1;
1406073;"Mogielnica (3)";1,5;
1406083;"Nowe Miasto nad Pilicą (3)";1,8;
1406092;"Pniewy (2)";1,7;
1406113;"Warka (3)";1,7;
1407012;"Garbatka-Letnisko (2)";9,8;
1407022;"Głowaczów (2)";7,2;
1407032;"Gniewoszów (2)";6,6;
1407042;"Grabów nad Pilicą (2)";4,9;
1407053;"Kozienice (3)";6,6;
1407062;"Magnuszew (2)";5,3;
1407072;"Sieciechów (2)";5,9;
1408011;"Legionowo (1)";3,4;
1408022;"Jabłonna (2)";2,6;
1408032;"Nieporęt (2)";2,6;
1408043;"Serock (3)";3,6;
1408052;"Wieliszew (2)";3,3;
1409012;"Chotcza (2)";9,8;
1409022;"Ciepielów (2)";8,2;
1409033;"Lipsko (3)";7,4;
1409042;"Rzeczniów (2)";6,1;
1409052;"Sienno (2)";8,1;
1409062;"Solec nad Wisłą (2)";9,1;
1410012;"Huszlew (2)";3,9;
1410023;"Łosice (3)";4,0;
1410032;"Olszanka (2)";2,7;
1410042;"Platerów (2)";3,3;
1410052;"Sarnaki (2)";4,1;
1410062;"Stara Kornica (2)";3,3;
1411011;"Maków Mazowiecki (1)";10,9;
1411022;"Czerwonka (2)";10,9;
1411032;"Karniewo (2)";9,1;
1411042;"Krasnosielc (2)";11,1;
1411052;"Młynarze (2)";9,1;
1411062;"Płoniawy-Bramura (2)";11,0;
1411073;"Różan (3)";11,5;
1411082;"Rzewnie (2)";10,6;
1411092;"Sypniewo (2)";9,1;
1411102;"Szelków (2)";11,2;
1412011;"Mińsk Mazowiecki (1)";3,1;
1412042;"Cegłów (2)";2,9;
1412052;"Dębe Wielkie (2)";2,5;
1412062;"Dobre (2)";2,4;
1412073;"Halinów (3)";2,2;
1412082;"Jakubów (2)";2,5;
1412093;"Kałuszyn (3)";3,3;
1412102;"Latowicz (2)";2,4;
1412112;"Mińsk Mazowiecki (2)";2,6;
1412123;"Mrozy (3)";2,5;
1412132;"Siennica (2)";2,6;
1412142;"Stanisławów (2)";2,6;
1412151;"Sulejówek (1)";1,8;
1413011;"Mława (1)";4,2;
1413022;"Dzierzgowo (2)";4,0;
1413032;"Lipowiec Kościelny (2)";3,8;
1413042;"Radzanów (2)";3,7;
1413052;"Strzegowo (2)";3,8;
1413062;"Stupsk (2)";3,3;
1413072;"Szreńsk (2)";3,8;
1413082;"Szydłowo (2)";3,4;
1413092;"Wieczfnia Kościelna (2)";3,1;
1413102;"Wiśniewo (2)";3,5;
1414011;"Nowy Dwór Mazowiecki (1)";3,6;
1414022;"Czosnów (2)";3,0;
1414032;"Leoncin (2)";3,0;
1414043;"Nasielsk (3)";4,7;
1414052;"Pomiechówek (2)";3,6;
1414063;"Zakroczym (3)";4,0;
1415012;"Baranowo (2)";6,2;
1415022;"Czarnia (2)";3,9;
1415032;"Czerwin (2)";3,4;
1415042;"Goworowo (2)";5,4;
1415052;"Kadzidło (2)";4,1;
1415062;"Lelis (2)";5,9;
1415072;"Łyse (2)";5,8;
1415083;"Myszyniec (3)";5,6;
1415092;"Olszewo-Borki (2)";7,1;
1415102;"Rzekuń (2)";4,9;
1415112;"Troszyn (2)";4,7;
1416011;"Ostrów Mazowiecka (1)";6,3;
1416022;"Andrzejewo (2)";2,5;
1416032;"Boguty-Pianki (2)";3,1;
1416043;"Brok (3)";5,9;
1416052;"Małkinia Górna (2)";5,0;
1416062;"Nur (2)";4,0;
1416072;"Ostrów Mazowiecka (2)";6,2;
1416082;"Stary Lubotyń (2)";4,3;
1416092;"Szulborze Wielkie (2)";4,1;
1416102;"Wąsewo (2)";5,4;
1416112;"Zaręby Kościelne (2)";5,5;
1417011;"Józefów (1)";2,3;
1417021;"Otwock (1)";2,9;
1417032;"Celestynów (2)";2,2;
1417043;"Karczew (3)";2,6;
1417052;"Kołbiel (2)";1,7;
1417062;"Osieck (2)";3,1;
1417072;"Sobienie-Jeziory (2)";2,0;
1417082;"Wiązowna (2)";2,1;
1418013;"Góra Kalwaria (3)";3,3;
1418023;"Konstancin-Jeziorna (3)";2,9;
1418032;"Lesznowola (2)";1,9;
1418043;"Piaseczno (3)";2,3;
1418052;"Prażmów (2)";2,7;
1418063;"Tarczyn (3)";3,2;
1419012;"Bielsk (2)";5,8;
1419022;"Bodzanów (2)";5,5;
1419032;"Brudzeń Duży (2)";5,9;
1419042;"Bulkowo (2)";6,1;
1419053;"Drobin (3)";5,7;
1419063;"Gąbin (3)";5,6;
1419072;"Łąck (2)";6,9;
1419082;"Mała Wieś (2)";4,6;
1419092;"Nowy Duninów (2)";8,0;
1419102;"Radzanowo (2)";5,3;
1419112;"Słubice (2)";5,3;
1419122;"Słupno (2)";4,6;
1419132;"Stara Biała (2)";4,9;
1419142;"Staroźreby (2)";5,8;
1419153;"Wyszogród (3)";3,5;
1420011;"Płońsk (1)";7,1;
1420021;"Raciąż (1)";7,6;
1420032;"Baboszewo (2)";6,3;
1420042;"Czerwińsk nad Wisłą (2)";4,6;
1420052;"Dzierzążnia (2)";5,4;
1420062;"Joniec (2)";4,7;
1420072;"Naruszewo (2)";5,4;
1420082;"Nowe Miasto (2)";7,2;
1420092;"Płońsk (2)";6,9;
1420102;"Raciąż (2)";3,7;
1420112;"Sochocin (2)";6,4;
1420122;"Załuski (2)";5,3;
1421011;"Piastów (1)";2,3;
1421021;"Pruszków (1)";2,3;
1421033;"Brwinów (3)";2,3;
1421042;"Michałowice (2)";1,9;
1421052;"Nadarzyn (2)";1,9;
1421062;"Raszyn (2)";1,6;
1422011;"Przasnysz (1)";5,8;
1422023;"Chorzele (3)";5,1;
1422032;"Czernice Borowe (2)";4,7;
1422042;"Jednorożec (2)";7,1;
1422052;"Krasne (2)";4,5;
1422062;"Krzynowłoga Mała (2)";4,5;
1422072;"Przasnysz (2)";6,0;
1423012;"Borkowice (2)";19,1;
1423022;"Gielniów (2)";16,3;
1423032;"Klwów (2)";8,9;
1423042;"Odrzywół (2)";11,9;
1423052;"Potworów (2)";10,6;
1423063;"Przysucha (3)";11,9;
1423072;"Rusinów (2)";15,0;
1423082;"Wieniawa (2)";15,2;
1424012;"Gzy (2)";5,5;
1424022;"Obryte (2)";6,7;
1424032;"Pokrzywnica (2)";7,6;
1424043;"Pułtusk (3)";8,4;
1424052;"Świercze (2)";8,8;
1424062;"Winnica (2)";6,5;
1424072;"Zatory (2)";8,0;
1425011;"Pionki (1)";8,4;
1425022;"Gózd (2)";10,6;
1425033;"Iłża (3)";11,5;
1425042;"Jastrzębia (2)";7,4;
1425052;"Jedlińsk (2)";7,3;
1425062;"Jedlnia-Letnisko (2)";8,7;
1425072;"Kowala (2)";9,0;
1425082;"Pionki (2)";11,5;
1425092;"Przytyk (2)";10,3;
1425103;"Skaryszew (3)";9,9;
1425112;"Wierzbica (2)";13,1;
1425122;"Wolanów (2)";8,9;
1425132;"Zakrzew (2)";8,0;
1426012;"Domanice (2)";3,3;
1426022;"Korczew (2)";4,0;
1426032;"Kotuń (2)";2,7;
1426042;"Mokobody (2)";2,2;
1426053;"Mordy (3)";3,5;
1426062;"Paprotnia (2)";2,1;
1426072;"Przesmyki (2)";2,8;
1426082;"Siedlce (2)";2,6;
1426092;"Skórzec (2)";2,6;
1426102;"Suchożebry (2)";3,0;
1426112;"Wiśniew (2)";2,7;
1426122;"Wodynie (2)";2,6;
1426132;"Zbuczyn (2)";2,5;
1427011;"Sierpc (1)";8,0;
1427022;"Gozdowo (2)";8,6;
1427032;"Mochowo (2)";11,3;
1427042;"Rościszewo (2)";8,9;
1427052;"Sierpc (2)";9,6;
1427062;"Szczutowo (2)";8,2;
1427072;"Zawidz (2)";7,5;
1428011;"Sochaczew (1)";3,5;
1428022;"Brochów (2)";4,3;
1428032;"Iłów (2)";3,6;
1428042;"Młodzieszyn (2)";2,7;
1428052;"Nowa Sucha (2)";2,9;
1428062;"Rybno (2)";2,3;
1428072;"Sochaczew (2)";3,2;
1428082;"Teresin (2)";2,1;
1429011;"Sokołów Podlaski (1)";5,1;
1429022;"Bielany (2)";3,2;
1429032;"Ceranów (2)";4,1;
1429042;"Jabłonna Lacka (2)";3,2;
1429053;"Kosów Lacki (3)";3,2;
1429062;"Repki (2)";3,0;
1429072;"Sabnie (2)";3,9;
1429082;"Sokołów Podlaski (2)";4,1;
1429092;"Sterdyń (2)";3,6;
1430012;"Chlewiska (2)";15,8;
1430022;"Jastrząb (2)";13,2;
1430032;"Mirów (2)";14,7;
1430042;"Orońsko (2)";14,1;
1430053;"Szydłowiec (3)";12,7;
1432013;"Błonie (3)";1,0;
1432022;"Izabelin (2)";2,1;
1432032;"Kampinos (2)";2,3;
1432042;"Leszno (2)";1,8;
1432053;"Łomianki (3)";1,6;
1432063;"Ożarów Mazowiecki (3)";1,3;
1432072;"Stare Babice (2)";1,4;
1433011;"Węgrów (1)";4,0;
1433022;"Grębków (2)";2,5;
1433032;"Korytnica (2)";3,0;
1433042;"Liw (2)";4,0;
1433053;"Łochów (3)";3,8;
1433062;"Miedzna (2)";2,8;
1433072;"Sadowne (2)";4,4;
1433082;"Stoczek (2)";4,0;
1433092;"Wierzbno (2)";3,3;
1434011;"Kobyłka (1)";3,4;
1434021;"Marki (1)";2,6;
1434031;"Ząbki (1)";1,9;
1434041;"Zielonka (1)";3,4;
1434052;"Dąbrówka (2)";3,1;
1434062;"Jadów (2)";6,7;
1434072;"Klembów (2)";4,4;
1434082;"Poświętne (2)";3,7;
1434093;"Radzymin (3)";3,5;
1434102;"Strachówka (2)";4,0;
1434113;"Tłuszcz (3)";4,9;
1434123;"Wołomin (3)";4,3;
1435012;"Brańszczyk (2)";1,8;
1435022;"Długosiodło (2)";2,7;
1435032;"Rząśnik (2)";1,8;
1435042;"Somianka (2)";2,0;
1435053;"Wyszków (3)";2,4;
1435062;"Zabrodzie (2)";1,8;
1436012;"Kazanów (2)";7,6;
1436022;"Policzna (2)";7,0;
1436032;"Przyłęk (2)";4,5;
1436042;"Tczów (2)";6,6;
1436053;"Zwoleń (3)";6,8;
1437013;"Bieżuń (3)";9,3;
1437022;"Kuczbork-Osada (2)";12,4;
1437033;"Lubowidz (3)";10,7;
1437042;"Lutocin (2)";8,4;
1437052;"Siemiątkowo (2)";10,3;
1437063;"Żuromin (3)";10,1;
1438011;"Żyrardów (1)";5,9;
1438023;"Mszczonów (3)";4,5;
1438032;"Puszcza Mariańska (2)";6,1;
1438042;"Radziejowice (2)";5,0;
1438052;"Wiskitki (2)";7,1;
1461011;"Ostrołęka (1)";6,8;
1462011;"Płock (1)";5,5;
1463011;"Radom (1)";8,3;
1464011;"Siedlce (1)";3,2;
1465011;"M.st.Warszawa od 2002 (1)";1,7;
1601011;"Brzeg (1)";3,9;
1601022;"Skarbimierz (2)";3,2;
1601033;"Grodków (3)";4,3;
1601043;"Lewin Brzeski (3)";4,2;
1601052;"Lubsza (2)";3,9;
1601062;"Olszanka (2)";3,5;
1602013;"Baborów (3)";4,8;
1602022;"Branice (2)";4,4;
1602033;"Głubczyce (3)";5,7;
1602043;"Kietrz (3)";4,0;
1603011;"Kędzierzyn-Koźle (1)";4,5;
1603022;"Bierawa (2)";3,6;
1603032;"Cisek (2)";3,0;
1603042;"Pawłowiczki (2)";4,4;
1603052;"Polska Cerekiew (2)";4,6;
1603062;"Reńska Wieś (2)";4,5;
1604013;"Byczyna (3)";4,4;
1604023;"Kluczbork (3)";3,3;
1604032;"Lasowice Wielkie (2)";2,4;
1604043;"Wołczyn (3)";4,5;
1605013;"Gogolin (3)";3,5;
1605023;"Krapkowice (3)";4,2;
1605032;"Strzeleczki (2)";4,3;
1605042;"Walce (2)";2,6;
1605053;"Zdzieszowice (3)";3,1;
1606012;"Domaszowice (2)";4,3;
1606023;"Namysłów (3)";4,0;
1606032;"Pokój (2)";3,8;
1606042;"Świerczów (2)";5,2;
1606052;"Wilków (2)";4,0;
1607013;"Głuchołazy (3)";4,1;
1607022;"Kamiennik (2)";4,5;
1607033;"Korfantów (3)";3,3;
1607042;"Łambinowice (2)";3,5;
1607053;"Nysa (3)";3,1;
1607063;"Otmuchów (3)";3,8;
1607073;"Paczków (3)";4,6;
1607082;"Pakosławice (2)";4,2;
1607092;"Skoroszyce (2)";2,9;
1608013;"Dobrodzień (3)";2,1;
1608023;"Gorzów Śląski (3)";2,6;
1608033;"Olesno (3)";2,2;
1608043;"Praszka (3)";2,9;
1608052;"Radłów (2)";2,5;
1608062;"Rudniki (2)";2,9;
1608072;"Zębowice (2)";3,0;
1609012;"Chrząstowice (2)";2,2;
1609022;"Dąbrowa (2)";2,9;
1609032;"Dobrzeń Wielki (2)";2,0;
1609042;"Komprachcice (2)";2,5;
1609052;"Łubniany (2)";2,3;
1609062;"Murów (2)";3,1;
1609073;"Niemodlin (3)";3,0;
1609083;"Ozimek (3)";2,4;
1609092;"Popielów (2)";2,5;
1609103;"Prószków (3)";2,0;
1609112;"Tarnów Opolski (2)";2,2;
1609123;"Tułowice (3)";2,5;
1609132;"Turawa (2)";2,6;
1610013;"Biała (3)";2,9;
1610023;"Głogówek (3)";2,6;
1610032;"Lubrza (2)";4,5;
1610043;"Prudnik (3)";6,0;
1611012;"Izbicko (2)";2,3;
1611022;"Jemielnica (2)";2,5;
1611033;"Kolonowskie (3)";2,3;
1611043;"Leśnica (3)";2,4;
1611053;"Strzelce Opolskie (3)";3,3;
1611063;"Ujazd (3)";2,5;
1611073;"Zawadzkie (3)";2,5;
1661011;"Opole (1)";3,0;
1801032;"Czarna (2)";9,0;
1801052;"Lutowiska (2)";10,5;
1801083;"Ustrzyki Dolne (3)";8,2;
1802013;"Brzozów (3)";10,3;
1802022;"Domaradz (2)";12,0;
1802032;"Dydnia (2)";12,1;
1802042;"Haczów (2)";8,2;
1802052;"Jasienica Rosielna (2)";10,6;
1802062;"Nozdrzec (2)";11,0;
1803011;"Dębica (1)";3,4;
1803023;"Brzostek (3)";3,3;
1803032;"Czarna (2)";4,0;
1803042;"Dębica (2)";3,4;
1803052;"Jodłowa (2)";3,1;
1803063;"Pilzno (3)";2,8;
1803072;"Żyraków (2)";2,6;
1804011;"Jarosław (1)";7,2;
1804021;"Radymno (1)";7,3;
1804032;"Chłopice (2)";6,4;
1804042;"Jarosław (2)";6,9;
1804052;"Laszki (2)";8,3;
1804062;"Pawłosiów (2)";6,5;
1804073;"Pruchnik (3)";8,3;
1804082;"Radymno (2)";6,0;
1804092;"Rokietnica (2)";6,4;
1804102;"Roźwienica (2)";7,9;
