"Kod";"Nazwa";"ogółem;wodociąg;2019;[%]";"ogółem;kanalizacja;2019;[%]";"ogółem;gaz;2019;[%]";
0617042;"Rybczewice (2)";85,5;0,0;0,0;
0617052;"Trawniki (2)";90,6;34,5;0,0;
0618011;"Tomaszów Lubelski (1)";93,2;84,2;92,1;
0618022;"Bełżec (2)";0,0;47,7;12,7;
0618032;"Jarczów (2)";67,9;14,7;0,0;
0618042;"Krynice (2)";89,5;8,1;18,3;
0618053;"Lubycza Królewska (3)";42,5;56,3;4,8;
0618063;"Łaszczów (3)";99,9;34,5;0,0;
0618072;"Rachanie (2)";98,1;3,7;0,0;
0618082;"Susiec (2)";94,0;32,3;26,4;
0618092;"Tarnawatka (2)";99,3;47,1;6,8;
0618102;"Telatyn (2)";87,4;21,8;0,0;
0618112;"Tomaszów Lubelski (2)";78,7;6,8;23,5;
0618123;"Tyszowce (3)";82,3;14,4;0,1;
0618132;"Ulhówek (2)";70,9;31,7;0,0;
0619011;"Włodawa (1)";98,7;93,1;2,8;
0619022;"Hanna (2)";98,8;25,3;0,0;
0619032;"Hańsk (2)";73,5;35,0;0,5;
0619042;"Stary Brus (2)";88,3;20,9;0,0;
0619052;"Urszulin (2)";90,0;28,0;0,0;
0619062;"Włodawa (2)";95,7;54,8;1,8;
0619072;"Wola Uhruska (2)";65,6;40,0;1,3;
0619082;"Wyryki (2)";81,5;15,6;0,0;
0620012;"Adamów (2)";47,7;0,5;17,3;
0620022;"Grabowiec (2)";41,2;0,0;0,0;
0620032;"Komarów-Osada (2)";53,5;0,0;32,0;
0620043;"Krasnobród (3)";88,4;42,5;31,3;
0620052;"Łabunie (2)";7,1;23,2;37,8;
0620062;"Miączyn (2)";3,6;2,8;12,5;
0620072;"Nielisz (2)";63,2;0,0;2,4;
0620082;"Radecznica (2)";87,4;7,1;0,0;
0620092;"Sitno (2)";46,4;8,5;41,2;
0620102;"Skierbieszów (2)";75,0;16,9;0,1;
0620112;"Stary Zamość (2)";88,6;0,0;35,5;
0620122;"Sułów (2)";84,1;9,3;0,0;
0620133;"Szczebrzeszyn (3)";88,3;30,8;9,0;
0620142;"Zamość (2)";39,0;21,9;43,8;
0620153;"Zwierzyniec (3)";89,9;52,9;29,7;
0661011;"Biała Podlaska (1)";86,8;86,1;49,3;
0662011;"Chełm (1)";97,2;93,4;63,4;
0663011;"Lublin (1)";95,5;91,9;87,9;
0664011;"Zamość (1)";94,9;91,2;96,5;
0801011;"Kostrzyn nad Odrą (1)";99,9;93,0;92,3;
0801022;"Bogdaniec (2)";99,7;68,8;30,9;
0801032;"Deszczno (2)";81,6;60,2;18,4;
0801042;"Kłodawa (2)";98,9;67,8;43,6;
0801052;"Lubiszyn (2)";84,9;44,9;7,7;
0801062;"Santok (2)";95,0;72,6;44,5;
0801073;"Witnica (3)";87,6;59,3;49,1;
0802011;"Gubin (1)";99,0;93,5;93,0;
0802022;"Bobrowice (2)";97,8;53,4;0,0;
0802032;"Bytnica (2)";95,5;47,9;0,0;
0802042;"Dąbie (2)";90,0;20,6;7,4;
0802052;"Gubin (2)";85,7;9,8;6,1;
0802063;"Krosno Odrzańskie (3)";87,0;73,7;14,9;
0802072;"Maszewo (2)";98,4;19,8;1,7;
0803012;"Bledzew (2)";93,0;32,7;4,0;
0803023;"Międzyrzecz (3)";93,1;85,5;20,1;
0803032;"Przytoczna (2)";89,7;44,7;29,8;
0803042;"Pszczew (2)";83,6;62,0;17,6;
0803053;"Skwierzyna (3)";89,6;66,7;18,0;
0803063;"Trzciel (3)";72,9;45,6;0,0;
0804011;"Nowa Sól (1)";99,8;99,6;89,3;
0804023;"Bytom Odrzański (3)";96,0;74,7;58,1;
0804032;"Kolsko (2)";67,7;25,4;0,1;
0804043;"Kożuchów (3)";89,8;56,0;8,7;
0804052;"Nowa Sól (2)";97,0;43,0;12,5;
0804063;"Nowe Miasteczko (3)";95,9;62,1;5,4;
0804073;"Otyń (3)";99,1;56,2;32,6;
0804082;"Siedlisko (2)";84,8;42,6;0,0;
0805013;"Cybinka (3)";88,3;52,0;16,6;
0805022;"Górzyca (2)";96,5;75,2;22,9;
0805033;"Ośno Lubuskie (3)";98,1;57,9;19,1;
0805043;"Rzepin (3)";86,8;70,3;24,4;
0805053;"Słubice (3)";95,1;82,1;79,6;
0806013;"Dobiegniew (3)";90,8;73,4;0,0;
0806023;"Drezdenko (3)";87,6;55,3;56,7;
0806032;"Stare Kurowo (2)";94,0;28,4;4,3;
0806043;"Strzelce Krajeńskie (3)";97,8;69,5;16,4;
0806052;"Zwierzyn (2)";98,2;0,0;1,5;
0807012;"Krzeszyce (2)";88,4;29,9;6,8;
0807023;"Lubniewice (3)";92,1;80,7;21,0;
0807032;"Słońsk (2)";99,6;62,2;8,1;
0807043;"Sulęcin (3)";95,4;79,1;21,0;
0807053;"Torzym (3)";84,2;56,8;5,0;
0808012;"Lubrza (2)";99,9;69,3;11,9;
0808022;"Łagów (2)";93,2;85,2;13,0;
0808032;"Skąpe (2)";91,8;69,2;50,2;
0808042;"Szczaniec (2)";100,0;48,8;0,0;
0808053;"Świebodzin (3)";92,9;92,4;68,9;
0808063;"Zbąszynek (3)";95,2;90,7;74,6;
0809013;"Babimost (3)";89,3;92,9;89,4;
0809022;"Bojadła (2)";88,3;39,7;0,0;
0809033;"Czerwieńsk (3)";96,2;67,1;38,6;
0809043;"Kargowa (3)";85,2;53,8;71,6;
0809053;"Nowogród Bobrzański (3)";98,7;52,6;15,6;
0809063;"Sulechów (3)";99,8;79,1;71,4;
0809072;"Świdnica (2)";96,6;95,9;26,0;
0809082;"Trzebiechów (2)";97,1;7,1;0,9;
0809092;"Zabór (2)";98,1;25,6;29,7;
0810011;"Gozdnica (1)";98,6;84,0;21,9;
0810021;"Żagań (1)";99,9;88,1;94,9;
0810032;"Brzeźnica (2)";91,1;10,8;0,0;
0810043;"Iłowa (3)";90,4;43,5;56,7;
0810053;"Małomice (3)";95,5;66,9;41,0;
0810062;"Niegosławice (2)";96,7;50,7;0,0;
0810073;"Szprotawa (3)";93,0;67,3;59,0;
0810082;"Wymiarki (2)";95,4;11,4;38,4;
0810092;"Żagań (2)";99,9;89,2;21,2;
0811011;"Łęknica (1)";97,6;94,8;0,0;
0811021;"Żary (1)";95,5;93,8;86,2;
0811032;"Brody (2)";91,8;46,5;0,0;
0811043;"Jasień (3)";93,7;45,6;60,7;
0811052;"Lipinki Łużyckie (2)";90,7;3,0;0,0;
0811063;"Lubsko (3)";98,0;68,6;69,0;
0811072;"Przewóz (2)";100,0;19,2;0,0;
0811082;"Trzebiel (2)";81,6;0,0;0,0;
0811092;"Tuplice (2)";100,0;30,6;0,0;
0811102;"Żary (2)";82,5;14,4;0,4;
0812013;"Sława (3)";86,4;47,3;5,4;
0812023;"Szlichtyngowa (3)";97,4;93,5;0,0;
0812033;"Wschowa (3)";96,5;76,5;65,5;
0861011;"Gorzów Wielkopolski (1)";100,0;99,9;78,2;
0862011;"Zielona Góra (1)";95,0;84,9;85,2;
1001011;"Bełchatów (1)";98,6;95,1;78,5;
1001022;"Bełchatów (2)";98,3;27,0;0,6;
1001032;"Drużbice (2)";95,0;8,6;0,0;
1001042;"Kleszczów (2)";99,9;79,3;66,1;
1001052;"Kluki (2)";99,9;11,5;0,0;
1001062;"Rusiec (2)";95,9;12,0;0,0;
1001072;"Szczerców (2)";99,9;59,1;0,0;
1001083;"Zelów (3)";69,7;45,9;0,0;
1002011;"Kutno (1)";94,6;91,7;11,3;
1002022;"Bedlno (2)";86,0;0,0;0,0;
1002032;"Dąbrowice (2)";99,9;0,0;0,0;
1002043;"Krośniewice (3)";99,8;50,5;2,2;
1002052;"Krzyżanów (2)";95,6;11,3;2,7;
1002062;"Kutno (2)";96,5;23,5;0,9;
1002072;"Łanięta (2)";94,2;44,4;0,0;
1002082;"Nowe Ostrowy (2)";91,6;30,8;0,0;
1002092;"Oporów (2)";86,3;0,0;0,0;
1002102;"Strzelce (2)";93,7;17,6;3,5;
1002113;"Żychlin (3)";98,0;64,4;0,0;
1003012;"Buczek (2)";79,8;37,4;0,1;
1003023;"Łask (3)";88,9;59,6;5,8;
1003032;"Sędziejowice (2)";87,6;25,9;0,0;
1003042;"Widawa (2)";84,3;18,9;0,0;
1003052;"Wodzierady (2)";70,8;0,0;0,0;
1004011;"Łęczyca (1)";98,5;92,1;9,8;
1004022;"Daszyna (2)";88,0;10,6;2,3;
1004032;"Góra Świętej Małgorzaty (2)";80,5;31,8;0,1;
1004042;"Grabów (2)";97,1;22,0;0,1;
1004052;"Łęczyca (2)";93,5;0,6;0,5;
1004062;"Piątek (2)";99,9;26,9;0,0;
1004072;"Świnice Warckie (2)";89,5;15,2;0,1;
1004082;"Witonia (2)";97,8;0,2;2,4;
1005011;"Łowicz (1)";95,5;91,0;8,9;
1005022;"Bielawy (2)";87,8;4,2;0,0;
1005032;"Chąśno (2)";89,8;8,7;0,1;
1005042;"Domaniewice (2)";89,4;22,4;0,0;
1005052;"Kiernozia (2)";86,1;27,1;0,0;
1005062;"Kocierzew Południowy (2)";99,9;0,0;0,0;
1005072;"Łowicz (2)";96,5;29,8;0,3;
1005082;"Łyszkowice (2)";96,3;21,7;0,2;
1005092;"Nieborów (2)";90,6;0,0;0,0;
1005102;"Zduny (2)";93,1;20,6;0,0;
1006022;"Andrespol (2)";91,8;42,7;70,7;
1006032;"Brójce (2)";98,8;0,0;20,1;
1006073;"Koluszki (3)";92,5;52,8;43,1;
1006082;"Nowosolna (2)";97,4;3,4;69,7;
1006103;"Rzgów (3)";99,2;60,9;45,9;
1006113;"Tuszyn (3)";99,2;32,2;34,5;
1007012;"Białaczów (2)";84,7;73,0;0,0;
1007023;"Drzewica (3)";97,0;88,0;0,0;
1007032;"Mniszków (2)";95,4;30,3;0,9;
1007043;"Opoczno (3)";93,2;76,9;27,1;
1007052;"Paradyż (2)";87,2;46,0;0,1;
1007062;"Poświętne (2)";98,2;20,2;0,0;
1007072;"Sławno (2)";92,2;52,1;34,7;
1007082;"Żarnów (2)";86,0;29,5;9,3;
1008011;"Konstantynów Łódzki (1)";98,6;75,6;77,2;
1008021;"Pabianice (1)";92,9;86,2;67,0;
1008032;"Dłutów (2)";81,9;26,2;0,0;
1008042;"Dobroń (2)";100,0;27,6;19,6;
1008052;"Ksawerów (2)";87,3;72,0;66,3;
1008062;"Lutomiersk (2)";89,7;0,0;32,8;
1008072;"Pabianice (2)";99,9;29,9;6,6;
1009013;"Działoszyn (3)";99,6;77,7;4,5;
1009022;"Kiełczygłów (2)";99,9;0,0;0,0;
1009032;"Nowa Brzeźnica (2)";76,6;0,0;0,0;
1009043;"Pajęczno (3)";96,4;54,6;4,0;
1009052;"Rząśnia (2)";99,9;61,8;0,0;
1009062;"Siemkowice (2)";99,4;8,6;0,0;
1009072;"Strzelce Wielkie (2)";99,9;15,5;0,0;
1009082;"Sulmierzyce (2)";99,1;57,9;0,1;
1010012;"Aleksandrów (2)";92,1;0,0;0,0;
1010022;"Czarnocin (2)";97,0;40,8;0,0;
1010032;"Gorzkowice (2)";98,1;31,4;4,5;
1010042;"Grabica (2)";90,2;22,2;0,0;
1010052;"Łęki Szlacheckie (2)";76,5;0,0;0,0;
1010062;"Moszczenica (2)";93,7;49,4;0,1;
1010072;"Ręczno (2)";92,0;16,5;0,0;
1010082;"Rozprza (2)";99,2;22,9;0,0;
1010093;"Sulejów (3)";99,9;24,0;15,3;
1010102;"Wola Krzysztoporska (2)";99,9;38,0;0,8;
1010113;"Wolbórz (3)";96,1;75,0;15,8;
1011012;"Dalików (2)";99,3;6,1;0,1;
1011022;"Pęczniew (2)";99,7;7,6;0,0;
1011033;"Poddębice (3)";90,0;48,2;11,6;
1011043;"Uniejów (3)";90,3;47,1;1,1;
1011052;"Wartkowice (2)";80,2;19,2;1,2;
1011062;"Zadzim (2)";91,8;8,2;0,0;
1012011;"Radomsko (1)";96,5;82,1;49,9;
1012022;"Dobryszyce (2)";95,0;35,1;0,0;
1012032;"Gidle (2)";81,8;32,6;0,0;
1012042;"Gomunice (2)";98,8;32,0;26,0;
1012053;"Kamieńsk (3)";96,6;73,4;14,4;
1012062;"Kobiele Wielkie (2)";83,4;10,3;2,9;
1012072;"Kodrąb (2)";94,1;24,5;0,1;
1012082;"Lgota Wielka (2)";95,0;60,7;0,0;
1012092;"Ładzice (2)";89,7;24,4;0,1;
1012102;"Masłowice (2)";83,2;1,0;0,0;
1012113;"Przedbórz (3)";92,6;38,4;0,0;
1012122;"Radomsko (2)";99,2;36,8;18,3;
1012132;"Wielgomłyny (2)";98,7;22,9;0,0;
1012142;"Żytno (2)";93,5;12,2;0,0;
1013011;"Rawa Mazowiecka (1)";92,6;87,8;75,6;
1013023;"Biała Rawska (3)";61,8;23,1;0,9;
1013032;"Cielądz (2)";89,3;18,1;0,0;
1013042;"Rawa Mazowiecka (2)";100,0;8,4;2,9;
1013052;"Regnów (2)";87,7;0,0;0,0;
1013062;"Sadkowice (2)";70,9;9,1;0,9;
1014011;"Sieradz (1)";96,2;90,7;5,9;
1014023;"Błaszki (3)";89,4;19,9;0,0;
1014032;"Brąszewice (2)";98,6;21,4;0,0;
1014042;"Brzeźnio (2)";94,3;20,8;0,0;
1014052;"Burzenin (2)";78,3;13,4;0,0;
1014062;"Goszczanów (2)";98,2;16,8;0,0;
1014072;"Klonowa (2)";86,1;1,3;0,0;
1014082;"Sieradz (2)";85,8;50,2;0,0;
1014093;"Warta (3)";98,0;21,4;0,6;
1014102;"Wróblew (2)";94,1;8,3;1,4;
1014113;"Złoczew (3)";93,3;27,8;0,0;
1015012;"Bolimów (2)";86,7;33,0;0,0;
1015022;"Głuchów (2)";94,2;30,1;0,4;
1015032;"Godzianów (2)";89,7;0,8;0,0;
1015042;"Kowiesy (2)";65,6;0,0;0,0;
1015052;"Lipce Reymontowskie (2)";99,8;31,1;0,8;
1015062;"Maków (2)";99,9;0,0;0,1;
1015072;"Nowy Kawęczyn (2)";81,8;15,4;0,1;
1015082;"Skierniewice (2)";78,3;0,0;3,0;
1015092;"Słupia (2)";99,9;18,7;0,0;
1016011;"Tomaszów Mazowiecki (1)";91,5;85,0;62,8;
1016022;"Będków (2)";92,5;20,7;0,0;
1016032;"Budziszewice (2)";99,9;19,6;0,0;
1016042;"Czerniewice (2)";93,6;33,2;0,0;
1016052;"Inowłódz (2)";99,9;17,5;3,3;
1016062;"Lubochnia (2)";98,0;79,2;16,6;
1016072;"Rokiciny (2)";98,8;41,3;0,0;
1016082;"Rzeczyca (2)";90,3;11,0;0,0;
1016092;"Tomaszów Mazowiecki (2)";99,9;40,5;1,8;
1016102;"Ujazd (2)";98,9;43,1;78,9;
1016112;"Żelechlinek (2)";99,3;23,9;0,0;
1017012;"Biała (2)";88,5;0,9;0,0;
1017022;"Czarnożyły (2)";95,0;68,1;0,2;
1017032;"Konopnica (2)";93,3;24,0;0,3;
1017042;"Mokrsko (2)";94,6;33,5;1,8;
1017052;"Osjaków (2)";93,3;30,5;0,1;
1017062;"Ostrówek (2)";86,8;10,4;0,0;
1017072;"Pątnów (2)";91,9;0,0;0,0;
1017082;"Skomlin (2)";99,8;47,9;0,0;
1017093;"Wieluń (3)";98,1;83,1;3,7;
1017102;"Wierzchlas (2)";98,3;13,6;1,7;
1018012;"Bolesławiec (2)";97,4;96,7;0,0;
1018022;"Czastary (2)";95,8;43,9;0,0;
1018032;"Galewice (2)";99,9;44,2;0,0;
1018042;"Lututów (2)";99,9;22,9;0,0;
1018052;"Łubnice (2)";94,1;75,7;0,0;
1018062;"Sokolniki (2)";92,4;12,6;0,0;
1018073;"Wieruszów (3)";99,0;78,7;9,8;
1019011;"Zduńska Wola (1)";96,5;93,4;3,5;
1019023;"Szadek (3)";92,7;25,6;0,0;
1019032;"Zapolice (2)";97,6;30,1;0,1;
1019042;"Zduńska Wola (2)";99,1;54,2;1,0;
1020011;"Głowno (1)";88,0;72,3;0,5;
1020021;"Ozorków (1)";94,1;79,6;5,0;
1020031;"Zgierz (1)";96,4;84,7;67,7;
1020043;"Aleksandrów Łódzki (3)";98,3;72,0;61,0;
1020052;"Głowno (2)";88,4;0,0;0,1;
1020062;"Ozorków (2)";100,0;19,0;10,7;
1020072;"Parzęczew (2)";97,0;41,4;0,1;
1020083;"Stryków (3)";98,2;49,4;4,5;
1020092;"Zgierz (2)";100,0;4,3;11,4;
1021011;"Brzeziny (1)";95,8;94,1;0,0;
1021022;"Brzeziny (2)";99,9;0,0;1,2;
1021032;"Dmosin (2)";98,0;12,1;0,1;
1021042;"Jeżów (2)";92,9;29,6;1,4;
1021052;"Rogów (2)";92,7;0,0;0,0;
1061011;"Łódź (1)";94,9;87,6;80,4;
1062011;"Piotrków Trybunalski (1)";96,7;90,8;76,4;
1063011;"Skierniewice (1)";93,4;89,1;66,8;
1201011;"Bochnia (1)";94,9;92,4;90,6;
1201022;"Bochnia (2)";95,3;74,1;82,0;
1201032;"Drwinia (2)";81,3;0,0;72,8;
1201042;"Lipnica Murowana (2)";28,2;22,1;73,2;
1201052;"Łapanów (2)";84,4;26,2;68,6;
1201063;"Nowy Wiśnicz (3)";52,1;20,2;79,0;
1201072;"Rzezawa (2)";71,2;70,1;71,5;
1201082;"Trzciana (2)";45,5;33,5;78,9;
1201092;"Żegocina (2)";68,9;60,1;86,6;
1202012;"Borzęcin (2)";69,1;0,0;63,5;
1202023;"Brzesko (3)";82,6;54,8;86,8;
1202033;"Czchów (3)";73,2;31,7;70,3;
1202042;"Dębno (2)";89,1;60,4;81,6;
1202052;"Gnojnik (2)";33,5;17,9;64,0;
1202062;"Iwkowa (2)";56,2;0,0;74,2;
1202072;"Szczurowa (2)";85,6;11,9;50,4;
1203013;"Alwernia (3)";99,5;38,1;73,1;
1203022;"Babice (2)";98,9;12,9;62,2;
1203033;"Chrzanów (3)";98,4;82,8;75,8;
1203043;"Libiąż (3)";100,0;61,2;65,9;
1203053;"Trzebinia (3)";100,0;73,8;75,7;
1204012;"Bolesław (2)";92,1;24,7;82,7;
1204023;"Dąbrowa Tarnowska (3)";85,7;70,1;77,1;
1204032;"Gręboszów (2)";71,1;0,0;61,4;
1204042;"Mędrzechów (2)";89,0;0,0;73,6;
1204052;"Olesno (2)";94,8;30,6;70,0;
1204062;"Radgoszcz (2)";89,0;45,4;41,0;
1204073;"Szczucin (3)";94,2;29,5;39,6;
1205011;"Gorlice (1)";87,2;91,6;97,8;
1205023;"Biecz (3)";24,7;39,8;66,1;
1205033;"Bobowa (3)";37,6;50,4;62,0;
1205042;"Gorlice (2)";36,4;73,1;75,9;
1205052;"Lipinki (2)";1,4;55,5;74,6;
1205062;"Łużna (2)";4,7;4,2;53,7;
1205072;"Moszczenica (2)";4,7;58,4;59,6;
1205082;"Ropa (2)";9,5;18,6;49,8;
1205092;"Sękowa (2)";65,6;56,2;50,1;
1205102;"Uście Gorlickie (2)";35,0;39,7;10,5;
1206012;"Czernichów (2)";86,4;40,4;24,0;
1206022;"Igołomia-Wawrzeńczyce (2)";58,2;3,7;69,1;
1206032;"Iwanowice (2)";92,0;12,5;41,4;
1206042;"Jerzmanowice-Przeginia (2)";97,9;29,7;76,8;
1206052;"Kocmyrzów-Luborzyca (2)";99,8;21,9;83,1;
1206063;"Krzeszowice (3)";95,0;74,9;76,9;
1206072;"Liszki (2)";90,8;59,5;87,0;
1206082;"Michałowice (2)";96,6;28,2;87,4;
1206092;"Mogilany (2)";90,4;43,6;91,7;
1206103;"Skała (3)";98,1;66,8;61,2;
1206113;"Skawina (3)";98,1;74,4;83,9;
1206123;"Słomniki (3)";78,1;30,1;8,3;
1206132;"Sułoszowa (2)";93,7;65,5;41,9;
1206143;"Świątniki Górne (3)";95,6;41,2;85,6;
1206152;"Wielka Wieś (2)";96,3;71,3;94,9;
1206162;"Zabierzów (2)";99,2;92,0;90,3;
1206172;"Zielonki (2)";92,2;69,4;95,2;
1207011;"Limanowa (1)";82,2;69,6;91,1;
1207021;"Mszana Dolna (1)";56,5;60,3;76,5;
1207032;"Dobra (2)";49,7;29,0;48,5;
1207042;"Jodłownik (2)";37,4;19,7;40,7;
1207052;"Kamienica (2)";81,8;57,4;0,0;
1207062;"Laskowa (2)";41,5;37,4;59,9;
1207072;"Limanowa (2)";55,7;24,4;52,9;
1207082;"Łukowica (2)";13,0;28,3;2,0;
1207092;"Mszana Dolna (2)";28,3;43,1;58,0;
1207102;"Niedźwiedź (2)";44,4;30,1;57,5;
1207112;"Słopnice (2)";86,6;42,5;77,8;
1207122;"Tymbark (2)";72,3;29,0;63,6;
1208012;"Charsznica (2)";87,6;27,1;20,3;
1208022;"Gołcza (2)";92,4;20,6;13,8;
1208032;"Kozłów (2)";76,6;0,0;0,1;
1208042;"Książ Wielki (2)";75,5;19,1;2,3;
1208053;"Miechów (3)";94,1;51,4;6,6;
1208062;"Racławice (2)";78,0;0,0;0,4;
1208072;"Słaboszów (2)";87,0;0,0;0,0;
1209013;"Dobczyce (3)";97,4;55,5;74,5;
1209022;"Lubień (2)";99,9;32,9;51,0;
1209033;"Myślenice (3)";86,5;89,9;75,4;
1209042;"Pcim (2)";10,0;29,8;44,1;
1209052;"Raciechowice (2)";54,3;13,2;3,6;
1209062;"Siepraw (2)";87,4;55,3;66,0;
1209073;"Sułkowice (3)";67,0;59,1;58,2;
1209082;"Tokarnia (2)";0,0;27,2;41,5;
1209092;"Wiśniowa (2)";58,5;44,7;8,1;
1210011;"Grybów (1)";50,9;56,8;74,9;
1210022;"Chełmiec (2)";66,2;46,1;47,1;
1210032;"Gródek nad Dunajcem (2)";65,8;51,0;58,7;
1210042;"Grybów (2)";52,8;32,3;73,6;
1210052;"Kamionka Wielka (2)";91,7;44,6;71,4;
1210062;"Korzenna (2)";40,4;19,2;64,8;
1210073;"Krynica-Zdrój (3)";82,1;86,1;87,1;
1210082;"Łabowa (2)";11,0;31,0;54,0;
1210092;"Łącko (2)";34,6;35,2;0,3;
1210102;"Łososina Dolna (2)";54,7;28,8;71,8;
1210113;"Muszyna (3)";50,7;95,8;59,6;
1210122;"Nawojowa (2)";42,1;52,5;20,2;
1210133;"Piwniczna-Zdrój (3)";35,8;52,4;0,0;
1210142;"Podegrodzie (2)";46,6;31,8;0,0;
1210152;"Rytro (2)";50,8;68,6;0,1;
1210163;"Stary Sącz (3)";72,9;48,2;63,7;
1211011;"Nowy Targ (1)";82,3;93,9;13,5;
1211023;"Szczawnica (3)";80,5;82,4;0,0;
1211032;"Czarny Dunajec (2)";28,5;18,7;0,6;
1211042;"Czorsztyn (2)";77,0;92,7;0,0;
1211052;"Jabłonka (2)";53,0;84,2;0,0;
1211062;"Krościenko nad Dunajcem (2)";71,8;61,6;0,0;
1211072;"Lipnica Wielka (2)";0,0;82,9;0,1;
1211082;"Łapsze Niżne (2)";35,7;79,9;0,0;
1211092;"Nowy Targ (2)";47,1;52,0;9,6;
1211102;"Ochotnica Dolna (2)";4,6;65,2;0,0;
1211112;"Raba Wyżna (2)";23,3;17,7;39,9;
1211123;"Rabka-Zdrój (3)";50,0;54,4;32,8;
1211132;"Spytkowice (2)";82,8;55,2;42,1;
1211142;"Szaflary (2)";27,9;34,3;0,0;
1212011;"Bukowno (1)";99,9;82,6;76,7;
1212032;"Bolesław (2)";99,0;53,0;50,5;
1212042;"Klucze (2)";95,9;45,8;72,7;
1212053;"Olkusz (3)";99,9;69,9;85,9;
1212062;"Trzyciąż (2)";99,6;29,3;13,9;
1212073;"Wolbrom (3)";96,2;36,0;54,8;
1213011;"Oświęcim (1)";100,0;92,6;88,8;
1213023;"Brzeszcze (3)";99,9;71,3;82,8;
1213033;"Chełmek (3)";99,8;70,4;70,7;
1213043;"Kęty (3)";92,7;63,8;81,4;
1213052;"Osiek (2)";99,7;39,0;73,1;
1213062;"Oświęcim (2)";99,9;22,1;71,1;
1213072;"Polanka Wielka (2)";100,0;28,1;83,2;
1213082;"Przeciszów (2)";98,8;46,3;84,1;
1213093;"Zator (3)";98,0;76,8;77,1;
1214012;"Koniusza (2)";95,8;30,8;56,2;
1214023;"Koszyce (3)";66,9;81,8;0,3;
1214033;"Nowe Brzesko (3)";88,7;21,7;6,2;
1214042;"Pałecznica (2)";93,3;6,4;0,0;
1214053;"Proszowice (3)";98,5;41,3;8,8;
1214062;"Radziemice (2)";98,2;4,7;0,3;
1215011;"Jordanów (1)";82,2;49,9;1,4;
1215021;"Sucha Beskidzka (1)";71,8;80,2;79,5;
1215032;"Budzów (2)";0,6;0,2;0,0;
1215042;"Bystra-Sidzina (2)";48,0;0,0;0,1;
1215052;"Jordanów (2)";34,0;36,1;13,8;
1215063;"Maków Podhalański (3)";18,5;46,8;2,3;
1215072;"Stryszawa (2)";52,9;37,9;0,0;
1215082;"Zawoja (2)";25,7;13,5;0,0;
1215092;"Zembrzyce (2)";69,6;58,7;16,3;
1216013;"Ciężkowice (3)";71,9;28,2;49,2;
1216022;"Gromnik (2)";64,4;26,9;50,1;
1216032;"Lisia Góra (2)";96,9;67,0;70,2;
1216042;"Pleśna (2)";61,7;41,7;68,8;
1216053;"Radłów (3)";93,6;47,6;68,2;
1216063;"Ryglice (3)";19,6;47,6;57,2;
1216072;"Rzepiennik Strzyżewski (2)";22,1;31,7;57,0;
1216082;"Skrzyszów (2)";59,4;64,2;72,0;
1216092;"Tarnów (2)";93,6;75,0;85,7;
1216103;"Tuchów (3)";81,0;49,8;53,1;
1216112;"Wierzchosławice (2)";91,7;88,8;83,1;
1216122;"Wietrzychowice (2)";97,8;36,2;60,3;
1216133;"Wojnicz (3)";78,7;15,7;82,6;
1216143;"Zakliczyn (3)";32,1;34,5;56,3;
1216153;"Żabno (3)";99,8;75,2;77,4;
1216162;"Szerzyny (2)";50,2;41,6;74,7;
1217011;"Zakopane (1)";90,4;83,7;14,5;
1217022;"Biały Dunajec (2)";87,2;41,5;0,0;
1217032;"Bukowina Tatrzańska (2)";38,7;48,1;0,0;
1217042;"Kościelisko (2)";81,0;65,1;0,0;
1217052;"Poronin (2)";68,0;53,5;1,5;
1218013;"Andrychów (3)";87,9;80,4;74,5;
1218022;"Brzeźnica (2)";91,9;16,2;66,7;
1218033;"Kalwaria Zebrzydowska (3)";82,1;11,2;53,9;
1218042;"Lanckorona (2)";78,8;14,6;40,0;
1218052;"Mucharz (2)";83,3;99,9;3,3;
1218062;"Spytkowice (2)";99,0;34,5;73,6;
1218072;"Stryszów (2)";49,5;72,5;39,9;
1218082;"Tomice (2)";99,9;29,6;59,2;
1218093;"Wadowice (3)";84,3;69,3;71,1;
1218102;"Wieprz (2)";89,5;24,3;70,4;
1219012;"Biskupice (2)";74,0;2,8;82,3;
1219022;"Gdów (2)";85,2;26,6;72,9;
1219032;"Kłaj (2)";92,1;49,5;99,1;
1219043;"Niepołomice (3)";97,1;72,8;93,1;
1219053;"Wieliczka (3)";91,2;52,5;85,5;
1261011;"Kraków (1)";99,7;92,1;72,2;
1262011;"Nowy Sącz (1)";86,2;86,2;92,6;
1263011;"Tarnów (1)";100,0;87,9;97,1;
1401013;"Białobrzegi (3)";99,9;63,9;61,2;
1401022;"Promna (2)";39,1;0,0;41,3;
1401032;"Radzanów (2)";24,2;9,7;0,0;
1401042;"Stara Błotnica (2)";88,6;9,7;1,4;
1401052;"Stromiec (2)";84,9;32,1;0,0;
1401063;"Wyśmierzyce (3)";83,2;13,6;0,0;
1402011;"Ciechanów (1)";94,1;89,9;78,1;
1402022;"Ciechanów (2)";87,7;10,5;11,3;
1402033;"Glinojeck (3)";99,2;66,0;0,1;
1402042;"Gołymin-Ośrodek (2)";98,1;0,0;0,0;
1402052;"Grudusk (2)";99,8;44,9;0,0;
1402062;"Ojrzeń (2)";98,7;0,0;0,0;
1402072;"Opinogóra Górna (2)";92,9;27,7;7,2;
