"Kod";"Nazwa";"ogółem;2018;[osoba]";
1018073;"Wieruszów (3)";347;
1019011;"Zduńska Wola (1)";1263;
1019023;"Szadek (3)";149;
1019032;"Zapolice (2)";143;
1019042;"Zduńska Wola (2)";292;
1020011;"Głowno (1)";534;
1020021;"Ozorków (1)";679;
1020031;"Zgierz (1)";1368;
1020043;"Aleksandrów Łódzki (3)";743;
1020052;"Głowno (2)";109;
1020062;"Ozorków (2)";205;
1020072;"Parzęczew (2)";159;
1020083;"Stryków (3)";236;
1020092;"Zgierz (2)";259;
1021011;"Brzeziny (1)";392;
1021022;"Brzeziny (2)";121;
1021032;"Dmosin (2)";121;
1021042;"Jeżów (2)";64;
1021052;"Rogów (2)";102;
1061011;"Łódź (1)";19251;
1062011;"Piotrków Trybunalski (1)";1905;
1063011;"Skierniewice (1)";982;
1201011;"Bochnia (1)";585;
1201022;"Bochnia (2)";365;
1201032;"Drwinia (2)";86;
1201042;"Lipnica Murowana (2)";104;
1201052;"Łapanów (2)";136;
1201063;"Nowy Wiśnicz (3)";215;
1201072;"Rzezawa (2)";232;
1201082;"Trzciana (2)";63;
1201092;"Żegocina (2)";77;
1202012;"Borzęcin (2)";190;
1202023;"Brzesko (3)";902;
1202033;"Czchów (3)";164;
1202042;"Dębno (2)";281;
1202052;"Gnojnik (2)";142;
1202062;"Iwkowa (2)";69;
1202072;"Szczurowa (2)";164;
1203013;"Alwernia (3)";265;
1203022;"Babice (2)";204;
1203033;"Chrzanów (3)";1377;
1203043;"Libiąż (3)";504;
1203053;"Trzebinia (3)";953;
1204012;"Bolesław (2)";73;
1204023;"Dąbrowa Tarnowska (3)";880;
1204032;"Gręboszów (2)";94;
1204042;"Mędrzechów (2)";169;
1204052;"Olesno (2)";350;
1204062;"Radgoszcz (2)";333;
1204073;"Szczucin (3)";651;
1205011;"Gorlice (1)";741;
1205023;"Biecz (3)";408;
1205033;"Bobowa (3)";144;
1205042;"Gorlice (2)";407;
1205052;"Lipinki (2)";154;
1205062;"Łużna (2)";177;
1205072;"Moszczenica (2)";102;
1205082;"Ropa (2)";91;
1205092;"Sękowa (2)";139;
1205102;"Uście Gorlickie (2)";115;
1206012;"Czernichów (2)";237;
1206022;"Igołomia-Wawrzeńczyce (2)";70;
1206032;"Iwanowice (2)";129;
1206042;"Jerzmanowice-Przeginia (2)";184;
1206052;"Kocmyrzów-Luborzyca (2)";217;
1206063;"Krzeszowice (3)";738;
1206072;"Liszki (2)";251;
1206082;"Michałowice (2)";127;
1206092;"Mogilany (2)";252;
1206103;"Skała (3)";161;
1206113;"Skawina (3)";793;
1206123;"Słomniki (3)";295;
1206132;"Sułoszowa (2)";76;
1206143;"Świątniki Górne (3)";184;
1206152;"Wielka Wieś (2)";144;
1206162;"Zabierzów (2)";431;
1206172;"Zielonki (2)";230;
1207011;"Limanowa (1)";474;
1207021;"Mszana Dolna (1)";280;
1207032;"Dobra (2)";326;
1207042;"Jodłownik (2)";246;
1207052;"Kamienica (2)";296;
1207062;"Laskowa (2)";187;
1207072;"Limanowa (2)";789;
1207082;"Łukowica (2)";362;
1207092;"Mszana Dolna (2)";589;
1207102;"Niedźwiedź (2)";234;
1207112;"Słopnice (2)";206;
1207122;"Tymbark (2)";209;
1208012;"Charsznica (2)";172;
1208022;"Gołcza (2)";116;
1208032;"Kozłów (2)";112;
1208042;"Książ Wielki (2)";90;
1208053;"Miechów (3)";370;
1208062;"Racławice (2)";32;
1208072;"Słaboszów (2)";53;
1209013;"Dobczyce (3)";157;
1209022;"Lubień (2)";106;
1209033;"Myślenice (3)";474;
1209042;"Pcim (2)";124;
1209052;"Raciechowice (2)";37;
1209062;"Siepraw (2)";100;
1209073;"Sułkowice (3)";166;
1209082;"Tokarnia (2)";79;
1209092;"Wiśniowa (2)";69;
1210011;"Grybów (1)";158;
1210022;"Chełmiec (2)";859;
1210032;"Gródek nad Dunajcem (2)";223;
1210042;"Grybów (2)";700;
1210052;"Kamionka Wielka (2)";314;
1210062;"Korzenna (2)";334;
1210073;"Krynica-Zdrój (3)";479;
1210082;"Łabowa (2)";151;
1210092;"Łącko (2)";467;
1210102;"Łososina Dolna (2)";296;
1210113;"Muszyna (3)";326;
1210122;"Nawojowa (2)";284;
1210133;"Piwniczna-Zdrój (3)";362;
1210142;"Podegrodzie (2)";378;
1210152;"Rytro (2)";118;
1210163;"Stary Sącz (3)";705;
1211011;"Nowy Targ (1)";773;
1211023;"Szczawnica (3)";262;
1211032;"Czarny Dunajec (2)";406;
1211042;"Czorsztyn (2)";261;
1211052;"Jabłonka (2)";324;
1211062;"Krościenko nad Dunajcem (2)";194;
1211072;"Lipnica Wielka (2)";85;
1211082;"Łapsze Niżne (2)";129;
1211092;"Nowy Targ (2)";376;
1211102;"Ochotnica Dolna (2)";164;
1211112;"Raba Wyżna (2)";235;
1211123;"Rabka-Zdrój (3)";458;
1211132;"Spytkowice (2)";129;
1211142;"Szaflary (2)";240;
1212011;"Bukowno (1)";296;
1212032;"Bolesław (2)";246;
1212042;"Klucze (2)";519;
1212053;"Olkusz (3)";1675;
1212062;"Trzyciąż (2)";138;
1212073;"Wolbrom (3)";595;
1213011;"Oświęcim (1)";851;
1213023;"Brzeszcze (3)";267;
1213033;"Chełmek (3)";187;
1213043;"Kęty (3)";904;
1213052;"Osiek (2)";130;
1213062;"Oświęcim (2)";242;
1213072;"Polanka Wielka (2)";56;
1213082;"Przeciszów (2)";92;
1213093;"Zator (3)";171;
1214012;"Koniusza (2)";199;
1214022;"Koszyce (2)";153;
1214033;"Nowe Brzesko (3)";157;
1214042;"Pałecznica (2)";74;
1214053;"Proszowice (3)";482;
1214062;"Radziemice (2)";74;
1215011;"Jordanów (1)";102;
1215021;"Sucha Beskidzka (1)";213;
1215032;"Budzów (2)";209;
1215042;"Bystra-Sidzina (2)";87;
1215052;"Jordanów (2)";162;
1215063;"Maków Podhalański (3)";333;
1215072;"Stryszawa (2)";178;
1215082;"Zawoja (2)";166;
1215092;"Zembrzyce (2)";110;
1216013;"Ciężkowice (3)";285;
1216022;"Gromnik (2)";211;
1216032;"Lisia Góra (2)";416;
1216042;"Pleśna (2)";320;
1216053;"Radłów (3)";245;
1216063;"Ryglice (3)";232;
1216072;"Rzepiennik Strzyżewski (2)";127;
1216082;"Skrzyszów (2)";323;
1216092;"Tarnów (2)";677;
1216103;"Tuchów (3)";485;
1216112;"Wierzchosławice (2)";263;
1216122;"Wietrzychowice (2)";119;
1216133;"Wojnicz (3)";255;
1216143;"Zakliczyn (3)";252;
1216153;"Żabno (3)";637;
1216162;"Szerzyny (2)";241;
1217011;"Zakopane (1)";1255;
1217022;"Biały Dunajec (2)";304;
1217032;"Bukowina Tatrzańska (2)";329;
1217042;"Kościelisko (2)";386;
1217052;"Poronin (2)";506;
1218013;"Andrychów (3)";1129;
1218022;"Brzeźnica (2)";143;
1218033;"Kalwaria Zebrzydowska (3)";319;
1218042;"Lanckorona (2)";117;
1218052;"Mucharz (2)";92;
1218062;"Spytkowice (2)";175;
1218072;"Stryszów (2)";124;
1218082;"Tomice (2)";131;
1218093;"Wadowice (3)";719;
1218102;"Wieprz (2)";211;
1219012;"Biskupice (2)";193;
1219022;"Gdów (2)";370;
1219032;"Kłaj (2)";163;
1219043;"Niepołomice (3)";367;
1219053;"Wieliczka (3)";1128;
1261011;"Kraków (1)";11467;
1262011;"Nowy Sącz (1)";1502;
1263011;"Tarnów (1)";2933;
1401013;"Białobrzegi (3)";360;
1401022;"Promna (2)";142;
1401032;"Radzanów (2)";98;
1401042;"Stara Błotnica (2)";164;
1401052;"Stromiec (2)";197;
1401063;"Wyśmierzyce (3)";118;
1402011;"Ciechanów (1)";1710;
1402022;"Ciechanów (2)";211;
1402033;"Glinojeck (3)";298;
1402042;"Gołymin-Ośrodek (2)";170;
1402052;"Grudusk (2)";149;
1402062;"Ojrzeń (2)";194;
1402072;"Opinogóra Górna (2)";201;
1402082;"Regimin (2)";215;
1402092;"Sońsk (2)";230;
1403011;"Garwolin (1)";715;
1403021;"Łaskarzew (1)";226;
1403032;"Borowie (2)";160;
1403042;"Garwolin (2)";454;
1403052;"Górzno (2)";235;
1403062;"Łaskarzew (2)";200;
1403072;"Maciejowice (2)";298;
1403082;"Miastków Kościelny (2)";158;
1403092;"Parysów (2)";124;
1403103;"Pilawa (3)";378;
1403112;"Sobolew (2)";220;
1403122;"Trojanów (2)";198;
1403132;"Wilga (2)";168;
1403143;"Żelechów (3)";368;
1404011;"Gostynin (1)";929;
1404022;"Gostynin (2)";824;
1404032;"Pacyna (2)";164;
1404043;"Sanniki (3)";279;
1404052;"Szczawin Kościelny (2)";328;
1405011;"Milanówek (1)";170;
1405021;"Podkowa Leśna (1)";29;
1405032;"Baranów (2)";59;
1405043;"Grodzisk Mazowiecki (3)";524;
1405052;"Jaktorów (2)";143;
1405062;"Żabia Wola (2)";121;
1406012;"Belsk Duży (2)";43;
1406022;"Błędów (2)";58;
1406032;"Chynów (2)";96;
1406042;"Goszczyn (2)";27;
1406053;"Grójec (3)";278;
1406062;"Jasieniec (2)";46;
1406073;"Mogielnica (3)";83;
1406083;"Nowe Miasto nad Pilicą (3)";87;
1406092;"Pniewy (2)";44;
1406113;"Warka (3)";191;
1407012;"Garbatka-Letnisko (2)";313;
1407022;"Głowaczów (2)";382;
1407032;"Gniewoszów (2)";165;
1407042;"Grabów nad Pilicą (2)";141;
1407053;"Kozienice (3)";1238;
1407062;"Magnuszew (2)";247;
1407072;"Sieciechów (2)";148;
1408011;"Legionowo (1)";1078;
1408022;"Jabłonna (2)";325;
1408032;"Nieporęt (2)";233;
1408043;"Serock (3)";375;
1408052;"Wieliszew (2)";320;
1409012;"Chotcza (2)";118;
1409022;"Ciepielów (2)";292;
1409033;"Lipsko (3)";487;
1409042;"Rzeczniów (2)";173;
1409052;"Sienno (2)";273;
1409062;"Solec nad Wisłą (2)";254;
1410012;"Huszlew (2)";72;
1410023;"Łosice (3)";320;
1410032;"Olszanka (2)";67;
1410042;"Platerów (2)";149;
1410052;"Sarnaki (2)";136;
1410062;"Stara Kornica (2)";135;
1411011;"Maków Mazowiecki (1)";636;
1411022;"Czerwonka (2)";193;
1411032;"Karniewo (2)";312;
1411042;"Krasnosielc (2)";483;
1411052;"Młynarze (2)";104;
1411062;"Płoniawy-Bramura (2)";405;
1411073;"Różan (3)";290;
1411082;"Rzewnie (2)";172;
1411092;"Sypniewo (2)";169;
1411102;"Szelków (2)";255;
1412011;"Mińsk Mazowiecki (1)";772;
1412042;"Cegłów (2)";101;
1412052;"Dębe Wielkie (2)";157;
1412062;"Dobre (2)";92;
1412073;"Halinów (3)";247;
1412082;"Jakubów (2)";76;
1412093;"Kałuszyn (3)";126;
1412102;"Latowicz (2)";78;
1412112;"Mińsk Mazowiecki (2)";287;
1412123;"Mrozy (3)";126;
1412132;"Siennica (2)";116;
1412142;"Stanisławów (2)";124;
1412151;"Sulejówek (1)";252;
1413011;"Mława (1)";788;
1413022;"Dzierzgowo (2)";63;
1413032;"Lipowiec Kościelny (2)";121;
1413042;"Radzanów (2)";67;
1413052;"Strzegowo (2)";167;
1413062;"Stupsk (2)";108;
1413072;"Szreńsk (2)";94;
1413082;"Szydłowo (2)";110;
1413092;"Wieczfnia Kościelna (2)";92;
1413102;"Wiśniewo (2)";117;
1414011;"Nowy Dwór Mazowiecki (1)";680;
1414022;"Czosnów (2)";180;
1414032;"Leoncin (2)";123;
1414043;"Nasielsk (3)";526;
1414052;"Pomiechówek (2)";208;
1414063;"Zakroczym (3)";184;
1415012;"Baranowo (2)";240;
1415022;"Czarnia (2)";71;
1415032;"Czerwin (2)";120;
1415042;"Goworowo (2)";347;
1415052;"Kadzidło (2)";316;
1415062;"Lelis (2)";369;
1415072;"Łyse (2)";319;
1415083;"Myszyniec (3)";429;
1415092;"Olszewo-Borki (2)";545;
1415102;"Rzekuń (2)";424;
1415112;"Troszyn (2)";142;
1416011;"Ostrów Mazowiecka (1)";902;
1416022;"Andrzejewo (2)";73;
1416032;"Boguty-Pianki (2)";47;
1416043;"Brok (3)";110;
1416052;"Małkinia Górna (2)";339;
1416062;"Nur (2)";70;
1416072;"Ostrów Mazowiecka (2)";525;
1416082;"Stary Lubotyń (2)";112;
1416092;"Szulborze Wielkie (2)";35;
1416102;"Wąsewo (2)";139;
1416112;"Zaręby Kościelne (2)";126;
1417011;"Józefów (1)";298;
1417021;"Otwock (1)";827;
1417032;"Celestynów (2)";182;
1417043;"Karczew (3)";288;
1417052;"Kołbiel (2)";86;
1417062;"Osieck (2)";59;
1417072;"Sobienie-Jeziory (2)";84;
1417082;"Wiązowna (2)";184;
1418013;"Góra Kalwaria (3)";609;
1418023;"Konstancin-Jeziorna (3)";513;
1418032;"Lesznowola (2)";400;
1418043;"Piaseczno (3)";1447;
1418052;"Prażmów (2)";231;
1418063;"Tarczyn (3)";287;
1419012;"Bielsk (2)";415;
1419022;"Bodzanów (2)";290;
1419032;"Brudzeń Duży (2)";355;
1419042;"Bulkowo (2)";245;
1419053;"Drobin (3)";327;
1419063;"Gąbin (3)";452;
1419072;"Łąck (2)";283;
1419082;"Mała Wieś (2)";196;
1419092;"Nowy Duninów (2)";205;
1419102;"Radzanowo (2)";320;
1419112;"Słubice (2)";171;
1419122;"Słupno (2)";219;
1419132;"Stara Biała (2)";373;
1419142;"Staroźreby (2)";326;
1419153;"Wyszogród (3)";161;
1420011;"Płońsk (1)";1029;
1420021;"Raciąż (1)";233;
1420032;"Baboszewo (2)";353;
1420042;"Czerwińsk nad Wisłą (2)";240;
1420052;"Dzierzążnia (2)";117;
1420062;"Joniec (2)";81;
1420072;"Naruszewo (2)";245;
1420082;"Nowe Miasto (2)";238;
1420092;"Płońsk (2)";356;
1420102;"Raciąż (2)";294;
1420112;"Sochocin (2)";274;
1420122;"Załuski (2)";162;
1421011;"Piastów (1)";375;
1421021;"Pruszków (1)";1042;
1421033;"Brwinów (3)";441;
1421042;"Michałowice (2)";211;
1421052;"Nadarzyn (2)";199;
1421062;"Raszyn (2)";273;
1422011;"Przasnysz (1)";666;
1422023;"Chorzele (3)";348;
1422032;"Czernice Borowe (2)";115;
1422042;"Jednorożec (2)";355;
1422052;"Krasne (2)";116;
1422062;"Krzynowłoga Mała (2)";103;
1422072;"Przasnysz (2)";324;
1423012;"Borkowice (2)";515;
1423022;"Gielniów (2)";444;
1423032;"Klwów (2)";179;
1423042;"Odrzywół (2)";246;
1423052;"Potworów (2)";293;
1423063;"Przysucha (3)";879;
1423072;"Rusinów (2)";442;
1423082;"Wieniawa (2)";517;
1424012;"Gzy (2)";126;
1424022;"Obryte (2)";179;
1424032;"Pokrzywnica (2)";247;
1424043;"Pułtusk (3)";1320;
1424052;"Świercze (2)";270;
1424062;"Winnica (2)";181;
1424072;"Zatory (2)";232;
1425011;"Pionki (1)";954;
1425022;"Gózd (2)";674;
1425033;"Iłża (3)";1082;
1425042;"Jastrzębia (2)";340;
1425052;"Jedlińsk (2)";663;
1425062;"Jedlnia-Letnisko (2)";812;
1425072;"Kowala (2)";717;
1425082;"Pionki (2)";738;
1425092;"Przytyk (2)";561;
1425103;"Skaryszew (3)";960;
1425112;"Wierzbica (2)";769;
1425122;"Wolanów (2)";524;
1425132;"Zakrzew (2)";695;
1426012;"Domanice (2)";78;
1426022;"Korczew (2)";76;
1426032;"Kotuń (2)";174;
1426042;"Mokobody (2)";93;
1426053;"Mordy (3)";148;
1426062;"Paprotnia (2)";33;
1426072;"Przesmyki (2)";64;
1426082;"Siedlce (2)";390;
1426092;"Skórzec (2)";168;
1426102;"Suchożebry (2)";88;
1426112;"Wiśniew (2)";137;
1426122;"Wodynie (2)";104;
1426132;"Zbuczyn (2)";176;
1427011;"Sierpc (1)";955;
1427022;"Gozdowo (2)";332;
1427032;"Mochowo (2)";468;
1427042;"Rościszewo (2)";279;
1427052;"Sierpc (2)";507;
1427062;"Szczutowo (2)";245;
1427072;"Zawidz (2)";320;
1428011;"Sochaczew (1)";987;
1428022;"Brochów (2)";157;
1428032;"Iłów (2)";175;
1428042;"Młodzieszyn (2)";127;
1428052;"Nowa Sucha (2)";112;
1428062;"Rybno (2)";42;
1428072;"Sochaczew (2)";264;
1428082;"Teresin (2)";220;
1429011;"Sokołów Podlaski (1)";590;
1429022;"Bielany (2)";83;
1429032;"Ceranów (2)";51;
1429042;"Jabłonna Lacka (2)";95;
1429053;"Kosów Lacki (3)";121;
1429062;"Repki (2)";87;
1429072;"Sabnie (2)";75;
1429082;"Sokołów Podlaski (2)";147;
1429092;"Sterdyń (2)";77;
1430012;"Chlewiska (2)";663;
1430022;"Jastrząb (2)";441;
1430032;"Mirów (2)";364;
1430042;"Orońsko (2)";522;
1430053;"Szydłowiec (3)";1551;
1432013;"Błonie (3)";190;
1432022;"Izabelin (2)";133;
1432032;"Kampinos (2)";70;
1432042;"Leszno (2)";140;
1432053;"Łomianki (3)";321;
1432063;"Ożarów Mazowiecki (3)";208;
1432072;"Stare Babice (2)";178;
1433011;"Węgrów (1)";337;
1433022;"Grębków (2)";71;
1433032;"Korytnica (2)";139;
1433042;"Liw (2)";181;
1433053;"Łochów (3)";507;
1433062;"Miedzna (2)";59;
1433072;"Sadowne (2)";155;
1433082;"Stoczek (2)";133;
1433092;"Wierzbno (2)";42;
1434011;"Kobyłka (1)";605;
1434021;"Marki (1)";624;
1434031;"Ząbki (1)";549;
1434041;"Zielonka (1)";384;
1434052;"Dąbrówka (2)";196;
1434062;"Jadów (2)";302;
1434072;"Klembów (2)";273;
1434082;"Poświętne (2)";162;
1434093;"Radzymin (3)";698;
1434102;"Strachówka (2)";80;
1434113;"Tłuszcz (3)";607;
1434123;"Wołomin (3)";1471;
1435012;"Brańszczyk (2)";132;
1435022;"Długosiodło (2)";165;
1435032;"Rząśnik (2)";111;
1435042;"Somianka (2)";88;
1435053;"Wyszków (3)";747;
1435062;"Zabrodzie (2)";84;
1436012;"Kazanów (2)";229;
1436022;"Policzna (2)";277;
1436032;"Przyłęk (2)";217;
1436042;"Tczów (2)";192;
1436053;"Zwoleń (3)";673;
1437013;"Bieżuń (3)";319;
1437022;"Kuczbork-Osada (2)";322;
1437032;"Lubowidz (2)";507;
1437042;"Lutocin (2)";230;
1437052;"Siemiątkowo (2)";205;
1437063;"Żuromin (3)";897;
1438011;"Żyrardów (1)";1487;
1438023;"Mszczonów (3)";346;
1438032;"Puszcza Mariańska (2)";329;
1438042;"Radziejowice (2)";181;
1438052;"Wiskitki (2)";422;
1461011;"Ostrołęka (1)";2302;
1462011;"Płock (1)";4269;
1463011;"Radom (1)";11123;
1464011;"Siedlce (1)";1802;
1465011;"M.st.Warszawa od 2002 (1)";19382;
1601011;"Brzeg (1)";960;
1601022;"Skarbimierz (2)";206;
1601033;"Grodków (3)";566;
1601043;"Lewin Brzeski (3)";371;
1601052;"Lubsza (2)";252;
1601062;"Olszanka (2)";124;
1602013;"Baborów (3)";213;
1602022;"Branice (2)";200;
1602033;"Głubczyce (3)";738;
1602043;"Kietrz (3)";321;
1603011;"Kędzierzyn-Koźle (1)";1816;
1603022;"Bierawa (2)";182;
1603032;"Cisek (2)";137;
1603042;"Pawłowiczki (2)";220;
1603052;"Polska Cerekiew (2)";121;
1603062;"Reńska Wieś (2)";229;
1604013;"Byczyna (3)";267;
1604023;"Kluczbork (3)";728;
1604032;"Lasowice Wielkie (2)";120;
1604043;"Wołczyn (3)";446;
1605013;"Gogolin (3)";289;
1605023;"Krapkowice (3)";558;
1605032;"Strzeleczki (2)";200;
1605042;"Walce (2)";85;
1605053;"Zdzieszowice (3)";303;
1606012;"Domaszowice (2)";97;
1606023;"Namysłów (3)";563;
1606032;"Pokój (2)";127;
1606042;"Świerczów (2)";106;
1606052;"Wilków (2)";133;
1607013;"Głuchołazy (3)";633;
1607022;"Kamiennik (2)";119;
1607033;"Korfantów (3)";220;
1607042;"Łambinowice (2)";205;
1607053;"Nysa (3)";1133;
1607063;"Otmuchów (3)";304;
1607073;"Paczków (3)";383;
1607082;"Pakosławice (2)";102;
1607092;"Skoroszyce (2)";151;
1608013;"Dobrodzień (3)";126;
1608023;"Gorzów Śląski (3)";134;
1608033;"Olesno (3)";264;
1608043;"Praszka (3)";202;
1608052;"Radłów (2)";79;
1608062;"Rudniki (2)";141;
1608072;"Zębowice (2)";81;
1609012;"Chrząstowice (2)";113;
1609022;"Dąbrowa (2)";200;
1609032;"Dobrzeń Wielki (2)";161;
1609042;"Komprachcice (2)";155;
1609052;"Łubniany (2)";175;
1609062;"Murów (2)";129;
1609073;"Niemodlin (3)";308;
1609083;"Ozimek (3)";342;
1609092;"Popielów (2)";110;
1609103;"Prószków (3)";136;
1609112;"Tarnów Opolski (2)";148;
1609123;"Tułowice (3)";82;
1609132;"Turawa (2)";167;
1610013;"Biała (3)";218;
1610023;"Głogówek (3)";220;
1610032;"Lubrza (2)";142;
1610043;"Prudnik (3)";1075;
1611012;"Izbicko (2)";95;
1611022;"Jemielnica (2)";116;
1611033;"Kolonowskie (3)";70;
1611043;"Leśnica (3)";111;
1611053;"Strzelce Opolskie (3)";605;
1611063;"Ujazd (3)";99;
1611073;"Zawadzkie (3)";177;
1661011;"Opole (1)";2554;
1801032;"Czarna (2)";136;
1801052;"Lutowiska (2)";138;
1801083;"Ustrzyki Dolne (3)";901;
1802013;"Brzozów (3)";1795;
1802022;"Domaradz (2)";463;
1802032;"Dydnia (2)";572;
1802042;"Haczów (2)";514;
1802052;"Jasienica Rosielna (2)";549;
1802062;"Nozdrzec (2)";522;
1803011;"Dębica (1)";1240;
1803023;"Brzostek (3)";352;
1803032;"Czarna (2)";360;
1803042;"Dębica (2)";687;
1803052;"Jodłowa (2)";131;
1803063;"Pilzno (3)";394;
1803072;"Żyraków (2)";288;
1804011;"Jarosław (1)";1969;
1804021;"Radymno (1)";293;
1804032;"Chłopice (2)";263;
1804042;"Jarosław (2)";719;
1804052;"Laszki (2)";427;
1804062;"Pawłosiów (2)";444;
1804073;"Pruchnik (3)";651;
1804082;"Radymno (2)";604;
1804092;"Rokietnica (2)";209;
1804102;"Roźwienica (2)";418;
1804112;"Wiązownica (2)";554;
1805011;"Jasło (1)";1468;
1805022;"Brzyska (2)";298;
1805032;"Dębowiec (2)";388;
1805042;"Jasło (2)";741;
1805053;"Kołaczyce (3)";455;
1805062;"Krempna (2)";108;
1805072;"Nowy Żmigród (2)";475;
1805082;"Osiek Jasielski (2)";229;
1805092;"Skołyszyn (2)";610;
1805112;"Tarnowiec (2)";407;
1806012;"Cmolas (2)";275;
1806023;"Kolbuszowa (3)";710;
1806032;"Majdan Królewski (2)";372;
1806042;"Niwiska (2)";187;
1806052;"Raniżów (2)";222;
1806062;"Dzikowiec (2)";206;
1807012;"Chorkówka (2)";344;
1807023;"Dukla (3)";374;
1807033;"Iwonicz-Zdrój (3)";181;
1807043;"Jedlicze (3)";305;
1807052;"Korczyna (2)";186;
1807062;"Krościenko Wyżne (2)";100;
1807072;"Miejsce Piastowe (2)";230;
1807083;"Rymanów (3)";230;
1807092;"Wojaszówka (2)";185;
1807102;"Jaśliska (2)";52;
1808011;"Leżajsk (1)";620;
1808022;"Grodzisko Dolne (2)";404;
1808032;"Kuryłówka (2)";309;
1808042;"Leżajsk (2)";1111;
1808053;"Nowa Sarzyna (3)";1242;
1809011;"Lubaczów (1)";394;
1809023;"Cieszanów (3)";294;
1809032;"Horyniec-Zdrój (2)";181;
1809042;"Lubaczów (2)";395;
1809053;"Narol (3)";324;
1809063;"Oleszyce (3)";276;
1809072;"Stary Dzików (2)";106;
1809082;"Wielkie Oczy (2)";155;
1810011;"Łańcut (1)";679;
1810022;"Białobrzegi (2)";400;
1810032;"Czarna (2)";578;
1810042;"Łańcut (2)";837;
1810052;"Markowa (2)";271;
1810062;"Rakszawa (2)";403;
1810072;"Żołynia (2)";314;
1811011;"Mielec (1)";1317;
1811022;"Borowa (2)";90;
1811032;"Czermin (2)";145;
1811042;"Gawłuszowice (2)";68;
1811052;"Mielec (2)";256;
1811062;"Padew Narodowa (2)";109;
1811073;"Przecław (3)";309;
1811083;"Radomyśl Wielki (3)";262;
1811092;"Tuszów Narodowy (2)";206;
1811102;"Wadowice Górne (2)";133;
1812012;"Harasiuki (2)";434;
1812022;"Jarocin (2)";271;
1812032;"Jeżowe (2)";577;
1812042;"Krzeszów (2)";232;
1812053;"Nisko (3)";1193;
1812063;"Rudnik nad Sanem (3)";661;
1812073;"Ulanów (3)";500;
1813012;"Bircza (2)";381;
1813022;"Dubiecko (2)";442;
1813032;"Fredropol (2)";283;
1813042;"Krasiczyn (2)";301;
1813052;"Krzywcza (2)";241;
1813062;"Medyka (2)";354;
1813072;"Orły (2)";413;
1813082;"Przemyśl (2)";439;
1813092;"Stubno (2)";194;
1813102;"Żurawica (2)";643;
1814011;"Przeworsk (1)";760;
1814022;"Adamówka (2)";166;
1814032;"Gać (2)";221;
1814042;"Jawornik Polski (2)";239;
1814053;"Kańczuga (3)";734;
1814062;"Przeworsk (2)";834;
1814073;"Sieniawa (3)";306;
1814082;"Tryńcza (2)";461;
1814092;"Zarzecze (2)";364;
1815012;"Iwierzyce (2)";334;
1815022;"Ostrów (2)";387;
1815033;"Ropczyce (3)";1195;
1815043;"Sędziszów Małopolski (3)";1114;
1815052;"Wielopole Skrzyńskie (2)";396;
1816011;"Dynów (1)";382;
1816023;"Błażowa (3)";352;
1816033;"Boguchwała (3)";646;
1816042;"Chmielnik (2)";222;
1816052;"Dynów (2)";392;
1816063;"Głogów Małopolski (3)";673;
1816072;"Hyżne (2)";252;
1816082;"Kamień (2)";303;
1816092;"Krasne (2)";389;
1816102;"Lubenia (2)";291;
1816113;"Sokołów Małopolski (3)";761;
1816122;"Świlcza (2)";589;
1816132;"Trzebownisko (2)";677;
1816143;"Tyczyn (3)";476;
1817011;"Sanok (1)";1056;
1817022;"Besko (2)";133;
1817032;"Bukowsko (2)";135;
1817042;"Komańcza (2)";192;
1817052;"Sanok (2)";533;
1817062;"Tyrawa Wołoska (2)";72;
1817073;"Zagórz (3)";423;
1817082;"Zarszyn (2)";278;
1818011;"Stalowa Wola (1)";1332;
1818022;"Bojanów (2)";170;
1818032;"Pysznica (2)";203;
1818042;"Radomyśl nad Sanem (2)";185;
1818053;"Zaklików (3)";253;
1818062;"Zaleszany (2)";274;
1819012;"Czudec (2)";734;
1819022;"Frysztak (2)";730;
1819032;"Niebylec (2)";658;
1819043;"Strzyżów (3)";1090;
1819052;"Wiśniowa (2)";518;
1820013;"Baranów Sandomierski (3)";379;
1820022;"Gorzyce (2)";398;
1820032;"Grębów (2)";317;
1820043;"Nowa Dęba (3)";432;
1821012;"Baligród (2)";234;
1821022;"Cisna (2)";162;
1821033;"Lesko (3)";719;
1821042;"Olszanica (2)";364;
1821052;"Solina (2)";444;
1861011;"Krosno (1)";789;
1862011;"Przemyśl (1)";3088;
1863011;"Rzeszów (1)";6571;
1864011;"Tarnobrzeg (1)";1473;
2001011;"Augustów (1)";1148;
2001022;"Augustów (2)";203;
2001032;"Bargłów Kościelny (2)";195;
2001043;"Lipsk (3)";210;
2001052;"Nowinka (2)";82;
2001062;"Płaska (2)";127;
2001072;"Sztabin (2)";192;
2002013;"Choroszcz (3)";316;
2002023;"Czarna Białostocka (3)";335;
2002032;"Dobrzyniewo Duże (2)";203;
2002042;"Gródek (2)";246;
2002052;"Juchnowiec Kościelny (2)";398;
2002063;"Łapy (3)";1040;
2002073;"Michałowo (3)";247;
2002082;"Poświętne (2)";114;
2002093;"Supraśl (3)";397;
2002103;"Suraż (3)";63;
2002112;"Turośń Kościelna (2)";187;
2002123;"Tykocin (3)";122;
2002133;"Wasilków (3)";439;
2002143;"Zabłudów (3)";257;
2002152;"Zawady (2)";55;
