"Kod";"Nazwa";"imprezy;ogółem;2016;[szt.]";"imprezy;ogółem;2017;[szt.]";"imprezy;ogółem;2018;[szt.]";"imprezy;ogółem;2019;[szt.]";"uczestnicy imprez;ogółem;2016;[osoba]";"uczestnicy imprez;ogółem;2017;[osoba]";"uczestnicy imprez;ogółem;2018;[osoba]";"uczestnicy imprez;ogółem;2019;[osoba]";
0216043;"Polkowice (3)";558;577;381;393;56604;63370;42993;67148;
0216053;"Przemków (3)";37;60;47;57;1520;18820;16680;11940;
0216062;"Radwanice (2)";41;44;42;66;6132;10018;8620;11330;
0217022;"Kondratowice (2)";242;809;302;188;8766;15872;14395;12222;
0217032;"Przeworno (2)";51;38;35;17;690;680;410;350;
0217043;"Strzelin (3)";370;253;315;315;41650;73967;55435;55435;
0218012;"Kostomłoty (2)";35;32;31;35;2560;2570;5820;5830;
0218022;"Malczyce (2)";24;24;29;61;3500;3500;2800;4492;
0218032;"Miękinia (2)";0;18;0;1;0;553;0;12;
0218043;"Środa Śląska (3)";28;30;21;21;8000;8800;7650;5800;
