"Kod";"Nazwa";"przeciętna miesięczna liczba rodzin pobierających świadczenie;2018;[-]";
1017102;"Wierzchlas (2)";434;
1018012;"Bolesławiec (2)";267;
1018022;"Czastary (2)";297;
1018032;"Galewice (2)";446;
1018042;"Lututów (2)";343;
1018052;"Łubnice (2)";289;
1018062;"Sokolniki (2)";390;
1018073;"Wieruszów (3)";1037;
1019011;"Zduńska Wola (1)";2485;
1019023;"Szadek (3)";508;
1019032;"Zapolice (2)";411;
1019042;"Zduńska Wola (2)";882;
1020011;"Głowno (1)";824;
1020021;"Ozorków (1)";1114;
1020031;"Zgierz (1)";3245;
1020043;"Aleksandrów Łódzki (3)";2219;
1020052;"Głowno (2)";340;
1020062;"Ozorków (2)";463;
1020072;"Parzęczew (2)";359;
1020083;"Stryków (3)";859;
1020092;"Zgierz (2)";939;
1021011;"Brzeziny (1)";843;
1021022;"Brzeziny (2)";473;
1021032;"Dmosin (2)";320;
1021042;"Jeżów (2)";272;
1021052;"Rogów (2)";348;
1061011;"Łódź (1)";32459;
1062011;"Piotrków Trybunalski (1)";4390;
1063011;"Skierniewice (1)";2915;
1201011;"Bochnia (1)";1898;
1201022;"Bochnia (2)";1447;
1201032;"Drwinia (2)";407;
1201042;"Lipnica Murowana (2)";435;
1201052;"Łapanów (2)";706;
1201063;"Nowy Wiśnicz (3)";1085;
1201072;"Rzezawa (2)";727;
1201082;"Trzciana (2)";452;
1201092;"Żegocina (2)";424;
1202012;"Borzęcin (2)";408;
1202023;"Brzesko (3)";2026;
1202033;"Czchów (3)";680;
1202042;"Dębno (2)";833;
1202052;"Gnojnik (2)";549;
1202062;"Iwkowa (2)";511;
1202072;"Szczurowa (2)";560;
1203013;"Alwernia (3)";785;
1203022;"Babice (2)";515;
1203033;"Chrzanów (3)";2364;
1203043;"Libiąż (3)";1271;
1203053;"Trzebinia (3)";1854;
1204012;"Bolesław (2)";124;
1204023;"Dąbrowa Tarnowska (3)";1433;
1204032;"Gręboszów (2)";136;
1204042;"Mędrzechów (2)";217;
1204052;"Olesno (2)";471;
1204062;"Radgoszcz (2)";536;
1204073;"Szczucin (3)";903;
1205011;"Gorlice (1)";1546;
1205023;"Biecz (3)";1087;
1205033;"Bobowa (3)";781;
1205042;"Gorlice (2)";1188;
1205052;"Lipinki (2)";478;
1205062;"Łużna (2)";670;
1205072;"Moszczenica (2)";386;
1205082;"Ropa (2)";463;
1205092;"Sękowa (2)";341;
1205102;"Uście Gorlickie (2)";589;
1206012;"Czernichów (2)";1073;
1206022;"Igołomia-Wawrzeńczyce (2)";568;
1206032;"Iwanowice (2)";710;
1206042;"Jerzmanowice-Przeginia (2)";799;
1206052;"Kocmyrzów-Luborzyca (2)";1114;
1206063;"Krzeszowice (3)";1984;
1206072;"Liszki (2)";1153;
1206082;"Michałowice (2)";859;
1206092;"Mogilany (2)";1168;
1206103;"Skała (3)";796;
1206113;"Skawina (3)";2795;
1206123;"Słomniki (3)";935;
1206132;"Sułoszowa (2)";445;
1206143;"Świątniki Górne (3)";791;
1206152;"Wielka Wieś (2)";964;
1206162;"Zabierzów (2)";1851;
1206172;"Zielonki (2)";1796;
1207011;"Limanowa (1)";1038;
1207021;"Mszana Dolna (1)";554;
1207032;"Dobra (2)";748;
1207042;"Jodłownik (2)";706;
1207052;"Kamienica (2)";514;
1207062;"Laskowa (2)";659;
1207072;"Limanowa (2)";1974;
1207082;"Łukowica (2)";832;
1207092;"Mszana Dolna (2)";1450;
1207102;"Niedźwiedź (2)";569;
1207112;"Słopnice (2)";510;
1207122;"Tymbark (2)";479;
1208012;"Charsznica (2)";453;
1208022;"Gołcza (2)";395;
1208032;"Kozłów (2)";296;
1208042;"Książ Wielki (2)";333;
1208053;"Miechów (3)";1312;
1208062;"Racławice (2)";173;
1208072;"Słaboszów (2)";247;
1209013;"Dobczyce (3)";1137;
1209022;"Lubień (2)";810;
1209033;"Myślenice (3)";3396;
1209042;"Pcim (2)";911;
1209052;"Raciechowice (2)";521;
1209062;"Siepraw (2)";703;
1209073;"Sułkowice (3)";1132;
1209082;"Tokarnia (2)";699;
1209092;"Wiśniowa (2)";625;
1210011;"Grybów (1)";430;
1210022;"Chełmiec (2)";2252;
1210032;"Gródek nad Dunajcem (2)";706;
1210042;"Grybów (2)";2015;
1210052;"Kamionka Wielka (2)";877;
1210062;"Korzenna (2)";1200;
1210073;"Krynica-Zdrój (3)";1082;
1210082;"Łabowa (2)";529;
1210092;"Łącko (2)";1416;
1210102;"Łososina Dolna (2)";925;
1210113;"Muszyna (3)";812;
1210122;"Nawojowa (2)";727;
1210133;"Piwniczna-Zdrój (3)";700;
1210142;"Podegrodzie (2)";1196;
1210152;"Rytro (2)";256;
1210163;"Stary Sącz (3)";1702;
1211011;"Nowy Targ (1)";2173;
1211023;"Szczawnica (3)";432;
1211032;"Czarny Dunajec (2)";1530;
1211042;"Czorsztyn (2)";534;
1211052;"Jabłonka (2)";1108;
1211062;"Krościenko nad Dunajcem (2)";476;
1211072;"Lipnica Wielka (2)";361;
1211082;"Łapsze Niżne (2)";665;
1211092;"Nowy Targ (2)";1858;
1211102;"Ochotnica Dolna (2)";652;
1211112;"Raba Wyżna (2)";1050;
1211123;"Rabka-Zdrój (3)";1039;
1211132;"Spytkowice (2)";360;
1211142;"Szaflary (2)";864;
1212011;"Bukowno (1)";473;
1212032;"Bolesław (2)";446;
1212042;"Klucze (2)";793;
1212053;"Olkusz (3)";2683;
1212062;"Trzyciąż (2)";505;
1212073;"Wolbrom (3)";1384;
1213011;"Oświęcim (1)";1926;
1213023;"Brzeszcze (3)";1234;
1213033;"Chełmek (3)";658;
1213043;"Kęty (3)";2124;
1213052;"Osiek (2)";559;
1213062;"Oświęcim (2)";1133;
1213072;"Polanka Wielka (2)";278;
1213082;"Przeciszów (2)";431;
1213093;"Zator (3)";578;
1214012;"Koniusza (2)";733;
1214022;"Koszyce (2)";378;
1214033;"Nowe Brzesko (3)";383;
1214042;"Pałecznica (2)";286;
1214053;"Proszowice (3)";1073;
1214062;"Radziemice (2)";240;
1215011;"Jordanów (1)";339;
1215021;"Sucha Beskidzka (1)";566;
1215032;"Budzów (2)";721;
1215042;"Bystra-Sidzina (2)";580;
1215052;"Jordanów (2)";849;
1215063;"Maków Podhalański (3)";1143;
1215072;"Stryszawa (2)";799;
1215082;"Zawoja (2)";715;
1215092;"Zembrzyce (2)";370;
1216013;"Ciężkowice (3)";839;
1216022;"Gromnik (2)";580;
1216032;"Lisia Góra (2)";1128;
1216042;"Pleśna (2)";760;
1216053;"Radłów (3)";559;
1216063;"Ryglice (3)";826;
1216072;"Rzepiennik Strzyżewski (2)";515;
1216082;"Skrzyszów (2)";997;
1216092;"Tarnów (2)";1710;
1216103;"Tuchów (3)";1184;
1216112;"Wierzchosławice (2)";622;
1216122;"Wietrzychowice (2)";188;
1216133;"Wojnicz (3)";745;
1216143;"Zakliczyn (3)";877;
1216153;"Żabno (3)";1097;
1216162;"Szerzyny (2)";566;
1217011;"Zakopane (1)";1461;
1217022;"Biały Dunajec (2)";598;
1217032;"Bukowina Tatrzańska (2)";1092;
1217042;"Kościelisko (2)";677;
1217052;"Poronin (2)";977;
1218013;"Andrychów (3)";2994;
1218022;"Brzeźnica (2)";744;
1218033;"Kalwaria Zebrzydowska (3)";1545;
1218042;"Lanckorona (2)";515;
1218052;"Mucharz (2)";304;
1218062;"Spytkowice (2)";715;
1218072;"Stryszów (2)";540;
1218082;"Tomice (2)";650;
1218093;"Wadowice (3)";2475;
1218102;"Wieprz (2)";989;
1219012;"Biskupice (2)";839;
1219022;"Gdów (2)";1436;
1219032;"Kłaj (2)";744;
1219043;"Niepołomice (3)";2203;
1219053;"Wieliczka (3)";4469;
1261011;"Kraków (1)";40625;
1262011;"Nowy Sącz (1)";5397;
1263011;"Tarnów (1)";5670;
1401013;"Białobrzegi (3)";824;
1401022;"Promna (2)";474;
1401032;"Radzanów (2)";358;
1401042;"Stara Błotnica (2)";520;
1401052;"Stromiec (2)";442;
1401063;"Wyśmierzyce (3)";227;
1402011;"Ciechanów (1)";2549;
1402022;"Ciechanów (2)";558;
1402033;"Glinojeck (3)";603;
1402042;"Gołymin-Ośrodek (2)";308;
1402052;"Grudusk (2)";289;
1402062;"Ojrzeń (2)";330;
1402072;"Opinogóra Górna (2)";445;
1402082;"Regimin (2)";375;
1402092;"Sońsk (2)";500;
1403011;"Garwolin (1)";1362;
1403021;"Łaskarzew (1)";392;
1403032;"Borowie (2)";374;
1403042;"Garwolin (2)";1164;
1403052;"Górzno (2)";576;
1403062;"Łaskarzew (2)";445;
1403072;"Maciejowice (2)";519;
1403082;"Miastków Kościelny (2)";369;
1403092;"Parysów (2)";386;
1403103;"Pilawa (3)";876;
1403112;"Sobolew (2)";650;
1403122;"Trojanów (2)";571;
1403132;"Wilga (2)";373;
1403143;"Żelechów (3)";690;
1404011;"Gostynin (1)";1045;
1404022;"Gostynin (2)";904;
1404032;"Pacyna (2)";209;
1404043;"Sanniki (3)";421;
1404052;"Szczawin Kościelny (2)";330;
1405011;"Milanówek (1)";1011;
1405021;"Podkowa Leśna (1)";213;
1405032;"Baranów (2)";417;
1405043;"Grodzisk Mazowiecki (3)";3662;
1405052;"Jaktorów (2)";929;
1405062;"Żabia Wola (2)";758;
1406012;"Belsk Duży (2)";447;
1406022;"Błędów (2)";574;
1406032;"Chynów (2)";840;
1406042;"Goszczyn (2)";250;
1406053;"Grójec (3)";1923;
1406062;"Jasieniec (2)";440;
1406073;"Mogielnica (3)";591;
1406083;"Nowe Miasto nad Pilicą (3)";473;
1406092;"Pniewy (2)";407;
1406113;"Warka (3)";1423;
1407012;"Garbatka-Letnisko (2)";299;
1407022;"Głowaczów (2)";492;
1407032;"Gniewoszów (2)";287;
1407042;"Grabów nad Pilicą (2)";325;
1407053;"Kozienice (3)";1634;
1407062;"Magnuszew (2)";590;
1407072;"Sieciechów (2)";239;
1408011;"Legionowo (1)";3496;
1408022;"Jabłonna (2)";1647;
1408032;"Nieporęt (2)";1136;
1408043;"Serock (3)";1194;
1408052;"Wieliszew (2)";1110;
1409012;"Chotcza (2)";172;
1409022;"Ciepielów (2)";450;
1409033;"Lipsko (3)";617;
1409042;"Rzeczniów (2)";270;
1409052;"Sienno (2)";399;
1409062;"Solec nad Wisłą (2)";266;
1410012;"Huszlew (2)";229;
1410023;"Łosice (3)";810;
1410032;"Olszanka (2)";233;
1410042;"Platerów (2)";356;
1410052;"Sarnaki (2)";302;
1410062;"Stara Kornica (2)";354;
1411011;"Maków Mazowiecki (1)";665;
1411022;"Czerwonka (2)";238;
1411032;"Karniewo (2)";413;
1411042;"Krasnosielc (2)";573;
1411052;"Młynarze (2)";141;
1411062;"Płoniawy-Bramura (2)";365;
1411073;"Różan (3)";318;
1411082;"Rzewnie (2)";195;
1411092;"Sypniewo (2)";233;
1411102;"Szelków (2)";275;
1412011;"Mińsk Mazowiecki (1)";3038;
1412042;"Cegłów (2)";401;
1412052;"Dębe Wielkie (2)";960;
1412062;"Dobre (2)";475;
1412073;"Halinów (3)";1441;
1412082;"Jakubów (2)";427;
1412093;"Kałuszyn (3)";473;
1412102;"Latowicz (2)";453;
1412112;"Mińsk Mazowiecki (2)";1295;
1412123;"Mrozy (3)";662;
1412132;"Siennica (2)";567;
1412142;"Stanisławów (2)";540;
1412151;"Sulejówek (1)";1407;
1413011;"Mława (1)";2180;
1413022;"Dzierzgowo (2)";215;
1413032;"Lipowiec Kościelny (2)";349;
1413042;"Radzanów (2)";265;
1413052;"Strzegowo (2)";554;
1413062;"Stupsk (2)";374;
1413072;"Szreńsk (2)";330;
1413082;"Szydłowo (2)";364;
1413092;"Wieczfnia Kościelna (2)";322;
1413102;"Wiśniewo (2)";435;
1414011;"Nowy Dwór Mazowiecki (1)";1854;
1414022;"Czosnów (2)";727;
1414032;"Leoncin (2)";394;
1414043;"Nasielsk (3)";1465;
1414052;"Pomiechówek (2)";601;
1414063;"Zakroczym (3)";400;
1415012;"Baranowo (2)";536;
1415022;"Czarnia (2)";230;
1415032;"Czerwin (2)";382;
1415042;"Goworowo (2)";635;
1415052;"Kadzidło (2)";970;
1415062;"Lelis (2)";850;
1415072;"Łyse (2)";742;
1415083;"Myszyniec (3)";957;
1415092;"Olszewo-Borki (2)";907;
1415102;"Rzekuń (2)";844;
1415112;"Troszyn (2)";371;
1416011;"Ostrów Mazowiecka (1)";1475;
1416022;"Andrzejewo (2)";276;
1416032;"Boguty-Pianki (2)";170;
1416043;"Brok (3)";208;
1416052;"Małkinia Górna (2)";767;
1416062;"Nur (2)";160;
1416072;"Ostrów Mazowiecka (2)";978;
1416082;"Stary Lubotyń (2)";302;
1416092;"Szulborze Wielkie (2)";118;
1416102;"Wąsewo (2)";340;
1416112;"Zaręby Kościelne (2)";263;
1417011;"Józefów (1)";1565;
1417021;"Otwock (1)";2929;
1417032;"Celestynów (2)";858;
1417043;"Karczew (3)";1085;
1417052;"Kołbiel (2)";631;
1417062;"Osieck (2)";291;
1417072;"Sobienie-Jeziory (2)";482;
1417082;"Wiązowna (2)";1142;
1418013;"Góra Kalwaria (3)";1945;
1418023;"Konstancin-Jeziorna (3)";1512;
1418032;"Lesznowola (2)";2485;
1418043;"Piaseczno (3)";6749;
1418052;"Prażmów (2)";894;
1418063;"Tarczyn (3)";900;
1419012;"Bielsk (2)";621;
1419022;"Bodzanów (2)";555;
1419032;"Brudzeń Duży (2)";581;
1419042;"Bulkowo (2)";405;
1419053;"Drobin (3)";638;
1419063;"Gąbin (3)";710;
1419072;"Łąck (2)";368;
1419082;"Mała Wieś (2)";412;
1419092;"Nowy Duninów (2)";279;
1419102;"Radzanowo (2)";621;
1419112;"Słubice (2)";369;
1419122;"Słupno (2)";579;
1419132;"Stara Biała (2)";837;
1419142;"Staroźreby (2)";534;
1419153;"Wyszogród (3)";391;
1420011;"Płońsk (1)";1400;
1420021;"Raciąż (1)";298;
1420032;"Baboszewo (2)";601;
1420042;"Czerwińsk nad Wisłą (2)";597;
1420052;"Dzierzążnia (2)";261;
1420062;"Joniec (2)";190;
1420072;"Naruszewo (2)";514;
1420082;"Nowe Miasto (2)";347;
1420092;"Płońsk (2)";617;
1420102;"Raciąż (2)";602;
1420112;"Sochocin (2)";444;
1420122;"Załuski (2)";440;
1421011;"Piastów (1)";1459;
1421021;"Pruszków (1)";3961;
1421033;"Brwinów (3)";2024;
1421042;"Michałowice (2)";1251;
1421052;"Nadarzyn (2)";1134;
1421062;"Raszyn (2)";1534;
1422011;"Przasnysz (1)";1247;
1422023;"Chorzele (3)";831;
1422032;"Czernice Borowe (2)";283;
1422042;"Jednorożec (2)";653;
1422052;"Krasne (2)";265;
1422062;"Krzynowłoga Mała (2)";307;
1422072;"Przasnysz (2)";594;
1423012;"Borkowice (2)";300;
1423022;"Gielniów (2)";300;
1423032;"Klwów (2)";309;
1423042;"Odrzywół (2)";248;
1423052;"Potworów (2)";400;
1423063;"Przysucha (3)";719;
1423072;"Rusinów (2)";339;
1423082;"Wieniawa (2)";436;
1424012;"Gzy (2)";272;
1424022;"Obryte (2)";368;
1424032;"Pokrzywnica (2)";438;
1424043;"Pułtusk (3)";1863;
1424052;"Świercze (2)";337;
1424062;"Winnica (2)";330;
1424072;"Zatory (2)";410;
1425011;"Pionki (1)";973;
1425022;"Gózd (2)";804;
1425033;"Iłża (3)";926;
1425042;"Jastrzębia (2)";557;
1425052;"Jedlińsk (2)";1332;
1425062;"Jedlnia-Letnisko (2)";984;
1425072;"Kowala (2)";1028;
1425082;"Pionki (2)";685;
1425092;"Przytyk (2)";660;
1425103;"Skaryszew (3)";1432;
1425112;"Wierzbica (2)";738;
1425122;"Wolanów (2)";779;
1425132;"Zakrzew (2)";1144;
1426012;"Domanice (2)";227;
1426022;"Korczew (2)";161;
1426032;"Kotuń (2)";637;
1426042;"Mokobody (2)";375;
1426053;"Mordy (3)";420;
1426062;"Paprotnia (2)";190;
1426072;"Przesmyki (2)";200;
1426082;"Siedlce (2)";1537;
1426092;"Skórzec (2)";692;
1426102;"Suchożebry (2)";370;
1426112;"Wiśniew (2)";417;
1426122;"Wodynie (2)";307;
1426132;"Zbuczyn (2)";851;
1427011;"Sierpc (1)";1158;
1427022;"Gozdowo (2)";473;
1427032;"Mochowo (2)";475;
1427042;"Rościszewo (2)";328;
1427052;"Sierpc (2)";571;
1427062;"Szczutowo (2)";308;
1427072;"Zawidz (2)";529;
1428011;"Sochaczew (1)";2252;
1428022;"Brochów (2)";327;
1428032;"Iłów (2)";466;
1428042;"Młodzieszyn (2)";429;
1428052;"Nowa Sucha (2)";511;
1428062;"Rybno (2)";277;
1428072;"Sochaczew (2)";904;
1428082;"Teresin (2)";770;
1429011;"Sokołów Podlaski (1)";1279;
1429022;"Bielany (2)";283;
1429032;"Ceranów (2)";142;
1429042;"Jabłonna Lacka (2)";243;
1429053;"Kosów Lacki (3)";389;
1429062;"Repki (2)";302;
1429072;"Sabnie (2)";229;
1429082;"Sokołów Podlaski (2)";412;
1429092;"Sterdyń (2)";210;
1430012;"Chlewiska (2)";379;
1430022;"Jastrząb (2)";410;
1430032;"Mirów (2)";315;
1430042;"Orońsko (2)";473;
1430053;"Szydłowiec (3)";1194;
1432013;"Błonie (3)";1468;
1432022;"Izabelin (2)";667;
1432032;"Kampinos (2)";293;
1432042;"Leszno (2)";749;
1432053;"Łomianki (3)";1953;
1432063;"Ożarów Mazowiecki (3)";1785;
1432072;"Stare Babice (2)";1408;
1433011;"Węgrów (1)";922;
1433022;"Grębków (2)";359;
1433032;"Korytnica (2)";480;
1433042;"Liw (2)";573;
1433053;"Łochów (3)";1446;
1433062;"Miedzna (2)";246;
1433072;"Sadowne (2)";455;
1433082;"Stoczek (2)";370;
1433092;"Wierzbno (2)";191;
1434011;"Kobyłka (1)";1988;
1434021;"Marki (1)";2962;
1434031;"Ząbki (1)";3266;
1434041;"Zielonka (1)";1227;
1434052;"Dąbrówka (2)";761;
1434062;"Jadów (2)";601;
1434072;"Klembów (2)";922;
1434082;"Poświętne (2)";563;
1434093;"Radzymin (3)";2491;
1434102;"Strachówka (2)";225;
1434113;"Tłuszcz (3)";1665;
1434123;"Wołomin (3)";3960;
1435012;"Brańszczyk (2)";577;
1435022;"Długosiodło (2)";677;
1435032;"Rząśnik (2)";658;
1435042;"Somianka (2)";479;
1435053;"Wyszków (3)";2900;
1435062;"Zabrodzie (2)";517;
1436012;"Kazanów (2)";392;
1436022;"Policzna (2)";357;
1436032;"Przyłęk (2)";470;
1436042;"Tczów (2)";436;
1436053;"Zwoleń (3)";1045;
1437013;"Bieżuń (3)";382;
1437022;"Kuczbork-Osada (2)";380;
1437032;"Lubowidz (2)";572;
1437042;"Lutocin (2)";391;
1437052;"Siemiątkowo (2)";300;
1437063;"Żuromin (3)";1033;
1438011;"Żyrardów (1)";2594;
1438023;"Mszczonów (3)";883;
1438032;"Puszcza Mariańska (2)";593;
1438042;"Radziejowice (2)";438;
1438052;"Wiskitki (2)";738;
1461011;"Ostrołęka (1)";3343;
1462011;"Płock (1)";6792;
1463011;"Radom (1)";13280;
1464011;"Siedlce (1)";5372;
1465011;"M.st.Warszawa od 2002 (1)";98132;
1601011;"Brzeg (1)";1858;
1601022;"Skarbimierz (2)";524;
1601033;"Grodków (3)";1022;
1601043;"Lewin Brzeski (3)";716;
1601052;"Lubsza (2)";514;
1601062;"Olszanka (2)";276;
1602013;"Baborów (3)";275;
1602022;"Branice (2)";264;
1602033;"Głubczyce (3)";1177;
1602043;"Kietrz (3)";509;
1603011;"Kędzierzyn-Koźle (1)";2682;
1603022;"Bierawa (2)";361;
1603032;"Cisek (2)";260;
1603042;"Pawłowiczki (2)";304;
1603052;"Polska Cerekiew (2)";161;
1603062;"Reńska Wieś (2)";317;
1604013;"Byczyna (3)";590;
1604023;"Kluczbork (3)";1737;
1604032;"Lasowice Wielkie (2)";270;
1604043;"Wołczyn (3)";1029;
1605013;"Gogolin (3)";607;
1605023;"Krapkowice (3)";1034;
1605032;"Strzeleczki (2)";344;
1605042;"Walce (2)";215;
1605053;"Zdzieszowice (3)";689;
1606012;"Domaszowice (2)";230;
1606023;"Namysłów (3)";1437;
1606032;"Pokój (2)";271;
1606042;"Świerczów (2)";176;
1606052;"Wilków (2)";286;
1607013;"Głuchołazy (3)";1073;
1607022;"Kamiennik (2)";224;
1607033;"Korfantów (3)";423;
1607042;"Łambinowice (2)";383;
1607053;"Nysa (3)";2765;
1607063;"Otmuchów (3)";724;
1607073;"Paczków (3)";666;
1607082;"Pakosławice (2)";165;
1607092;"Skoroszyce (2)";361;
1608013;"Dobrodzień (3)";464;
1608023;"Gorzów Śląski (3)";338;
1608033;"Olesno (3)";779;
1608043;"Praszka (3)";749;
1608052;"Radłów (2)";193;
1608062;"Rudniki (2)";516;
1608072;"Zębowice (2)";149;
1609012;"Chrząstowice (2)";365;
1609022;"Dąbrowa (2)";409;
1609032;"Dobrzeń Wielki (2)";497;
1609042;"Komprachcice (2)";430;
1609052;"Łubniany (2)";571;
1609062;"Murów (2)";251;
1609073;"Niemodlin (3)";744;
1609083;"Ozimek (3)";850;
1609092;"Popielów (2)";390;
1609103;"Prószków (3)";426;
1609112;"Tarnów Opolski (2)";399;
1609123;"Tułowice (3)";241;
1609132;"Turawa (2)";478;
1610013;"Biała (3)";465;
1610023;"Głogówek (3)";698;
1610032;"Lubrza (2)";251;
1610043;"Prudnik (3)";1385;
1611012;"Izbicko (2)";238;
1611022;"Jemielnica (2)";324;
1611033;"Kolonowskie (3)";245;
1611043;"Leśnica (3)";364;
1611053;"Strzelce Opolskie (3)";1476;
1611063;"Ujazd (3)";327;
1611073;"Zawadzkie (3)";461;
1661011;"Opole (1)";6039;
1801032;"Czarna (2)";146;
1801052;"Lutowiska (2)";132;
1801083;"Ustrzyki Dolne (3)";1084;
1802013;"Brzozów (3)";1731;
1802022;"Domaradz (2)";430;
1802032;"Dydnia (2)";539;
1802042;"Haczów (2)";645;
1802052;"Jasienica Rosielna (2)";612;
1802062;"Nozdrzec (2)";530;
1803011;"Dębica (1)";2670;
1803023;"Brzostek (3)";952;
1803032;"Czarna (2)";944;
1803042;"Dębica (2)";1751;
1803052;"Jodłowa (2)";380;
1803063;"Pilzno (3)";1328;
1803072;"Żyraków (2)";1000;
1804011;"Jarosław (1)";2040;
1804021;"Radymno (1)";287;
1804032;"Chłopice (2)";337;
1804042;"Jarosław (2)";914;
1804052;"Laszki (2)";462;
1804062;"Pawłosiów (2)";567;
1804073;"Pruchnik (3)";691;
1804082;"Radymno (2)";773;
1804092;"Rokietnica (2)";300;
1804102;"Roźwienica (2)";441;
1804112;"Wiązownica (2)";845;
1805011;"Jasło (1)";1901;
1805022;"Brzyska (2)";494;
1805032;"Dębowiec (2)";615;
1805042;"Jasło (2)";1056;
1805053;"Kołaczyce (3)";605;
1805062;"Krempna (2)";118;
1805072;"Nowy Żmigród (2)";584;
1805082;"Osiek Jasielski (2)";370;
1805092;"Skołyszyn (2)";812;
1805112;"Tarnowiec (2)";621;
1806012;"Cmolas (2)";555;
1806023;"Kolbuszowa (3)";1517;
1806032;"Majdan Królewski (2)";706;
1806042;"Niwiska (2)";454;
1806052;"Raniżów (2)";502;
1806062;"Dzikowiec (2)";425;
1807012;"Chorkówka (2)";897;
1807023;"Dukla (3)";980;
1807033;"Iwonicz-Zdrój (3)";706;
1807043;"Jedlicze (3)";1043;
1807052;"Korczyna (2)";809;
1807062;"Krościenko Wyżne (2)";384;
1807072;"Miejsce Piastowe (2)";826;
1807083;"Rymanów (3)";1022;
1807092;"Wojaszówka (2)";623;
1807102;"Jaśliska (2)";157;
1808011;"Leżajsk (1)";759;
1808022;"Grodzisko Dolne (2)";520;
1808032;"Kuryłówka (2)";409;
1808042;"Leżajsk (2)";1431;
1808053;"Nowa Sarzyna (3)";1484;
1809011;"Lubaczów (1)";691;
1809023;"Cieszanów (3)";380;
1809032;"Horyniec-Zdrój (2)";262;
1809042;"Lubaczów (2)";570;
1809053;"Narol (3)";518;
1809063;"Oleszyce (3)";427;
1809072;"Stary Dzików (2)";316;
1809082;"Wielkie Oczy (2)";259;
1810011;"Łańcut (1)";1076;
1810022;"Białobrzegi (2)";696;
1810032;"Czarna (2)";906;
1810042;"Łańcut (2)";1710;
1810052;"Markowa (2)";503;
1810062;"Rakszawa (2)";548;
1810072;"Żołynia (2)";517;
1811011;"Mielec (1)";3421;
1811022;"Borowa (2)";389;
1811032;"Czermin (2)";493;
1811042;"Gawłuszowice (2)";192;
1811052;"Mielec (2)";917;
1811062;"Padew Narodowa (2)";361;
1811073;"Przecław (3)";877;
1811083;"Radomyśl Wielki (3)";1076;
1811092;"Tuszów Narodowy (2)";559;
1811102;"Wadowice Górne (2)";559;
1812012;"Harasiuki (2)";376;
1812022;"Jarocin (2)";307;
1812032;"Jeżowe (2)";781;
1812042;"Krzeszów (2)";256;
1812053;"Nisko (3)";1274;
1812063;"Rudnik nad Sanem (3)";595;
1812073;"Ulanów (3)";440;
1813012;"Bircza (2)";437;
1813022;"Dubiecko (2)";655;
1813032;"Fredropol (2)";361;
1813042;"Krasiczyn (2)";371;
1813052;"Krzywcza (2)";324;
1813062;"Medyka (2)";410;
1813072;"Orły (2)";651;
1813082;"Przemyśl (2)";736;
1813092;"Stubno (2)";285;
1813102;"Żurawica (2)";833;
1814011;"Przeworsk (1)";961;
1814022;"Adamówka (2)";295;
1814032;"Gać (2)";347;
1814042;"Jawornik Polski (2)";290;
1814053;"Kańczuga (3)";831;
1814062;"Przeworsk (2)";1021;
1814073;"Sieniawa (3)";468;
1814082;"Tryńcza (2)";655;
1814092;"Zarzecze (2)";517;
1815012;"Iwierzyce (2)";551;
1815022;"Ostrów (2)";516;
1815033;"Ropczyce (3)";2109;
1815043;"Sędziszów Małopolski (3)";1707;
1815052;"Wielopole Skrzyńskie (2)";610;
1816011;"Dynów (1)";391;
1816023;"Błażowa (3)";718;
1816033;"Boguchwała (3)";1506;
1816042;"Chmielnik (2)";519;
1816052;"Dynów (2)";458;
1816063;"Głogów Małopolski (3)";1563;
1816072;"Hyżne (2)";520;
1816082;"Kamień (2)";469;
1816092;"Krasne (2)";933;
1816102;"Lubenia (2)";479;
1816113;"Sokołów Małopolski (3)";1321;
1816122;"Świlcza (2)";1110;
1816132;"Trzebownisko (2)";1686;
1816143;"Tyczyn (3)";932;
1817011;"Sanok (1)";1936;
1817022;"Besko (2)";326;
1817032;"Bukowsko (2)";444;
1817042;"Komańcza (2)";224;
1817052;"Sanok (2)";1330;
1817062;"Tyrawa Wołoska (2)";162;
1817073;"Zagórz (3)";849;
1817082;"Zarszyn (2)";611;
1818011;"Stalowa Wola (1)";3100;
1818022;"Bojanów (2)";506;
1818032;"Pysznica (2)";677;
1818042;"Radomyśl nad Sanem (2)";403;
1818053;"Zaklików (3)";522;
1818062;"Zaleszany (2)";720;
1819012;"Czudec (2)";821;
1819022;"Frysztak (2)";716;
1819032;"Niebylec (2)";739;
1819043;"Strzyżów (3)";1337;
1819052;"Wiśniowa (2)";563;
1820013;"Baranów Sandomierski (3)";751;
1820022;"Gorzyce (2)";775;
1820032;"Grębów (2)";686;
1820043;"Nowa Dęba (3)";943;
1821012;"Baligród (2)";191;
1821022;"Cisna (2)";104;
1821033;"Lesko (3)";624;
1821042;"Olszanica (2)";292;
1821052;"Solina (2)";337;
1861011;"Krosno (1)";2635;
1862011;"Przemyśl (1)";3386;
1863011;"Rzeszów (1)";11310;
1864011;"Tarnobrzeg (1)";2429;
2001011;"Augustów (1)";1798;
2001022;"Augustów (2)";513;
2001032;"Bargłów Kościelny (2)";396;
2001043;"Lipsk (3)";279;
2001052;"Nowinka (2)";194;
2001062;"Płaska (2)";175;
2001072;"Sztabin (2)";342;
