"Kod";"Nazwa";"ogółem w km2;2019;[km2]";
1019042;"Zduńska Wola (2)";111;
1020011;"Głowno (1)";20;
1020021;"Ozorków (1)";15;
1020031;"Zgierz (1)";42;
1020043;"Aleksandrów Łódzki (3)";116;
1020052;"Głowno (2)";105;
1020062;"Ozorków (2)";96;
1020072;"Parzęczew (2)";104;
1020083;"Stryków (3)";158;
1020092;"Zgierz (2)";199;
1021011;"Brzeziny (1)";22;
1021022;"Brzeziny (2)";107;
1021032;"Dmosin (2)";100;
1021042;"Jeżów (2)";64;
1021052;"Rogów (2)";66;
1061011;"Łódź (1)";293;
1062011;"Piotrków Trybunalski (1)";67;
1063011;"Skierniewice (1)";35;
1201011;"Bochnia (1)";30;
1201022;"Bochnia (2)";132;
1201032;"Drwinia (2)";108;
1201042;"Lipnica Murowana (2)";60;
1201052;"Łapanów (2)";72;
1201063;"Nowy Wiśnicz (3)";82;
1201072;"Rzezawa (2)";86;
1201082;"Trzciana (2)";44;
1201092;"Żegocina (2)";35;
1202012;"Borzęcin (2)";103;
1202023;"Brzesko (3)";103;
1202033;"Czchów (3)";66;
1202042;"Dębno (2)";82;
1202052;"Gnojnik (2)";55;
1202062;"Iwkowa (2)";47;
1202072;"Szczurowa (2)";135;
1203013;"Alwernia (3)";74;
1203022;"Babice (2)";55;
1203033;"Chrzanów (3)";79;
1203043;"Libiąż (3)";57;
1203053;"Trzebinia (3)";105;
1204012;"Bolesław (2)";36;
1204023;"Dąbrowa Tarnowska (3)";116;
1204032;"Gręboszów (2)";49;
1204042;"Mędrzechów (2)";44;
1204052;"Olesno (2)";78;
1204062;"Radgoszcz (2)";88;
1204073;"Szczucin (3)";119;
1205011;"Gorlice (1)";24;
1205023;"Biecz (3)";98;
1205033;"Bobowa (3)";50;
1205042;"Gorlice (2)";103;
1205052;"Lipinki (2)";66;
1205062;"Łużna (2)";56;
1205072;"Moszczenica (2)";38;
1205082;"Ropa (2)";49;
1205092;"Sękowa (2)";195;
1205102;"Uście Gorlickie (2)";287;
1206012;"Czernichów (2)";85;
1206022;"Igołomia-Wawrzeńczyce (2)";63;
1206032;"Iwanowice (2)";71;
1206042;"Jerzmanowice-Przeginia (2)";68;
1206052;"Kocmyrzów-Luborzyca (2)";81;
1206063;"Krzeszowice (3)";139;
1206072;"Liszki (2)";72;
1206082;"Michałowice (2)";51;
1206092;"Mogilany (2)";44;
1206103;"Skała (3)";75;
1206113;"Skawina (3)";100;
1206123;"Słomniki (3)";113;
1206132;"Sułoszowa (2)";53;
1206143;"Świątniki Górne (3)";20;
1206152;"Wielka Wieś (2)";48;
1206162;"Zabierzów (2)";99;
1206172;"Zielonki (2)";49;
1207011;"Limanowa (1)";19;
1207021;"Mszana Dolna (1)";27;
1207032;"Dobra (2)";110;
1207042;"Jodłownik (2)";72;
1207052;"Kamienica (2)";95;
1207062;"Laskowa (2)";72;
1207072;"Limanowa (2)";152;
1207082;"Łukowica (2)";70;
1207092;"Mszana Dolna (2)";170;
1207102;"Niedźwiedź (2)";74;
1207112;"Słopnice (2)";57;
1207122;"Tymbark (2)";33;
1208012;"Charsznica (2)";78;
1208022;"Gołcza (2)";90;
1208032;"Kozłów (2)";86;
1208042;"Książ Wielki (2)";138;
1208053;"Miechów (3)";148;
1208062;"Racławice (2)";59;
1208072;"Słaboszów (2)";77;
1209013;"Dobczyce (3)";66;
1209022;"Lubień (2)";75;
1209033;"Myślenice (3)";154;
1209042;"Pcim (2)";89;
1209052;"Raciechowice (2)";61;
1209062;"Siepraw (2)";32;
1209073;"Sułkowice (3)";60;
1209082;"Tokarnia (2)";69;
1209092;"Wiśniowa (2)";67;
1210011;"Grybów (1)";17;
1210022;"Chełmiec (2)";112;
1210032;"Gródek nad Dunajcem (2)";88;
1210042;"Grybów (2)";154;
1210052;"Kamionka Wielka (2)";65;
1210062;"Korzenna (2)";107;
1210073;"Krynica-Zdrój (3)";145;
1210082;"Łabowa (2)";119;
1210092;"Łącko (2)";132;
1210102;"Łososina Dolna (2)";85;
1210113;"Muszyna (3)";141;
1210122;"Nawojowa (2)";50;
1210133;"Piwniczna-Zdrój (3)";126;
1210142;"Podegrodzie (2)";65;
1210152;"Rytro (2)";42;
1210163;"Stary Sącz (3)";101;
1211011;"Nowy Targ (1)";51;
1211023;"Szczawnica (3)";88;
1211032;"Czarny Dunajec (2)";218;
1211042;"Czorsztyn (2)";62;
1211052;"Jabłonka (2)";212;
1211062;"Krościenko nad Dunajcem (2)";57;
1211072;"Lipnica Wielka (2)";67;
1211082;"Łapsze Niżne (2)";126;
1211092;"Nowy Targ (2)";208;
1211102;"Ochotnica Dolna (2)";141;
1211112;"Raba Wyżna (2)";89;
1211123;"Rabka-Zdrój (3)";69;
1211132;"Spytkowice (2)";32;
1211142;"Szaflary (2)";54;
1212011;"Bukowno (1)";65;
1212032;"Bolesław (2)";41;
1212042;"Klucze (2)";119;
1212053;"Olkusz (3)";151;
1212062;"Trzyciąż (2)";95;
1212073;"Wolbrom (3)";147;
1213011;"Oświęcim (1)";30;
1213023;"Brzeszcze (3)";46;
1213033;"Chełmek (3)";27;
1213043;"Kęty (3)";76;
1213052;"Osiek (2)";41;
1213062;"Oświęcim (2)";75;
1213072;"Polanka Wielka (2)";24;
1213082;"Przeciszów (2)";35;
1213093;"Zator (3)";52;
1214012;"Koniusza (2)";89;
1214023;"Koszyce (3)";66;
1214033;"Nowe Brzesko (3)";54;
1214042;"Pałecznica (2)";48;
1214053;"Proszowice (3)";100;
1214062;"Radziemice (2)";58;
1215011;"Jordanów (1)";21;
1215021;"Sucha Beskidzka (1)";28;
1215032;"Budzów (2)";74;
1215042;"Bystra-Sidzina (2)";81;
1215052;"Jordanów (2)";92;
1215063;"Maków Podhalański (3)";109;
1215072;"Stryszawa (2)";114;
1215082;"Zawoja (2)";128;
1215092;"Zembrzyce (2)";39;
1216013;"Ciężkowice (3)";103;
1216022;"Gromnik (2)";70;
1216032;"Lisia Góra (2)";105;
1216042;"Pleśna (2)";83;
1216053;"Radłów (3)";86;
1216063;"Ryglice (3)";117;
1216072;"Rzepiennik Strzyżewski (2)";71;
1216082;"Skrzyszów (2)";86;
1216092;"Tarnów (2)";83;
1216103;"Tuchów (3)";100;
1216112;"Wierzchosławice (2)";75;
1216122;"Wietrzychowice (2)";48;
1216133;"Wojnicz (3)";79;
1216143;"Zakliczyn (3)";122;
1216153;"Żabno (3)";102;
1216162;"Szerzyny (2)";82;
1217011;"Zakopane (1)";84;
1217022;"Biały Dunajec (2)";35;
1217032;"Bukowina Tatrzańska (2)";132;
1217042;"Kościelisko (2)";137;
1217052;"Poronin (2)";84;
1218013;"Andrychów (3)";100;
1218022;"Brzeźnica (2)";66;
1218033;"Kalwaria Zebrzydowska (3)";75;
1218042;"Lanckorona (2)";40;
1218052;"Mucharz (2)";37;
1218062;"Spytkowice (2)";52;
1218072;"Stryszów (2)";46;
1218082;"Tomice (2)";42;
1218093;"Wadowice (3)";113;
1218102;"Wieprz (2)";75;
1219012;"Biskupice (2)";41;
1219022;"Gdów (2)";109;
1219032;"Kłaj (2)";65;
1219043;"Niepołomice (3)";96;
1219053;"Wieliczka (3)";100;
1261011;"Kraków (1)";327;
1262011;"Nowy Sącz (1)";58;
1263011;"Tarnów (1)";72;
1401013;"Białobrzegi (3)";78;
1401022;"Promna (2)";120;
1401032;"Radzanów (2)";83;
1401042;"Stara Błotnica (2)";96;
1401052;"Stromiec (2)";156;
1401063;"Wyśmierzyce (3)";106;
1402011;"Ciechanów (1)";33;
1402022;"Ciechanów (2)";141;
1402033;"Glinojeck (3)";154;
1402042;"Gołymin-Ośrodek (2)";111;
1402052;"Grudusk (2)";97;
1402062;"Ojrzeń (2)";120;
1402072;"Opinogóra Górna (2)";139;
1402082;"Regimin (2)";111;
1402092;"Sońsk (2)";154;
1403011;"Garwolin (1)";22;
1403021;"Łaskarzew (1)";15;
1403032;"Borowie (2)";80;
1403042;"Garwolin (2)";136;
1403052;"Górzno (2)";91;
1403062;"Łaskarzew (2)";88;
1403072;"Maciejowice (2)";175;
1403082;"Miastków Kościelny (2)";85;
1403092;"Parysów (2)";64;
1403103;"Pilawa (3)";77;
1403112;"Sobolew (2)";95;
1403122;"Trojanów (2)";152;
1403132;"Wilga (2)";118;
1403143;"Żelechów (3)";87;
1404011;"Gostynin (1)";32;
1404022;"Gostynin (2)";271;
1404032;"Pacyna (2)";90;
1404043;"Sanniki (3)";95;
1404052;"Szczawin Kościelny (2)";127;
1405011;"Milanówek (1)";13;
1405021;"Podkowa Leśna (1)";10;
1405032;"Baranów (2)";76;
1405043;"Grodzisk Mazowiecki (3)";107;
1405052;"Jaktorów (2)";55;
1405062;"Żabia Wola (2)";106;
1406012;"Belsk Duży (2)";108;
1406022;"Błędów (2)";134;
1406032;"Chynów (2)";135;
1406042;"Goszczyn (2)";58;
1406053;"Grójec (3)";121;
1406062;"Jasieniec (2)";108;
1406073;"Mogielnica (3)";141;
1406083;"Nowe Miasto nad Pilicą (3)";159;
1406092;"Pniewy (2)";102;
1406113;"Warka (3)";202;
1407012;"Garbatka-Letnisko (2)";74;
1407022;"Głowaczów (2)";186;
1407032;"Gniewoszów (2)";84;
1407042;"Grabów nad Pilicą (2)";125;
1407053;"Kozienice (3)";244;
1407062;"Magnuszew (2)";141;
1407072;"Sieciechów (2)";62;
1408011;"Legionowo (1)";14;
1408022;"Jabłonna (2)";65;
1408032;"Nieporęt (2)";96;
1408043;"Serock (3)";110;
1408052;"Wieliszew (2)";106;
1409012;"Chotcza (2)";90;
1409022;"Ciepielów (2)";135;
1409033;"Lipsko (3)";135;
1409042;"Rzeczniów (2)";103;
1409052;"Sienno (2)";147;
1409062;"Solec nad Wisłą (2)";130;
1410012;"Huszlew (2)";118;
1410023;"Łosice (3)";121;
1410032;"Olszanka (2)";88;
1410042;"Platerów (2)";129;
1410052;"Sarnaki (2)";197;
1410062;"Stara Kornica (2)";119;
1411011;"Maków Mazowiecki (1)";10;
1411022;"Czerwonka (2)";110;
1411032;"Karniewo (2)";129;
1411042;"Krasnosielc (2)";168;
1411052;"Młynarze (2)";75;
1411062;"Płoniawy-Bramura (2)";135;
1411073;"Różan (3)";85;
1411082;"Rzewnie (2)";112;
1411092;"Sypniewo (2)";128;
1411102;"Szelków (2)";113;
1412011;"Mińsk Mazowiecki (1)";13;
1412042;"Cegłów (2)";96;
1412052;"Dębe Wielkie (2)";78;
1412062;"Dobre (2)";125;
1412073;"Halinów (3)";63;
1412082;"Jakubów (2)";87;
1412093;"Kałuszyn (3)";94;
1412102;"Latowicz (2)";114;
1412112;"Mińsk Mazowiecki (2)";112;
1412123;"Mrozy (3)";145;
1412132;"Siennica (2)";111;
1412142;"Stanisławów (2)";107;
1412151;"Sulejówek (1)";19;
1413011;"Mława (1)";35;
1413022;"Dzierzgowo (2)";151;
1413032;"Lipowiec Kościelny (2)";114;
1413042;"Radzanów (2)";99;
1413052;"Strzegowo (2)";214;
1413062;"Stupsk (2)";118;
1413072;"Szreńsk (2)";109;
1413082;"Szydłowo (2)";123;
1413092;"Wieczfnia Kościelna (2)";120;
1413102;"Wiśniewo (2)";99;
1414011;"Nowy Dwór Mazowiecki (1)";28;
1414022;"Czosnów (2)";128;
1414032;"Leoncin (2)";158;
1414043;"Nasielsk (3)";206;
1414052;"Pomiechówek (2)";103;
1414063;"Zakroczym (3)";72;
1415012;"Baranowo (2)";197;
1415022;"Czarnia (2)";94;
1415032;"Czerwin (2)";170;
1415042;"Goworowo (2)";219;
1415052;"Kadzidło (2)";259;
1415062;"Lelis (2)";196;
1415072;"Łyse (2)";247;
1415083;"Myszyniec (3)";227;
1415092;"Olszewo-Borki (2)";197;
1415102;"Rzekuń (2)";131;
1415112;"Troszyn (2)";156;
1416011;"Ostrów Mazowiecka (1)";22;
1416022;"Andrzejewo (2)";119;
1416032;"Boguty-Pianki (2)";89;
1416043;"Brok (3)";110;
1416052;"Małkinia Górna (2)";134;
1416062;"Nur (2)";96;
1416072;"Ostrów Mazowiecka (2)";283;
1416082;"Stary Lubotyń (2)";110;
1416092;"Szulborze Wielkie (2)";47;
1416102;"Wąsewo (2)";119;
1416112;"Zaręby Kościelne (2)";89;
1417011;"Józefów (1)";24;
1417021;"Otwock (1)";47;
1417032;"Celestynów (2)";89;
1417043;"Karczew (3)";81;
1417052;"Kołbiel (2)";107;
1417062;"Osieck (2)";68;
1417072;"Sobienie-Jeziory (2)";98;
1417082;"Wiązowna (2)";102;
1418013;"Góra Kalwaria (3)";144;
1418023;"Konstancin-Jeziorna (3)";79;
1418032;"Lesznowola (2)";69;
1418043;"Piaseczno (3)";128;
1418052;"Prażmów (2)";87;
1418063;"Tarczyn (3)";114;
1419012;"Bielsk (2)";125;
1419022;"Bodzanów (2)";136;
1419032;"Brudzeń Duży (2)";159;
1419042;"Bulkowo (2)";117;
1419053;"Drobin (3)";144;
1419063;"Gąbin (3)";146;
1419072;"Łąck (2)";94;
1419082;"Mała Wieś (2)";109;
1419092;"Nowy Duninów (2)";146;
1419102;"Radzanowo (2)";104;
1419112;"Słubice (2)";96;
1419122;"Słupno (2)";75;
1419132;"Stara Biała (2)";111;
1419142;"Staroźreby (2)";138;
1419153;"Wyszogród (3)";96;
1420011;"Płońsk (1)";12;
1420021;"Raciąż (1)";8;
1420032;"Baboszewo (2)";162;
1420042;"Czerwińsk nad Wisłą (2)";144;
1420052;"Dzierzążnia (2)";102;
1420062;"Joniec (2)";73;
1420072;"Naruszewo (2)";160;
1420082;"Nowe Miasto (2)";118;
1420092;"Płońsk (2)";127;
1420102;"Raciąż (2)";244;
1420112;"Sochocin (2)";122;
1420122;"Załuski (2)";108;
1421011;"Piastów (1)";6;
1421021;"Pruszków (1)";19;
1421033;"Brwinów (3)";69;
1421042;"Michałowice (2)";35;
1421052;"Nadarzyn (2)";73;
1421062;"Raszyn (2)";44;
1422011;"Przasnysz (1)";25;
1422023;"Chorzele (3)";371;
1422032;"Czernice Borowe (2)";120;
1422042;"Jednorożec (2)";233;
1422052;"Krasne (2)";101;
1422062;"Krzynowłoga Mała (2)";185;
1422072;"Przasnysz (2)";184;
1423012;"Borkowice (2)";86;
1423022;"Gielniów (2)";79;
1423032;"Klwów (2)";87;
1423042;"Odrzywół (2)";99;
1423052;"Potworów (2)";82;
1423063;"Przysucha (3)";182;
1423072;"Rusinów (2)";83;
1423082;"Wieniawa (2)";103;
1424012;"Gzy (2)";104;
1424022;"Obryte (2)";140;
1424032;"Pokrzywnica (2)";121;
1424043;"Pułtusk (3)";134;
1424052;"Świercze (2)";93;
1424062;"Winnica (2)";115;
1424072;"Zatory (2)";120;
1425011;"Pionki (1)";18;
1425022;"Gózd (2)";78;
1425033;"Iłża (3)";256;
1425042;"Jastrzębia (2)";90;
1425052;"Jedlińsk (2)";139;
1425062;"Jedlnia-Letnisko (2)";66;
1425072;"Kowala (2)";75;
1425082;"Pionki (2)";230;
1425092;"Przytyk (2)";134;
1425103;"Skaryszew (3)";171;
1425112;"Wierzbica (2)";94;
1425122;"Wolanów (2)";83;
1425132;"Zakrzew (2)";96;
1426012;"Domanice (2)";47;
1426022;"Korczew (2)";105;
1426032;"Kotuń (2)";151;
1426042;"Mokobody (2)";119;
1426053;"Mordy (3)";170;
1426062;"Paprotnia (2)";81;
1426072;"Przesmyki (2)";117;
1426082;"Siedlce (2)";141;
1426092;"Skórzec (2)";119;
1426102;"Suchożebry (2)";101;
1426112;"Wiśniew (2)";126;
1426122;"Wodynie (2)";115;
1426132;"Zbuczyn (2)";211;
1427011;"Sierpc (1)";19;
1427022;"Gozdowo (2)";126;
1427032;"Mochowo (2)";144;
1427042;"Rościszewo (2)";115;
1427052;"Sierpc (2)";150;
1427062;"Szczutowo (2)";113;
1427072;"Zawidz (2)";185;
1428011;"Sochaczew (1)";26;
1428022;"Brochów (2)";120;
1428032;"Iłów (2)";129;
1428042;"Młodzieszyn (2)";118;
1428052;"Nowa Sucha (2)";90;
1428062;"Rybno (2)";73;
1428072;"Sochaczew (2)";91;
1428082;"Teresin (2)";88;
1429011;"Sokołów Podlaski (1)";18;
1429022;"Bielany (2)";110;
1429032;"Ceranów (2)";111;
1429042;"Jabłonna Lacka (2)";149;
1429053;"Kosów Lacki (3)";200;
1429062;"Repki (2)";168;
1429072;"Sabnie (2)";108;
1429082;"Sokołów Podlaski (2)";137;
1429092;"Sterdyń (2)";130;
1430012;"Chlewiska (2)";124;
1430022;"Jastrząb (2)";55;
1430032;"Mirów (2)";53;
1430042;"Orońsko (2)";82;
1430053;"Szydłowiec (3)";138;
1432013;"Błonie (3)";86;
1432022;"Izabelin (2)";65;
1432032;"Kampinos (2)";85;
1432042;"Leszno (2)";125;
1432053;"Łomianki (3)";39;
1432063;"Ożarów Mazowiecki (3)";71;
1432072;"Stare Babice (2)";63;
1433011;"Węgrów (1)";36;
1433022;"Grębków (2)";131;
1433032;"Korytnica (2)";180;
1433042;"Liw (2)";169;
1433053;"Łochów (3)";196;
1433062;"Miedzna (2)";116;
1433072;"Sadowne (2)";145;
1433082;"Stoczek (2)";145;
1433092;"Wierzbno (2)";103;
1434011;"Kobyłka (1)";20;
1434021;"Marki (1)";26;
1434031;"Ząbki (1)";11;
1434041;"Zielonka (1)";79;
1434052;"Dąbrówka (2)";109;
1434062;"Jadów (2)";117;
1434072;"Klembów (2)";86;
1434082;"Poświętne (2)";104;
1434093;"Radzymin (3)";129;
1434102;"Strachówka (2)";108;
1434113;"Tłuszcz (3)";103;
1434123;"Wołomin (3)";62;
1435012;"Brańszczyk (2)";167;
1435022;"Długosiodło (2)";167;
1435032;"Rząśnik (2)";167;
1435042;"Somianka (2)";118;
1435053;"Wyszków (3)";165;
1435062;"Zabrodzie (2)";92;
1436012;"Kazanów (2)";95;
1436022;"Policzna (2)";113;
1436032;"Przyłęk (2)";131;
1436042;"Tczów (2)";72;
1436053;"Zwoleń (3)";162;
1437013;"Bieżuń (3)";121;
1437022;"Kuczbork-Osada (2)";122;
1437033;"Lubowidz (3)";192;
1437042;"Lutocin (2)";126;
1437052;"Siemiątkowo (2)";113;
1437063;"Żuromin (3)";133;
1438011;"Żyrardów (1)";14;
1438023;"Mszczonów (3)";152;
1438032;"Puszcza Mariańska (2)";143;
1438042;"Radziejowice (2)";73;
1438052;"Wiskitki (2)";151;
1461011;"Ostrołęka (1)";33;
1462011;"Płock (1)";88;
1463011;"Radom (1)";112;
1464011;"Siedlce (1)";32;
1465011;"M.st.Warszawa od 2002 (1)";517;
1601011;"Brzeg (1)";15;
1601022;"Skarbimierz (2)";110;
1601033;"Grodków (3)";286;
1601043;"Lewin Brzeski (3)";160;
1601052;"Lubsza (2)";212;
1601062;"Olszanka (2)";93;
1602013;"Baborów (3)";117;
1602022;"Branice (2)";122;
1602033;"Głubczyce (3)";294;
1602043;"Kietrz (3)";140;
1603011;"Kędzierzyn-Koźle (1)";124;
1603022;"Bierawa (2)";119;
1603032;"Cisek (2)";71;
1603042;"Pawłowiczki (2)";153;
1603052;"Polska Cerekiew (2)";60;
1603062;"Reńska Wieś (2)";98;
1604013;"Byczyna (3)";183;
1604023;"Kluczbork (3)";217;
1604032;"Lasowice Wielkie (2)";211;
1604043;"Wołczyn (3)";241;
1605013;"Gogolin (3)";101;
1605023;"Krapkowice (3)";97;
1605032;"Strzeleczki (2)";118;
1605042;"Walce (2)";69;
1605053;"Zdzieszowice (3)";57;
1606012;"Domaszowice (2)";114;
1606023;"Namysłów (3)";290;
1606032;"Pokój (2)";133;
1606042;"Świerczów (2)";110;
1606052;"Wilków (2)";101;
1607013;"Głuchołazy (3)";168;
1607022;"Kamiennik (2)";89;
1607033;"Korfantów (3)";180;
1607042;"Łambinowice (2)";124;
1607053;"Nysa (3)";218;
1607063;"Otmuchów (3)";187;
1607073;"Paczków (3)";80;
1607082;"Pakosławice (2)";74;
1607092;"Skoroszyce (2)";104;
1608013;"Dobrodzień (3)";163;
1608023;"Gorzów Śląski (3)";154;
1608033;"Olesno (3)";241;
1608043;"Praszka (3)";103;
1608052;"Radłów (2)";116;
1608062;"Rudniki (2)";100;
1608072;"Zębowice (2)";96;
1609012;"Chrząstowice (2)";82;
1609022;"Dąbrowa (2)";114;
1609032;"Dobrzeń Wielki (2)";64;
1609042;"Komprachcice (2)";51;
1609052;"Łubniany (2)";126;
1609062;"Murów (2)";160;
1609073;"Niemodlin (3)";183;
1609083;"Ozimek (3)";126;
1609092;"Popielów (2)";176;
1609103;"Prószków (3)";118;
1609112;"Tarnów Opolski (2)";82;
1609123;"Tułowice (3)";81;
1609132;"Turawa (2)";171;
1610013;"Biała (3)";196;
1610023;"Głogówek (3)";170;
1610032;"Lubrza (2)";84;
1610043;"Prudnik (3)";122;
1611012;"Izbicko (2)";85;
1611022;"Jemielnica (2)";112;
1611033;"Kolonowskie (3)";84;
1611043;"Leśnica (3)";95;
1611053;"Strzelce Opolskie (3)";203;
1611063;"Ujazd (3)";83;
1611073;"Zawadzkie (3)";82;
1661011;"Opole (1)";149;
1801032;"Czarna (2)";185;
1801052;"Lutowiska (2)";475;
1801083;"Ustrzyki Dolne (3)";479;
1802013;"Brzozów (3)";103;
1802022;"Domaradz (2)";56;
1802032;"Dydnia (2)";130;
1802042;"Haczów (2)";72;
1802052;"Jasienica Rosielna (2)";57;
1802062;"Nozdrzec (2)";121;
1803011;"Dębica (1)";34;
1803023;"Brzostek (3)";122;
1803032;"Czarna (2)";148;
1803042;"Dębica (2)";138;
1803052;"Jodłowa (2)";60;
1803063;"Pilzno (3)";165;
1803072;"Żyraków (2)";110;
1804011;"Jarosław (1)";35;
1804021;"Radymno (1)";14;
1804032;"Chłopice (2)";49;
1804042;"Jarosław (2)";113;
1804052;"Laszki (2)";138;
1804062;"Pawłosiów (2)";47;
1804073;"Pruchnik (3)";80;
1804082;"Radymno (2)";182;
1804092;"Rokietnica (2)";57;
1804102;"Roźwienica (2)";69;
1804112;"Wiązownica (2)";245;
1805011;"Jasło (1)";37;
1805022;"Brzyska (2)";45;
1805032;"Dębowiec (2)";86;
1805042;"Jasło (2)";93;
1805053;"Kołaczyce (3)";61;
1805062;"Krempna (2)";205;
1805072;"Nowy Żmigród (2)";104;
1805082;"Osiek Jasielski (2)";60;
1805092;"Skołyszyn (2)";78;
1805112;"Tarnowiec (2)";62;
1806012;"Cmolas (2)";134;
1806023;"Kolbuszowa (3)";171;
1806032;"Majdan Królewski (2)";155;
1806042;"Niwiska (2)";95;
1806052;"Raniżów (2)";97;
1806062;"Dzikowiec (2)";122;
1807012;"Chorkówka (2)";77;
1807023;"Dukla (3)";235;
1807033;"Iwonicz-Zdrój (3)";46;
1807043;"Jedlicze (3)";59;
1807052;"Korczyna (2)";93;
1807062;"Krościenko Wyżne (2)";16;
1807072;"Miejsce Piastowe (2)";51;
1807083;"Rymanów (3)";167;
1807092;"Wojaszówka (2)";83;
1807102;"Jaśliska (2)";166;
1808011;"Leżajsk (1)";21;
1808022;"Grodzisko Dolne (2)";79;
1808032;"Kuryłówka (2)";142;
1808042;"Leżajsk (2)";198;
1808053;"Nowa Sarzyna (3)";144;
1809011;"Lubaczów (1)";26;
1809023;"Cieszanów (3)";219;
1809032;"Horyniec-Zdrój (2)";203;
1809042;"Lubaczów (2)";203;
1809053;"Narol (3)";203;
1809063;"Oleszyce (3)";152;
1809072;"Stary Dzików (2)";156;
1809082;"Wielkie Oczy (2)";146;
1810011;"Łańcut (1)";19;
1810022;"Białobrzegi (2)";56;
1810032;"Czarna (2)";78;
1810042;"Łańcut (2)";107;
1810052;"Markowa (2)";69;
1810062;"Rakszawa (2)";66;
1810072;"Żołynia (2)";57;
1811011;"Mielec (1)";47;
1811022;"Borowa (2)";56;
1811032;"Czermin (2)";80;
1811042;"Gawłuszowice (2)";34;
1811052;"Mielec (2)";123;
1811062;"Padew Narodowa (2)";71;
1811073;"Przecław (3)";134;
1811083;"Radomyśl Wielki (3)";160;
1811092;"Tuszów Narodowy (2)";89;
1811102;"Wadowice Górne (2)";87;
1812012;"Harasiuki (2)";169;
1812022;"Jarocin (2)";91;
1812032;"Jeżowe (2)";124;
1812042;"Krzeszów (2)";62;
1812053;"Nisko (3)";142;
1812063;"Rudnik nad Sanem (3)";79;
1812073;"Ulanów (3)";119;
1813012;"Bircza (2)";254;
1813022;"Dubiecko (2)";154;
1813032;"Fredropol (2)";160;
1813042;"Krasiczyn (2)";124;
1813052;"Krzywcza (2)";95;
1813062;"Medyka (2)";61;
1813072;"Orły (2)";70;
1813082;"Przemyśl (2)";108;
1813092;"Stubno (2)";89;
1813102;"Żurawica (2)";96;
1814011;"Przeworsk (1)";22;
1814022;"Adamówka (2)";134;
1814032;"Gać (2)";36;
1814042;"Jawornik Polski (2)";63;
1814053;"Kańczuga (3)";105;
1814062;"Przeworsk (2)";91;
1814073;"Sieniawa (3)";128;
1814082;"Tryńcza (2)";70;
1814092;"Zarzecze (2)";49;
1815012;"Iwierzyce (2)";66;
1815022;"Ostrów (2)";96;
1815033;"Ropczyce (3)";139;
1815043;"Sędziszów Małopolski (3)";154;
1815052;"Wielopole Skrzyńskie (2)";93;
1816011;"Dynów (1)";25;
1816023;"Błażowa (3)";113;
1816033;"Boguchwała (3)";89;
1816042;"Chmielnik (2)";53;
1816052;"Dynów (2)";118;
1816063;"Głogów Małopolski (3)";144;
1816072;"Hyżne (2)";51;
1816082;"Kamień (2)";74;
1816092;"Krasne (2)";39;
1816102;"Lubenia (2)";55;
1816113;"Sokołów Małopolski (3)";134;
1816122;"Świlcza (2)";108;
1816132;"Trzebownisko (2)";90;
1816143;"Tyczyn (3)";54;
1817011;"Sanok (1)";38;
1817022;"Besko (2)";27;
1817032;"Bukowsko (2)";137;
1817042;"Komańcza (2)";388;
1817052;"Sanok (2)";232;
1817062;"Tyrawa Wołoska (2)";69;
1817073;"Zagórz (3)";160;
1817082;"Zarszyn (2)";105;
1818011;"Stalowa Wola (1)";83;
1818022;"Bojanów (2)";179;
1818032;"Pysznica (2)";147;
1818042;"Radomyśl nad Sanem (2)";134;
1818053;"Zaklików (3)";202;
1818062;"Zaleszany (2)";87;
1819012;"Czudec (2)";85;
1819022;"Frysztak (2)";91;
1819032;"Niebylec (2)";105;
1819043;"Strzyżów (3)";140;
1819052;"Wiśniowa (2)";83;
1820013;"Baranów Sandomierski (3)";122;
1820022;"Gorzyce (2)";69;
1820032;"Grębów (2)";187;
1820043;"Nowa Dęba (3)";143;
1821012;"Baligród (2)";158;
1821022;"Cisna (2)";287;
1821033;"Lesko (3)";111;
1821042;"Olszanica (2)";94;
1821052;"Solina (2)";185;
1861011;"Krosno (1)";44;
1862011;"Przemyśl (1)";46;
1863011;"Rzeszów (1)";126;
1864011;"Tarnobrzeg (1)";85;
2001011;"Augustów (1)";81;
2001022;"Augustów (2)";267;
2001032;"Bargłów Kościelny (2)";188;
2001043;"Lipsk (3)";184;
2001052;"Nowinka (2)";204;
2001062;"Płaska (2)";372;
2001072;"Sztabin (2)";363;
2002013;"Choroszcz (3)";164;
2002023;"Czarna Białostocka (3)";206;
2002032;"Dobrzyniewo Duże (2)";161;
2002042;"Gródek (2)";429;
2002052;"Juchnowiec Kościelny (2)";171;
2002063;"Łapy (3)";128;
2002073;"Michałowo (3)";409;
2002082;"Poświętne (2)";115;
2002093;"Supraśl (3)";189;
2002103;"Suraż (3)";77;
2002112;"Turośń Kościelna (2)";140;
2002123;"Tykocin (3)";207;
2002133;"Wasilków (3)";127;
2002143;"Zabłudów (3)";340;
2002152;"Zawady (2)";112;
2003011;"Bielsk Podlaski (1)";27;
2003021;"Brańsk (1)";32;
2003032;"Bielsk Podlaski (2)";431;
2003042;"Boćki (2)";232;
2003052;"Brańsk (2)";227;
2003062;"Orla (2)";160;
2003072;"Rudka (2)";70;
