"Kod";"Nazwa";"ogółem;2019;[osoba]";
1019032;"Zapolice (2)";94;
1019042;"Zduńska Wola (2)";98;
1020011;"Głowno (1)";112;
1020021;"Ozorków (1)";115;
1020031;"Zgierz (1)";116;
1020043;"Aleksandrów Łódzki (3)";109;
1020052;"Głowno (2)";100;
1020062;"Ozorków (2)";106;
1020072;"Parzęczew (2)";96;
1020083;"Stryków (3)";104;
1020092;"Zgierz (2)";104;
1021011;"Brzeziny (1)";112;
1021022;"Brzeziny (2)";102;
1021032;"Dmosin (2)";103;
1021042;"Jeżów (2)";103;
1021052;"Rogów (2)";102;
1061011;"Łódź (1)";119;
1062011;"Piotrków Trybunalski (1)";114;
1063011;"Skierniewice (1)";109;
1201011;"Bochnia (1)";108;
1201022;"Bochnia (2)";101;
1201032;"Drwinia (2)";101;
1201042;"Lipnica Murowana (2)";96;
1201052;"Łapanów (2)";98;
1201063;"Nowy Wiśnicz (3)";98;
1201072;"Rzezawa (2)";103;
1201082;"Trzciana (2)";104;
1201092;"Żegocina (2)";100;
1202012;"Borzęcin (2)";100;
1202023;"Brzesko (3)";103;
1202033;"Czchów (3)";100;
1202042;"Dębno (2)";102;
1202052;"Gnojnik (2)";98;
1202062;"Iwkowa (2)";105;
1202072;"Szczurowa (2)";100;
1203013;"Alwernia (3)";103;
1203022;"Babice (2)";105;
1203033;"Chrzanów (3)";109;
1203043;"Libiąż (3)";107;
1203053;"Trzebinia (3)";106;
1204012;"Bolesław (2)";97;
1204023;"Dąbrowa Tarnowska (3)";101;
1204032;"Gręboszów (2)";104;
1204042;"Mędrzechów (2)";102;
1204052;"Olesno (2)";101;
1204062;"Radgoszcz (2)";98;
1204073;"Szczucin (3)";99;
1205011;"Gorlice (1)";109;
1205023;"Biecz (3)";102;
1205033;"Bobowa (3)";98;
1205042;"Gorlice (2)";99;
1205052;"Lipinki (2)";103;
1205062;"Łużna (2)";96;
1205072;"Moszczenica (2)";103;
1205082;"Ropa (2)";99;
1205092;"Sękowa (2)";102;
1205102;"Uście Gorlickie (2)";97;
1206012;"Czernichów (2)";105;
1206022;"Igołomia-Wawrzeńczyce (2)";103;
1206032;"Iwanowice (2)";99;
1206042;"Jerzmanowice-Przeginia (2)";101;
1206052;"Kocmyrzów-Luborzyca (2)";102;
1206063;"Krzeszowice (3)";107;
1206072;"Liszki (2)";105;
1206082;"Michałowice (2)";100;
1206092;"Mogilany (2)";105;
1206103;"Skała (3)";98;
1206113;"Skawina (3)";107;
1206123;"Słomniki (3)";105;
1206132;"Sułoszowa (2)";99;
1206143;"Świątniki Górne (3)";102;
1206152;"Wielka Wieś (2)";105;
1206162;"Zabierzów (2)";107;
1206172;"Zielonki (2)";105;
1207011;"Limanowa (1)";103;
1207021;"Mszana Dolna (1)";109;
1207032;"Dobra (2)";99;
1207042;"Jodłownik (2)";99;
1207052;"Kamienica (2)";100;
1207062;"Laskowa (2)";101;
1207072;"Limanowa (2)";100;
1207082;"Łukowica (2)";100;
1207092;"Mszana Dolna (2)";95;
1207102;"Niedźwiedź (2)";95;
1207112;"Słopnice (2)";98;
1207122;"Tymbark (2)";104;
1208012;"Charsznica (2)";102;
1208022;"Gołcza (2)";97;
1208032;"Kozłów (2)";101;
1208042;"Książ Wielki (2)";103;
1208053;"Miechów (3)";108;
1208062;"Racławice (2)";96;
1208072;"Słaboszów (2)";98;
1209013;"Dobczyce (3)";101;
1209022;"Lubień (2)";104;
1209033;"Myślenice (3)";103;
1209042;"Pcim (2)";100;
1209052;"Raciechowice (2)";100;
1209062;"Siepraw (2)";102;
1209073;"Sułkowice (3)";104;
1209082;"Tokarnia (2)";96;
1209092;"Wiśniowa (2)";100;
1210011;"Grybów (1)";107;
1210022;"Chełmiec (2)";99;
1210032;"Gródek nad Dunajcem (2)";100;
1210042;"Grybów (2)";100;
1210052;"Kamionka Wielka (2)";101;
1210062;"Korzenna (2)";98;
1210073;"Krynica-Zdrój (3)";108;
1210082;"Łabowa (2)";94;
1210092;"Łącko (2)";99;
1210102;"Łososina Dolna (2)";99;
1210113;"Muszyna (3)";105;
1210122;"Nawojowa (2)";103;
1210133;"Piwniczna-Zdrój (3)";103;
1210142;"Podegrodzie (2)";100;
1210152;"Rytro (2)";98;
1210163;"Stary Sącz (3)";100;
1211011;"Nowy Targ (1)";109;
1211023;"Szczawnica (3)";106;
1211032;"Czarny Dunajec (2)";104;
1211042;"Czorsztyn (2)";105;
1211052;"Jabłonka (2)";102;
1211062;"Krościenko nad Dunajcem (2)";106;
1211072;"Lipnica Wielka (2)";103;
1211082;"Łapsze Niżne (2)";101;
1211092;"Nowy Targ (2)";102;
1211102;"Ochotnica Dolna (2)";101;
1211112;"Raba Wyżna (2)";101;
1211123;"Rabka-Zdrój (3)";108;
1211132;"Spytkowice (2)";102;
1211142;"Szaflary (2)";101;
1212011;"Bukowno (1)";108;
1212032;"Bolesław (2)";105;
1212042;"Klucze (2)";106;
1212053;"Olkusz (3)";107;
1212062;"Trzyciąż (2)";98;
1212073;"Wolbrom (3)";105;
1213011;"Oświęcim (1)";110;
1213023;"Brzeszcze (3)";105;
1213033;"Chełmek (3)";102;
1213043;"Kęty (3)";105;
1213052;"Osiek (2)";104;
1213062;"Oświęcim (2)";104;
1213072;"Polanka Wielka (2)";102;
1213082;"Przeciszów (2)";105;
1213093;"Zator (3)";102;
1214012;"Koniusza (2)";100;
1214023;"Koszyce (3)";109;
1214033;"Nowe Brzesko (3)";100;
1214042;"Pałecznica (2)";100;
1214053;"Proszowice (3)";105;
1214062;"Radziemice (2)";101;
1215011;"Jordanów (1)";109;
1215021;"Sucha Beskidzka (1)";106;
1215032;"Budzów (2)";100;
1215042;"Bystra-Sidzina (2)";100;
1215052;"Jordanów (2)";99;
1215063;"Maków Podhalański (3)";103;
1215072;"Stryszawa (2)";104;
1215082;"Zawoja (2)";95;
1215092;"Zembrzyce (2)";100;
1216013;"Ciężkowice (3)";99;
1216022;"Gromnik (2)";100;
1216032;"Lisia Góra (2)";102;
1216042;"Pleśna (2)";101;
1216053;"Radłów (3)";102;
1216063;"Ryglice (3)";101;
1216072;"Rzepiennik Strzyżewski (2)";100;
1216082;"Skrzyszów (2)";101;
1216092;"Tarnów (2)";103;
1216103;"Tuchów (3)";102;
1216112;"Wierzchosławice (2)";105;
1216122;"Wietrzychowice (2)";99;
1216133;"Wojnicz (3)";101;
1216143;"Zakliczyn (3)";102;
1216153;"Żabno (3)";104;
1216162;"Szerzyny (2)";99;
1217011;"Zakopane (1)";115;
1217022;"Biały Dunajec (2)";105;
1217032;"Bukowina Tatrzańska (2)";102;
1217042;"Kościelisko (2)";105;
1217052;"Poronin (2)";101;
1218013;"Andrychów (3)";104;
1218022;"Brzeźnica (2)";104;
1218033;"Kalwaria Zebrzydowska (3)";103;
1218042;"Lanckorona (2)";106;
1218052;"Mucharz (2)";100;
1218062;"Spytkowice (2)";105;
1218072;"Stryszów (2)";101;
1218082;"Tomice (2)";105;
1218093;"Wadowice (3)";106;
1218102;"Wieprz (2)";98;
1219012;"Biskupice (2)";104;
1219022;"Gdów (2)";101;
1219032;"Kłaj (2)";103;
1219043;"Niepołomice (3)";106;
1219053;"Wieliczka (3)";106;
1261011;"Kraków (1)";114;
1262011;"Nowy Sącz (1)";109;
1263011;"Tarnów (1)";112;
1401013;"Białobrzegi (3)";104;
1401022;"Promna (2)";95;
1401032;"Radzanów (2)";98;
1401042;"Stara Błotnica (2)";96;
1401052;"Stromiec (2)";95;
1401063;"Wyśmierzyce (3)";97;
1402011;"Ciechanów (1)";110;
1402022;"Ciechanów (2)";97;
1402033;"Glinojeck (3)";99;
1402042;"Gołymin-Ośrodek (2)";100;
1402052;"Grudusk (2)";102;
1402062;"Ojrzeń (2)";95;
1402072;"Opinogóra Górna (2)";94;
1402082;"Regimin (2)";97;
1402092;"Sońsk (2)";96;
1403011;"Garwolin (1)";107;
1403021;"Łaskarzew (1)";102;
1403032;"Borowie (2)";96;
1403042;"Garwolin (2)";103;
1403052;"Górzno (2)";100;
1403062;"Łaskarzew (2)";102;
1403072;"Maciejowice (2)";92;
1403082;"Miastków Kościelny (2)";97;
1403092;"Parysów (2)";100;
1403103;"Pilawa (3)";102;
1403112;"Sobolew (2)";102;
1403122;"Trojanów (2)";102;
1403132;"Wilga (2)";103;
1403143;"Żelechów (3)";99;
1404011;"Gostynin (1)";112;
1404022;"Gostynin (2)";100;
1404032;"Pacyna (2)";99;
1404043;"Sanniki (3)";107;
1404052;"Szczawin Kościelny (2)";101;
1405011;"Milanówek (1)";113;
1405021;"Podkowa Leśna (1)";112;
1405032;"Baranów (2)";99;
1405043;"Grodzisk Mazowiecki (3)";111;
1405052;"Jaktorów (2)";105;
1405062;"Żabia Wola (2)";101;
1406012;"Belsk Duży (2)";104;
1406022;"Błędów (2)";103;
1406032;"Chynów (2)";99;
1406042;"Goszczyn (2)";90;
1406053;"Grójec (3)";108;
1406062;"Jasieniec (2)";99;
1406073;"Mogielnica (3)";101;
1406083;"Nowe Miasto nad Pilicą (3)";107;
1406092;"Pniewy (2)";98;
1406113;"Warka (3)";106;
1407012;"Garbatka-Letnisko (2)";102;
1407022;"Głowaczów (2)";94;
1407032;"Gniewoszów (2)";105;
1407042;"Grabów nad Pilicą (2)";93;
1407053;"Kozienice (3)";105;
1407062;"Magnuszew (2)";96;
1407072;"Sieciechów (2)";105;
1408011;"Legionowo (1)";112;
1408022;"Jabłonna (2)";105;
1408032;"Nieporęt (2)";106;
1408043;"Serock (3)";103;
1408052;"Wieliszew (2)";102;
1409012;"Chotcza (2)";102;
1409022;"Ciepielów (2)";99;
1409033;"Lipsko (3)";102;
1409042;"Rzeczniów (2)";100;
1409052;"Sienno (2)";99;
1409062;"Solec nad Wisłą (2)";108;
1410012;"Huszlew (2)";95;
1410023;"Łosice (3)";105;
1410032;"Olszanka (2)";99;
1410042;"Platerów (2)";98;
1410052;"Sarnaki (2)";103;
1410062;"Stara Kornica (2)";96;
1411011;"Maków Mazowiecki (1)";111;
1411022;"Czerwonka (2)";97;
1411032;"Karniewo (2)";102;
1411042;"Krasnosielc (2)";100;
1411052;"Młynarze (2)";89;
1411062;"Płoniawy-Bramura (2)";94;
1411073;"Różan (3)";105;
1411082;"Rzewnie (2)";91;
1411092;"Sypniewo (2)";94;
1411102;"Szelków (2)";94;
1412011;"Mińsk Mazowiecki (1)";111;
1412042;"Cegłów (2)";100;
1412052;"Dębe Wielkie (2)";102;
1412062;"Dobre (2)";98;
1412073;"Halinów (3)";103;
1412082;"Jakubów (2)";100;
1412093;"Kałuszyn (3)";98;
1412102;"Latowicz (2)";96;
1412112;"Mińsk Mazowiecki (2)";102;
1412123;"Mrozy (3)";104;
1412132;"Siennica (2)";102;
1412142;"Stanisławów (2)";100;
1412151;"Sulejówek (1)";111;
1413011;"Mława (1)";110;
1413022;"Dzierzgowo (2)";95;
1413032;"Lipowiec Kościelny (2)";106;
1413042;"Radzanów (2)";98;
1413052;"Strzegowo (2)";99;
1413062;"Stupsk (2)";102;
1413072;"Szreńsk (2)";105;
1413082;"Szydłowo (2)";99;
1413092;"Wieczfnia Kościelna (2)";99;
1413102;"Wiśniewo (2)";96;
1414011;"Nowy Dwór Mazowiecki (1)";109;
1414022;"Czosnów (2)";104;
1414032;"Leoncin (2)";102;
1414043;"Nasielsk (3)";100;
1414052;"Pomiechówek (2)";107;
1414063;"Zakroczym (3)";102;
1415012;"Baranowo (2)";98;
1415022;"Czarnia (2)";99;
1415032;"Czerwin (2)";98;
1415042;"Goworowo (2)";95;
1415052;"Kadzidło (2)";95;
1415062;"Lelis (2)";97;
1415072;"Łyse (2)";97;
1415083;"Myszyniec (3)";96;
1415092;"Olszewo-Borki (2)";99;
1415102;"Rzekuń (2)";97;
1415112;"Troszyn (2)";100;
1416011;"Ostrów Mazowiecka (1)";109;
1416022;"Andrzejewo (2)";100;
1416032;"Boguty-Pianki (2)";93;
1416043;"Brok (3)";100;
1416052;"Małkinia Górna (2)";103;
1416062;"Nur (2)";95;
1416072;"Ostrów Mazowiecka (2)";99;
1416082;"Stary Lubotyń (2)";98;
1416092;"Szulborze Wielkie (2)";96;
1416102;"Wąsewo (2)";100;
1416112;"Zaręby Kościelne (2)";95;
1417011;"Józefów (1)";111;
1417021;"Otwock (1)";113;
1417032;"Celestynów (2)";106;
1417043;"Karczew (3)";109;
1417052;"Kołbiel (2)";104;
1417062;"Osieck (2)";105;
1417072;"Sobienie-Jeziory (2)";101;
1417082;"Wiązowna (2)";104;
1418013;"Góra Kalwaria (3)";106;
1418023;"Konstancin-Jeziorna (3)";111;
1418032;"Lesznowola (2)";105;
1418043;"Piaseczno (3)";111;
1418052;"Prażmów (2)";105;
1418063;"Tarczyn (3)";104;
1419012;"Bielsk (2)";100;
1419022;"Bodzanów (2)";99;
1419032;"Brudzeń Duży (2)";99;
1419042;"Bulkowo (2)";103;
1419053;"Drobin (3)";101;
1419063;"Gąbin (3)";107;
1419072;"Łąck (2)";107;
1419082;"Mała Wieś (2)";103;
1419092;"Nowy Duninów (2)";101;
1419102;"Radzanowo (2)";103;
1419112;"Słubice (2)";98;
1419122;"Słupno (2)";102;
1419132;"Stara Biała (2)";100;
1419142;"Staroźreby (2)";100;
1419153;"Wyszogród (3)";102;
1420011;"Płońsk (1)";113;
1420021;"Raciąż (1)";106;
1420032;"Baboszewo (2)";98;
1420042;"Czerwińsk nad Wisłą (2)";100;
1420052;"Dzierzążnia (2)";100;
1420062;"Joniec (2)";106;
1420072;"Naruszewo (2)";99;
1420082;"Nowe Miasto (2)";97;
1420092;"Płońsk (2)";99;
1420102;"Raciąż (2)";96;
1420112;"Sochocin (2)";103;
1420122;"Załuski (2)";104;
1421011;"Piastów (1)";111;
1421021;"Pruszków (1)";113;
1421033;"Brwinów (3)";108;
1421042;"Michałowice (2)";107;
1421052;"Nadarzyn (2)";107;
1421062;"Raszyn (2)";108;
1422011;"Przasnysz (1)";108;
1422023;"Chorzele (3)";95;
1422032;"Czernice Borowe (2)";91;
1422042;"Jednorożec (2)";99;
1422052;"Krasne (2)";99;
1422062;"Krzynowłoga Mała (2)";95;
1422072;"Przasnysz (2)";98;
1423012;"Borkowice (2)";101;
1423022;"Gielniów (2)";102;
1423032;"Klwów (2)";102;
1423042;"Odrzywół (2)";95;
1423052;"Potworów (2)";99;
1423063;"Przysucha (3)";105;
1423072;"Rusinów (2)";99;
1423082;"Wieniawa (2)";98;
1424012;"Gzy (2)";88;
1424022;"Obryte (2)";95;
1424032;"Pokrzywnica (2)";98;
1424043;"Pułtusk (3)";107;
1424052;"Świercze (2)";97;
1424062;"Winnica (2)";104;
1424072;"Zatory (2)";102;
1425011;"Pionki (1)";109;
1425022;"Gózd (2)";98;
1425033;"Iłża (3)";103;
1425042;"Jastrzębia (2)";97;
1425052;"Jedlińsk (2)";99;
1425062;"Jedlnia-Letnisko (2)";102;
1425072;"Kowala (2)";100;
1425082;"Pionki (2)";100;
1425092;"Przytyk (2)";98;
1425103;"Skaryszew (3)";101;
1425112;"Wierzbica (2)";95;
1425122;"Wolanów (2)";100;
1425132;"Zakrzew (2)";99;
1426012;"Domanice (2)";100;
1426022;"Korczew (2)";96;
1426032;"Kotuń (2)";103;
1426042;"Mokobody (2)";92;
1426053;"Mordy (3)";103;
1426062;"Paprotnia (2)";87;
1426072;"Przesmyki (2)";97;
1426082;"Siedlce (2)";101;
1426092;"Skórzec (2)";98;
1426102;"Suchożebry (2)";97;
1426112;"Wiśniew (2)";98;
1426122;"Wodynie (2)";98;
1426132;"Zbuczyn (2)";100;
1427011;"Sierpc (1)";112;
1427022;"Gozdowo (2)";97;
1427032;"Mochowo (2)";99;
1427042;"Rościszewo (2)";99;
1427052;"Sierpc (2)";98;
1427062;"Szczutowo (2)";100;
1427072;"Zawidz (2)";99;
1428011;"Sochaczew (1)";111;
1428022;"Brochów (2)";100;
1428032;"Iłów (2)";101;
1428042;"Młodzieszyn (2)";101;
1428052;"Nowa Sucha (2)";105;
1428062;"Rybno (2)";102;
1428072;"Sochaczew (2)";99;
1428082;"Teresin (2)";104;
1429011;"Sokołów Podlaski (1)";110;
1429022;"Bielany (2)";97;
1429032;"Ceranów (2)";92;
1429042;"Jabłonna Lacka (2)";105;
1429053;"Kosów Lacki (3)";96;
1429062;"Repki (2)";95;
1429072;"Sabnie (2)";100;
1429082;"Sokołów Podlaski (2)";93;
1429092;"Sterdyń (2)";103;
1430012;"Chlewiska (2)";102;
1430022;"Jastrząb (2)";102;
1430032;"Mirów (2)";91;
1430042;"Orońsko (2)";98;
1430053;"Szydłowiec (3)";103;
1432013;"Błonie (3)";110;
1432022;"Izabelin (2)";108;
1432032;"Kampinos (2)";102;
1432042;"Leszno (2)";107;
1432053;"Łomianki (3)";108;
1432063;"Ożarów Mazowiecki (3)";110;
1432072;"Stare Babice (2)";106;
1433011;"Węgrów (1)";108;
1433022;"Grębków (2)";96;
1433032;"Korytnica (2)";92;
1433042;"Liw (2)";98;
1433053;"Łochów (3)";101;
1433062;"Miedzna (2)";102;
1433072;"Sadowne (2)";104;
1433082;"Stoczek (2)";95;
1433092;"Wierzbno (2)";90;
1434011;"Kobyłka (1)";107;
1434021;"Marki (1)";110;
1434031;"Ząbki (1)";111;
1434041;"Zielonka (1)";112;
1434052;"Dąbrówka (2)";100;
1434062;"Jadów (2)";100;
1434072;"Klembów (2)";102;
1434082;"Poświętne (2)";101;
1434093;"Radzymin (3)";105;
1434102;"Strachówka (2)";94;
1434113;"Tłuszcz (3)";104;
1434123;"Wołomin (3)";110;
1435012;"Brańszczyk (2)";103;
1435022;"Długosiodło (2)";97;
1435032;"Rząśnik (2)";98;
1435042;"Somianka (2)";97;
1435053;"Wyszków (3)";105;
1435062;"Zabrodzie (2)";99;
1436012;"Kazanów (2)";97;
1436022;"Policzna (2)";98;
1436032;"Przyłęk (2)";101;
1436042;"Tczów (2)";98;
1436053;"Zwoleń (3)";105;
1437013;"Bieżuń (3)";99;
1437022;"Kuczbork-Osada (2)";103;
1437033;"Lubowidz (3)";105;
1437042;"Lutocin (2)";97;
1437052;"Siemiątkowo (2)";100;
1437063;"Żuromin (3)";105;
1438011;"Żyrardów (1)";113;
1438023;"Mszczonów (3)";109;
1438032;"Puszcza Mariańska (2)";104;
1438042;"Radziejowice (2)";105;
1438052;"Wiskitki (2)";99;
1461011;"Ostrołęka (1)";109;
1462011;"Płock (1)";112;
1463011;"Radom (1)";111;
1464011;"Siedlce (1)";111;
1465011;"M.st.Warszawa od 2002 (1)";117;
1601011;"Brzeg (1)";111;
1601022;"Skarbimierz (2)";99;
1601033;"Grodków (3)";103;
1601043;"Lewin Brzeski (3)";103;
1601052;"Lubsza (2)";100;
1601062;"Olszanka (2)";98;
1602013;"Baborów (3)";104;
1602022;"Branice (2)";104;
1602033;"Głubczyce (3)";106;
1602043;"Kietrz (3)";104;
1603011;"Kędzierzyn-Koźle (1)";108;
1603022;"Bierawa (2)";108;
1603032;"Cisek (2)";108;
1603042;"Pawłowiczki (2)";103;
1603052;"Polska Cerekiew (2)";106;
1603062;"Reńska Wieś (2)";106;
1604013;"Byczyna (3)";103;
1604023;"Kluczbork (3)";107;
1604032;"Lasowice Wielkie (2)";107;
1604043;"Wołczyn (3)";100;
1605013;"Gogolin (3)";108;
1605023;"Krapkowice (3)";108;
1605032;"Strzeleczki (2)";108;
1605042;"Walce (2)";109;
1605053;"Zdzieszowice (3)";103;
1606012;"Domaszowice (2)";105;
1606023;"Namysłów (3)";107;
1606032;"Pokój (2)";106;
1606042;"Świerczów (2)";98;
1606052;"Wilków (2)";97;
1607013;"Głuchołazy (3)";106;
1607022;"Kamiennik (2)";100;
1607033;"Korfantów (3)";102;
1607042;"Łambinowice (2)";106;
1607053;"Nysa (3)";108;
1607063;"Otmuchów (3)";106;
1607073;"Paczków (3)";102;
1607082;"Pakosławice (2)";99;
1607092;"Skoroszyce (2)";100;
1608013;"Dobrodzień (3)";108;
1608023;"Gorzów Śląski (3)";103;
1608033;"Olesno (3)";108;
1608043;"Praszka (3)";104;
1608052;"Radłów (2)";106;
1608062;"Rudniki (2)";103;
1608072;"Zębowice (2)";97;
1609012;"Chrząstowice (2)";104;
1609022;"Dąbrowa (2)";104;
1609032;"Dobrzeń Wielki (2)";107;
1609042;"Komprachcice (2)";117;
1609052;"Łubniany (2)";106;
1609062;"Murów (2)";105;
1609073;"Niemodlin (3)";102;
1609083;"Ozimek (3)";106;
1609092;"Popielów (2)";108;
1609103;"Prószków (3)";110;
1609112;"Tarnów Opolski (2)";108;
1609123;"Tułowice (3)";107;
1609132;"Turawa (2)";106;
1610013;"Biała (3)";110;
1610023;"Głogówek (3)";103;
1610032;"Lubrza (2)";105;
1610043;"Prudnik (3)";110;
1611012;"Izbicko (2)";108;
1611022;"Jemielnica (2)";103;
1611033;"Kolonowskie (3)";106;
1611043;"Leśnica (3)";106;
1611053;"Strzelce Opolskie (3)";106;
1611063;"Ujazd (3)";104;
1611073;"Zawadzkie (3)";104;
1661011;"Opole (1)";112;
1801032;"Czarna (2)";103;
1801052;"Lutowiska (2)";100;
1801083;"Ustrzyki Dolne (3)";103;
1802013;"Brzozów (3)";103;
1802022;"Domaradz (2)";99;
1802032;"Dydnia (2)";98;
1802042;"Haczów (2)";101;
1802052;"Jasienica Rosielna (2)";105;
1802062;"Nozdrzec (2)";102;
1803011;"Dębica (1)";106;
1803023;"Brzostek (3)";100;
1803032;"Czarna (2)";101;
1803042;"Dębica (2)";101;
1803052;"Jodłowa (2)";97;
1803063;"Pilzno (3)";101;
1803072;"Żyraków (2)";100;
1804011;"Jarosław (1)";113;
1804021;"Radymno (1)";102;
1804032;"Chłopice (2)";98;
1804042;"Jarosław (2)";104;
1804052;"Laszki (2)";98;
1804062;"Pawłosiów (2)";104;
1804073;"Pruchnik (3)";102;
1804082;"Radymno (2)";100;
1804092;"Rokietnica (2)";102;
1804102;"Roźwienica (2)";101;
1804112;"Wiązownica (2)";101;
1805011;"Jasło (1)";109;
1805022;"Brzyska (2)";101;
1805032;"Dębowiec (2)";102;
1805042;"Jasło (2)";103;
1805053;"Kołaczyce (3)";98;
1805062;"Krempna (2)";91;
1805072;"Nowy Żmigród (2)";100;
1805082;"Osiek Jasielski (2)";101;
1805092;"Skołyszyn (2)";100;
1805112;"Tarnowiec (2)";102;
1806012;"Cmolas (2)";98;
1806023;"Kolbuszowa (3)";104;
1806032;"Majdan Królewski (2)";99;
1806042;"Niwiska (2)";101;
1806052;"Raniżów (2)";95;
1806062;"Dzikowiec (2)";99;
1807012;"Chorkówka (2)";103;
1807023;"Dukla (3)";103;
1807033;"Iwonicz-Zdrój (3)";100;
1807043;"Jedlicze (3)";104;
1807052;"Korczyna (2)";103;
1807062;"Krościenko Wyżne (2)";98;
1807072;"Miejsce Piastowe (2)";106;
1807083;"Rymanów (3)";105;
1807092;"Wojaszówka (2)";104;
1807102;"Jaśliska (2)";104;
1808011;"Leżajsk (1)";109;
1808022;"Grodzisko Dolne (2)";103;
1808032;"Kuryłówka (2)";100;
1808042;"Leżajsk (2)";101;
1808053;"Nowa Sarzyna (3)";100;
1809011;"Lubaczów (1)";110;
1809023;"Cieszanów (3)";102;
1809032;"Horyniec-Zdrój (2)";102;
1809042;"Lubaczów (2)";99;
1809053;"Narol (3)";93;
1809063;"Oleszyce (3)";101;
1809072;"Stary Dzików (2)";100;
1809082;"Wielkie Oczy (2)";103;
1810011;"Łańcut (1)";109;
1810022;"Białobrzegi (2)";102;
1810032;"Czarna (2)";104;
1810042;"Łańcut (2)";101;
1810052;"Markowa (2)";103;
1810062;"Rakszawa (2)";101;
1810072;"Żołynia (2)";101;
1811011;"Mielec (1)";108;
1811022;"Borowa (2)";100;
1811032;"Czermin (2)";98;
1811042;"Gawłuszowice (2)";101;
1811052;"Mielec (2)";100;
1811062;"Padew Narodowa (2)";99;
1811073;"Przecław (3)";102;
1811083;"Radomyśl Wielki (3)";99;
1811092;"Tuszów Narodowy (2)";100;
1811102;"Wadowice Górne (2)";98;
1812012;"Harasiuki (2)";100;
1812022;"Jarocin (2)";101;
1812032;"Jeżowe (2)";99;
1812042;"Krzeszów (2)";103;
1812053;"Nisko (3)";106;
1812063;"Rudnik nad Sanem (3)";101;
1812073;"Ulanów (3)";102;
1813012;"Bircza (2)";95;
1813022;"Dubiecko (2)";101;
1813032;"Fredropol (2)";99;
1813042;"Krasiczyn (2)";101;
1813052;"Krzywcza (2)";93;
1813062;"Medyka (2)";98;
1813072;"Orły (2)";100;
1813082;"Przemyśl (2)";101;
1813092;"Stubno (2)";103;
1813102;"Żurawica (2)";101;
1814011;"Przeworsk (1)";109;
1814022;"Adamówka (2)";101;
1814032;"Gać (2)";105;
1814042;"Jawornik Polski (2)";103;
1814053;"Kańczuga (3)";102;
1814062;"Przeworsk (2)";102;
1814073;"Sieniawa (3)";100;
1814082;"Tryńcza (2)";99;
1814092;"Zarzecze (2)";100;
1815012;"Iwierzyce (2)";100;
1815022;"Ostrów (2)";100;
1815033;"Ropczyce (3)";103;
1815043;"Sędziszów Małopolski (3)";104;
1815052;"Wielopole Skrzyńskie (2)";100;
1816011;"Dynów (1)";102;
1816023;"Błażowa (3)";102;
1816033;"Boguchwała (3)";106;
1816042;"Chmielnik (2)";100;
1816052;"Dynów (2)";96;
1816063;"Głogów Małopolski (3)";101;
1816072;"Hyżne (2)";101;
1816082;"Kamień (2)";99;
1816092;"Krasne (2)";105;
1816102;"Lubenia (2)";102;
1816113;"Sokołów Małopolski (3)";102;
1816122;"Świlcza (2)";104;
1816132;"Trzebownisko (2)";103;
1816143;"Tyczyn (3)";103;
1817011;"Sanok (1)";110;
1817022;"Besko (2)";103;
1817032;"Bukowsko (2)";99;
1817042;"Komańcza (2)";99;
1817052;"Sanok (2)";100;
1817062;"Tyrawa Wołoska (2)";98;
1817073;"Zagórz (3)";100;
1817082;"Zarszyn (2)";105;
1818011;"Stalowa Wola (1)";110;
1818022;"Bojanów (2)";97;
1818032;"Pysznica (2)";104;
1818042;"Radomyśl nad Sanem (2)";101;
1818053;"Zaklików (3)";105;
1818062;"Zaleszany (2)";103;
1819012;"Czudec (2)";100;
1819022;"Frysztak (2)";100;
1819032;"Niebylec (2)";105;
1819043;"Strzyżów (3)";103;
1819052;"Wiśniowa (2)";99;
1820013;"Baranów Sandomierski (3)";103;
1820022;"Gorzyce (2)";102;
1820032;"Grębów (2)";101;
1820043;"Nowa Dęba (3)";108;
1821012;"Baligród (2)";99;
1821022;"Cisna (2)";104;
1821033;"Lesko (3)";105;
1821042;"Olszanica (2)";101;
1821052;"Solina (2)";100;
1861011;"Krosno (1)";112;
1862011;"Przemyśl (1)";113;
1863011;"Rzeszów (1)";111;
1864011;"Tarnobrzeg (1)";109;
2001011;"Augustów (1)";111;
2001022;"Augustów (2)";96;
2001032;"Bargłów Kościelny (2)";101;
2001043;"Lipsk (3)";100;
2001052;"Nowinka (2)";96;
2001062;"Płaska (2)";95;
2001072;"Sztabin (2)";94;
2002013;"Choroszcz (3)";99;
2002023;"Czarna Białostocka (3)";106;
2002032;"Dobrzyniewo Duże (2)";101;
2002042;"Gródek (2)";108;
2002052;"Juchnowiec Kościelny (2)";101;
2002063;"Łapy (3)";105;
2002073;"Michałowo (3)";100;
2002082;"Poświętne (2)";98;
2002093;"Supraśl (3)";107;
2002103;"Suraż (3)";100;
2002112;"Turośń Kościelna (2)";99;
2002123;"Tykocin (3)";103;
2002133;"Wasilków (3)";107;
2002143;"Zabłudów (3)";98;
2002152;"Zawady (2)";94;
2003011;"Bielsk Podlaski (1)";108;
2003021;"Brańsk (1)";98;
2003032;"Bielsk Podlaski (2)";97;
2003042;"Boćki (2)";95;
2003052;"Brańsk (2)";92;
2003062;"Orla (2)";109;
